task,design_label,disorder_strength,seed,score_mode,worst_weight,train_points_per_axis,train_net_points,base_train_points,hard_points_requested,hard_points_used,eval_points_per_axis,eval_net_points,final_fidelity,pulse_energy,shifted_selected_fraction,design_seconds
Z,coarse,0.0,10,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,11,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,12,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,13,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,14,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,15,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,16,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,17,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,18,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,19,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,20,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,21,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,22,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,23,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,24,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,25,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,26,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,27,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,28,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,29,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,30,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,31,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,32,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,33,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,34,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,35,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,36,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,37,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,38,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,39,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,40,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,41,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,42,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,43,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,44,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,45,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,46,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,47,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,48,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,49,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,50,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,51,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,52,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,53,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,54,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,55,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,56,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,57,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,58,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.0,59,max_net,0.25,7,335,335,256,0,13,2145,0.9991984733239592,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,10,max_net,0.25,7,335,335,256,0,13,2145,0.9989585229899898,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,11,max_net,0.25,7,335,335,256,0,13,2145,0.99917256856491,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,12,max_net,0.25,7,335,335,256,0,13,2145,0.9992007021969098,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,13,max_net,0.25,7,335,335,256,0,13,2145,0.9988839078386655,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,14,max_net,0.25,7,335,335,256,0,13,2145,0.9991948787872611,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,15,max_net,0.25,7,335,335,256,0,13,2145,0.9988725073570957,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,16,max_net,0.25,7,335,335,256,0,13,2145,0.9991363209515468,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,17,max_net,0.25,7,335,335,256,0,13,2145,0.9991784789080962,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,18,max_net,0.25,7,335,335,256,0,13,2145,0.9987622035300439,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,19,max_net,0.25,7,335,335,256,0,13,2145,0.999250524244008,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,20,max_net,0.25,7,335,335,256,0,13,2145,0.999166064301825,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,21,max_net,0.25,7,335,335,256,0,13,2145,0.9991416631401876,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,22,max_net,0.25,7,335,335,256,0,13,2145,0.9989743947243444,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,23,max_net,0.25,7,335,335,256,0,13,2145,0.9991275983451413,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,24,max_net,0.25,7,335,335,256,0,13,2145,0.9992018844763653,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,25,max_net,0.25,7,335,335,256,0,13,2145,0.9992121943897689,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,26,max_net,0.25,7,335,335,256,0,13,2145,0.9988035954737166,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,27,max_net,0.25,7,335,335,256,0,13,2145,0.9990271363020408,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,28,max_net,0.25,7,335,335,256,0,13,2145,0.9990273596045771,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,29,max_net,0.25,7,335,335,256,0,13,2145,0.9990172658997241,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,30,max_net,0.25,7,335,335,256,0,13,2145,0.9991813035409035,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,31,max_net,0.25,7,335,335,256,0,13,2145,0.9990981520939863,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,32,max_net,0.25,7,335,335,256,0,13,2145,0.9991380560049159,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,33,max_net,0.25,7,335,335,256,0,13,2145,0.9987728074550883,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,34,max_net,0.25,7,335,335,256,0,13,2145,0.9987535746688945,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,35,max_net,0.25,7,335,335,256,0,13,2145,0.9991483610378307,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,36,max_net,0.25,7,335,335,256,0,13,2145,0.9989564317078443,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,37,max_net,0.25,7,335,335,256,0,13,2145,0.9992203362526038,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,38,max_net,0.25,7,335,335,256,0,13,2145,0.9990453751825269,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,39,max_net,0.25,7,335,335,256,0,13,2145,0.9991999959608061,4.4275,0.1111111111111111,22.094228454167023
