task,design_label,step,score_mode,worst_weight,train_net_points,base_train_points,hard_points_requested,hard_points_used,eval_net_points,train_points_per_axis,eval_points_per_axis,train_covering_radius,eval_covering_radius,beam_width,residual_threshold,train_phi,eval_phi,train_outside_residual,eval_outside_residual,train_scheduled_margin,eval_scheduled_margin,shifted_selected_fraction
Z,coarse,1,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.00303909755940086,0.0030168466540940707,1,1,0.00203909755940086,0.0020168466540940707,0.0
Z,coarse,2,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.0031032506507092644,0.003073258471358855,1,1,0.0021032506507092643,0.002073258471358855,0.0
Z,coarse,3,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.003574887847168736,0.0035440947561106483,1,1,0.002574887847168736,0.0025440947561106483,0.0
Z,coarse,4,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.0038781258435655165,0.0038399247674744206,1,1,0.0028781258435655165,0.0028399247674744206,0.0
Z,coarse,5,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.004400770226201282,0.004341574079714516,1,1,0.0034007702262012817,0.003341574079714516,0.0
Z,coarse,6,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.004801725972686889,0.004753389082928343,1,1,0.003801725972686889,0.003753389082928343,0.0
Z,coarse,7,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.005395301676391809,0.005329055512383116,1,1,0.004395301676391809,0.004329055512383116,0.16666666666666666
Z,coarse,8,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.005980124806672286,0.005912557240850601,1,1,0.004980124806672286,0.004912557240850601,0.14285714285714285
Z,coarse,9,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.00619169525715416,0.00612395221595252,1,1,0.00519169525715416,0.00512395221595252,0.125
Z,coarse,10,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.00595496549267515,0.005867249628563636,1,1,0.00495496549267515,0.004867249628563636,0.1111111111111111
Z,coarse,11,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.006398619315619639,0.0063091736475471795,1,1,0.005398619315619639,0.0053091736475471794,0.1
Z,coarse,12,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.006843192817176378,0.006754092610599061,1,1,0.005843192817176378,0.005754092610599061,0.09090909090909091
Z,coarse,13,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.007282094051802869,0.007198716732569339,1,1,0.006282094051802869,0.006198716732569339,0.08333333333333333
Z,coarse,14,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.007984581501086219,0.00786905750451501,1,1,0.006984581501086219,0.00686905750451501,0.07692307692307693
Z,coarse,15,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.008778185216971667,0.008650211645681645,1,1,0.007778185216971667,0.007650211645681645,0.07142857142857142
Z,coarse,16,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.009401039683733955,0.009305106711722699,1,1,0.008401039683733954,0.008305106711722698,0.06666666666666667
Z,coarse,17,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.01017813244773478,0.010033839780853196,1,1,0.009178132447734778,0.009033839780853196,0.0625
Z,coarse,18,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.011270892812009171,0.011113791407496628,1,1,0.010270892812009172,0.010113791407496627,0.058823529411764705
Z,coarse,19,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.012107387663516784,0.01198282112708388,1,1,0.011107387663516783,0.010982821127083878,0.05555555555555555
Z,coarse,20,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.012121233551563972,0.011965855803784495,1,1,0.011121233551563973,0.010965855803784494,0.05263157894736842
Z,coarse,21,mean_worst,0.5,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.012800008709525391,0.01262369034610299,1,1,0.01180000870952539,0.011623690346102989,0.05
