task,step,method,previous_terminal_phi,shift_tail_phi,tail_phi_abs_error,best_margin,best_fallback_phi,best_fallback_norm,terminal_outside_residual,residual_threshold,gradient_norm,line_radius
Z,1,default_alphabet,0.0020415222502339833,0.0020415222502339833,0.0,-0.00022995228460700318,0.0022714745348409865,0.0,1,0.001,nan,nan
Z,1,adaptive_gradient_line,0.0020415222502339833,0.0020415222502339833,0.0,-0.00022995228460700318,0.0022714745348409865,0.0,1,0.001,0.001680578068059478,0.0
Z,2,default_alphabet,0.002026341232292242,0.002026341232292242,0.0,-0.0002299123378368892,0.002256253570129131,0.0,1,0.001,nan,nan
Z,2,adaptive_gradient_line,0.002026341232292242,0.002026341232292242,0.0,-0.0002299123378368892,0.002256253570129131,0.0,1,0.001,0.0015135087842213088,0.0
Z,3,default_alphabet,0.002256253570129131,0.002256253570129131,0.0,-0.00026874726990237796,0.002525000840031509,0.0,1,0.001,nan,nan
Z,3,adaptive_gradient_line,0.002256253570129131,0.002256253570129131,0.0,-0.00026874726990237796,0.002525000840031509,0.0,1,0.001,0.0018130314058681582,0.0
Z,4,default_alphabet,0.0023834887293366497,0.0023834887293366497,0.0,-0.0002724723181130387,0.0026559610474496884,0.0,1,0.001,nan,nan
Z,4,adaptive_gradient_line,0.0023834887293366497,0.0023834887293366497,0.0,-0.0002724723181130387,0.0026559610474496884,0.0,1,0.001,0.001450452123016208,0.0
Z,5,default_alphabet,0.002584536389571887,0.002584536389571887,0.0,-0.0002988723889398373,0.0028834087785117243,0.25,1,0.001,nan,nan
Z,5,adaptive_gradient_line,0.002584536389571887,0.002584536389571887,0.0,-0.00032061634147269313,0.00290515273104458,0.0,1,0.001,0.0016477678371384296,0.0
Z,6,default_alphabet,0.0028831646562249985,0.0028831646562249985,0.0,-0.0003381215122032627,0.003221286168428261,0.0,1,0.001,nan,nan
Z,6,adaptive_gradient_line,0.0028831646562249985,0.0028831646562249985,0.0,-0.0003381215122032627,0.003221286168428261,0.0,1,0.001,0.0015234338340043066,0.0
Z,7,default_alphabet,0.003047633659873157,0.003047633659873157,0.0,-0.00028236401050325127,0.0033299976703764084,0.0,1,0.001,nan,nan
Z,7,adaptive_gradient_line,0.003047633659873157,0.003047633659873157,0.0,-0.00028236401050325127,0.0033299976703764084,0.0,1,0.001,0.0014849477457133877,0.0
Z,8,default_alphabet,0.0032325847099518995,0.0032325847099518995,0.0,-0.0003565017636682835,0.003589086473620183,0.0,1,0.001,nan,nan
Z,8,adaptive_gradient_line,0.0032325847099518995,0.0032325847099518995,0.0,-0.0003565017636682835,0.003589086473620183,0.0,1,0.001,0.000551042571319759,0.0
Z,9,default_alphabet,0.0034077559489118364,0.0034077559489118364,0.0,-0.00035621410774173967,0.003763970056653576,0.24999999999999994,1,0.001,nan,nan
Z,9,adaptive_gradient_line,0.0034077559489118364,0.0034077559489118364,0.0,-0.0003720824742806106,0.003779838423192447,0.0,1,0.001,0.0007222748243494918,0.0
Z,10,default_alphabet,0.003064422497545974,0.003064422497545974,0.0,-0.00029297240911729805,0.003357394906663272,0.24999999999999994,1,0.001,nan,nan
Z,10,adaptive_gradient_line,0.003064422497545974,0.003064422497545974,0.0,-0.0002972533837325847,0.0033616758812785585,0.0,1,0.001,0.00021102610075816126,0.0
Z,11,default_alphabet,0.0033293719795650795,0.0033293719795650795,0.0,-0.000307469792126952,0.0036368417716920315,0.0,1,0.001,nan,nan
Z,11,adaptive_gradient_line,0.0033293719795650795,0.0033293719795650795,0.0,-0.000307469792126952,0.0036368417716920315,0.0,1,0.001,0.0007417176298748502,0.0
Z,12,default_alphabet,0.0035217982043523957,0.0035217982043523957,0.0,-0.000381463008088008,0.0039032612124404037,0.0,1,0.001,nan,nan
Z,12,adaptive_gradient_line,0.0035217982043523957,0.0035217982043523957,0.0,-0.000381463008088008,0.0039032612124404037,0.0,1,0.001,0.0012038658157107075,0.0
Z,13,default_alphabet,0.0038950659673245847,0.0038950659673245847,0.0,-0.0004629750541804492,0.004358041021505034,0.0,1,0.001,nan,nan
Z,13,adaptive_gradient_line,0.0038950659673245847,0.0038950659673245847,0.0,-0.0004629750541804492,0.004358041021505034,0.0,1,0.001,0.0014442453828923923,0.0
Z,14,default_alphabet,0.00435297100174592,0.00435297100174592,0.0,-0.0005170939544484748,0.004870064956194395,0.0,1,0.001,nan,nan
Z,14,adaptive_gradient_line,0.00435297100174592,0.00435297100174592,0.0,-0.0005170939544484748,0.004870064956194395,0.0,1,0.001,0.0012949555530249847,0.0
Z,15,default_alphabet,0.00464955533587471,0.00464955533587471,0.0,-0.0005657590598830767,0.005215314395757786,0.0,1,0.001,nan,nan
Z,15,adaptive_gradient_line,0.00464955533587471,0.00464955533587471,0.0,-0.0005657590598830767,0.005215314395757786,0.0,1,0.001,0.0037598286884596888,0.0
Z,16,default_alphabet,0.005174867090535502,0.005174867090535502,0.0,-0.0006146982924905772,0.00578956538302608,0.0,1,0.001,nan,nan
Z,16,adaptive_gradient_line,0.005174867090535502,0.005174867090535502,0.0,-0.0006146982924905772,0.00578956538302608,0.0,1,0.001,0.0030226514825405274,0.0
Z,17,default_alphabet,0.0055255909618900576,0.0055255909618900576,0.0,-0.0006217502141910719,0.0061473411760811295,0.0,1,0.001,nan,nan
Z,17,adaptive_gradient_line,0.0055255909618900576,0.0055255909618900576,0.0,-0.0006217502141910719,0.0061473411760811295,0.0,1,0.001,0.0031466917891723825,0.0
Z,18,default_alphabet,0.006092782491319559,0.006092782491319559,0.0,-0.0005456217681150122,0.006638404259434572,0.0,1,0.001,nan,nan
Z,18,adaptive_gradient_line,0.006092782491319559,0.006092782491319559,0.0,-0.0005456217681150122,0.006638404259434572,0.0,1,0.001,0.0047636158166477725,0.0
Z,19,default_alphabet,0.0056280676035384836,0.0056280676035384836,0.0,-0.0004318678868058326,0.006059935490344316,0.0,1,0.001,nan,nan
Z,19,adaptive_gradient_line,0.0056280676035384836,0.0056280676035384836,0.0,-0.0004318678868058326,0.006059935490344316,0.0,1,0.001,0.00319083767602036,0.0
Z,20,default_alphabet,0.004881731079065886,0.004881731079065886,0.0,-0.00030581804585793487,0.005187549124923821,0.24999999999999994,1,0.001,nan,nan
Z,20,adaptive_gradient_line,0.004881731079065886,0.004881731079065886,0.0,-0.00038928806216254747,0.0052710191412284335,0.0,1,0.001,0.0022450851882129014,0.0
Z,21,default_alphabet,0.005096611515210944,0.005096611515210944,0.0,-0.00025799801958963087,0.005354609534800575,0.0,1,0.001,nan,nan
Z,21,adaptive_gradient_line,0.005096611515210944,0.005096611515210944,0.0,-0.00025799801958963087,0.005354609534800575,0.0,1,0.001,0.0009064392685433485,0.0
Z,22,default_alphabet,0.004701739725409604,0.004701739725409604,0.0,-0.00020291079802496614,0.00490465052343457,0.0,1,0.001,nan,nan
Z,22,adaptive_gradient_line,0.004701739725409604,0.004701739725409604,0.0,-0.00020291079802496614,0.00490465052343457,0.0,1,0.001,0.0014051244828901107,0.0
Z,23,default_alphabet,0.0048337679649592055,0.0048337679649592055,0.0,-0.00026532316551939467,0.0050990911304786,0.0,1,0.001,nan,nan
Z,23,adaptive_gradient_line,0.0048337679649592055,0.0048337679649592055,0.0,-0.00026532316551939467,0.0050990911304786,0.0,1,0.001,5.660403280006547e-05,0.0
Z,24,default_alphabet,0.004855861042766446,0.004855861042766446,0.0,-0.00025313826222161245,0.005108999304988059,0.25,1,0.001,nan,nan
Z,24,adaptive_gradient_line,0.004855861042766446,0.004855861042766446,0.0,-0.0002690789433445473,0.0051249399861109934,0.0,1,0.001,0.0008111432679256261,0.0
