task,baseline,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,basis_count,segments,refreshes,frequency_seed_path,training_objective,optimizer_success_all,optimization_seconds
Z,dcrab,0.05,10,0.9997366792716248,0.0002633207283752048,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,11,0.999970521277516,2.9478722484044262e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,12,0.9999717904174057,2.8209582594307392e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,13,0.999993806657837,6.19334216300782e-06,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,14,0.9999762543520838,2.374564791618461e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,15,0.9998025989924544,0.00019740100754561674,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,16,0.9998719612303906,0.00012803876960942873,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,17,0.9999192138486866,8.07861513133501e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,18,0.9998546576272476,0.00014534237275243278,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,19,0.999926133174529,7.386682547094736e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,20,0.9999301014135936,6.989858640638058e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,21,0.9998819057130197,0.0001180942869802859,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,22,0.9997834648286867,0.00021653517131325906,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,23,0.9999097164189708,9.028358102924905e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,24,0.9999321010670581,6.789893294190108e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,25,0.9999431428431991,5.6857156800926845e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,26,0.9998523028649966,0.00014769713500339954,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,27,0.9999735253290338,2.6474670966170066e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,28,0.9995730404461014,0.0004269595538985982,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,29,0.9995263432558851,0.0004736567441149253,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,30,0.9999249214185032,7.507858149680136e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,31,0.9998481494845578,0.00015185051544219785,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,32,0.999941791582354,5.8208417646032906e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,33,0.999989395408401,1.0604591598961655e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,34,0.9998993330279029,0.00010066697209709652,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,35,0.9998389399985037,0.00016106000149629374,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,36,0.9996434420666811,0.00035655793331890173,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,37,0.9999651539833805,3.484601661951636e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
