task,baseline,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,basis_count,segments,refreshes,frequency_seed_path,training_objective,optimizer_success_all,optimization_seconds
Z,dcrab_train8,0.05,10,0.9999904120838494,9.587916150577414e-06,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,11,0.9999894813099783,1.0518690021665833e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,12,0.9999833463219691,1.665367803094231e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,13,0.9998281398733341,0.00017186012666592365,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,14,0.9999871163091861,1.2883690813869642e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,15,0.9999800269153679,1.997308463208558e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,16,0.9999500227482501,4.997725174993306e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,17,0.9999735552867557,2.6444713244311302e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,18,0.9999338786617891,6.61213382109338e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,19,0.9999187602902613,8.123970973872296e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,20,0.9999819135470165,1.8086452983512302e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,21,0.9999513651208769,4.8634879123099495e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,22,0.9999977278946002,2.2721053998253637e-06,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,23,0.9999958961023186,4.103897681351221e-06,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,24,0.999961373104375,3.862689562494914e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,25,0.9999670355730198,3.2964426980197636e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,26,0.999981710334967,1.828966503303331e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,27,0.99996324767773,3.6752322269961724e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
