task,baseline,objective_kind,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,training_objective,best_restart_seed,optimizer_iterations,optimizer_success,optimization_seconds
Z,ensemble_grape,state,0.08,10,0.9997331536255961,0.34244701590165905,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,11,0.99921379899505,0.8088560752839964,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,12,0.9994071498734536,0.7982546367283595,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,13,0.999862245100962,0.5161932703582889,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,14,0.9994238373714037,0.36087039875510946,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,15,0.9982814357133021,0.4217359305748551,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,16,0.9998903031840582,0.7402830646923908,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,17,0.9999384910879352,0.576924149448176,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,18,0.9995652546790224,0.4819913376424279,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,19,0.9999918913387018,0.7261041226381649,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,20,0.9995695571201723,0.7881144297576377,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,21,0.9995291818133485,0.4815738023140563,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,22,0.9999528409941744,0.339005322454705,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,23,0.999720589768907,0.6791895866683362,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,24,0.9999788277064159,0.5010632829569216,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,25,0.99991931672794,0.4174190840891631,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,26,0.9993016184633449,0.42926512210035583,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,27,0.9987098915598565,0.8113025468771079,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,28,0.9968976678623269,0.41454897523811146,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,29,0.9973886866154874,0.389014161241378,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,30,0.9999799674948671,0.5709591761845777,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,31,0.9998589844818968,0.7168473848704525,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,32,0.9996327907246195,0.7232968677476291,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,33,0.9996448021317008,0.6364229495357335,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,34,0.9995914820346152,0.672582426507783,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,35,0.9997543206091852,0.6833137319414121,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,36,0.9979757997392671,0.374776760446889,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,37,0.999695126092874,0.39266835524673144,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,38,0.999462788220948,0.7070313998532777,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,39,0.9993397575299146,0.8000099864871298,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,40,0.99986649619046,0.3426974581849971,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,41,0.9968252748668972,0.4620007682634624,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,42,0.9998313012653471,0.564777799359714,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,43,0.9996804163703782,0.5352125500921572,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,44,0.9994309475842666,0.7112063854356926,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,45,0.9992800180442367,0.40150218533384147,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,46,0.9990259212488607,0.591867444566012,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,47,0.999821181676074,0.3513084550299637,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,48,0.9999197190079375,0.7004987552677896,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,49,0.999559352670802,0.7631194755049547,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,50,0.9994946624646983,0.6771364551839202,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,51,0.9991118209344179,0.38945908281855574,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,52,0.9967979913631985,0.4599319994686207,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,53,0.9997260987090477,0.6081464393467509,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,54,0.9993816068436003,0.6274528856771674,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,55,0.9998765821064162,0.4066108065487645,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
Z,ensemble_grape,state,0.08,56,0.9997553154460588,0.7215940217548846,0.4393424774309284,60,0.0005800429522016542,11,120,False,99.66621406399645
