task,step,method,previous_terminal_phi,shift_tail_phi,tail_phi_abs_error,best_margin,best_fallback_phi,best_fallback_norm,terminal_outside_residual,residual_threshold,gradient_norm,line_radius
Z,1,default_alphabet,0.0020415222502339833,0.0020415222502339833,0.0,-0.00022995228460700318,0.0022714745348409865,0.0,1,0.001,nan,nan
Z,1,fine_adaptive_gradient_line,0.0020415222502339833,0.0020415222502339833,0.0,-0.00021394364247370734,0.0022554658927076907,0.00010000000000000002,1,0.001,0.001680578068059478,0.01
Z,2,default_alphabet,0.002026341232292242,0.002026341232292242,0.0,-0.0002299123378368892,0.002256253570129131,0.0,1,0.001,nan,nan
Z,2,fine_adaptive_gradient_line,0.002026341232292242,0.002026341232292242,0.0,-0.00022423897432669732,0.0022505802066189393,0.00010000000000000005,1,0.001,0.0015135087842213088,0.01
Z,3,default_alphabet,0.002256253570129131,0.002256253570129131,0.0,-0.00026874726990237796,0.002525000840031509,0.0,1,0.001,nan,nan
Z,3,fine_adaptive_gradient_line,0.002256253570129131,0.002256253570129131,0.0,-0.00023567404375585133,0.0024919276138849825,0.0004000000000000001,1,0.001,0.0018130314058681582,0.02
Z,4,default_alphabet,0.0023834887293366497,0.0023834887293366497,0.0,-0.0002724723181130387,0.0026559610474496884,0.0,1,0.001,nan,nan
Z,4,fine_adaptive_gradient_line,0.0023834887293366497,0.0023834887293366497,0.0,-0.00023360605803086215,0.002617094787367512,0.0015999999999999996,1,0.001,0.001450452123016208,0.04
Z,5,default_alphabet,0.002584536389571887,0.002584536389571887,0.0,-0.0002988723889398373,0.0028834087785117243,0.25,1,0.001,nan,nan
Z,5,fine_adaptive_gradient_line,0.002584536389571887,0.002584536389571887,0.0,-0.0002933345307077201,0.002877870920279607,0.00039999999999999996,1,0.001,0.0016477678371384296,0.02
Z,6,default_alphabet,0.0028831646562249985,0.0028831646562249985,0.0,-0.0003381215122032627,0.003221286168428261,0.0,1,0.001,nan,nan
Z,6,fine_adaptive_gradient_line,0.0028831646562249985,0.0028831646562249985,0.0,-0.0003108375017093143,0.003194002157934313,0.0004,1,0.001,0.0015234338340043066,0.02
Z,7,default_alphabet,0.003047633659873157,0.003047633659873157,0.0,-0.00028236401050325127,0.0033299976703764084,0.0,1,0.001,nan,nan
Z,7,fine_adaptive_gradient_line,0.003047633659873157,0.003047633659873157,0.0,-0.0002683105537961,0.003315944213669257,0.0001,1,0.001,0.0014849477457133877,0.01
Z,8,default_alphabet,0.0032325847099518995,0.0032325847099518995,0.0,-0.0003565017636682835,0.003589086473620183,0.0,1,0.001,nan,nan
Z,8,fine_adaptive_gradient_line,0.0032325847099518995,0.0032325847099518995,0.0,-0.00034713307081528366,0.003579717780767183,0.0008999999999999999,1,0.001,0.000551042571319759,0.03
Z,9,default_alphabet,0.0034077559489118364,0.0034077559489118364,0.0,-0.00035621410774173967,0.003763970056653576,0.24999999999999994,1,0.001,nan,nan
Z,9,fine_adaptive_gradient_line,0.0034077559489118364,0.0034077559489118364,0.0,-0.00035585841498517873,0.003763614363897015,0.0025000000000000005,1,0.001,0.0007222748243494918,0.05
Z,10,default_alphabet,0.003064422497545974,0.003064422497545974,0.0,-0.00029297240911729805,0.003357394906663272,0.24999999999999994,1,0.001,nan,nan
Z,10,fine_adaptive_gradient_line,0.003064422497545974,0.003064422497545974,0.0,-0.00029593802533142005,0.003360360522877394,9.999999999999999e-05,1,0.001,0.00021102610075816126,0.01
Z,11,default_alphabet,0.0033293719795650795,0.0033293719795650795,0.0,-0.000307469792126952,0.0036368417716920315,0.0,1,0.001,nan,nan
