task,method,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,design_seconds,resource_profile
Z,beam_horizon,0.0,10,0.9991260869424643,0.0008739130575357024,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.0,13,0.9991260869424643,0.0008739130575357024,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.0,20,0.9991260869424643,0.0008739130575357024,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.0,37,0.9991260869424643,0.0008739130575357024,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.0,50,0.9991260869424643,0.0008739130575357024,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.005,10,0.999092901389653,0.0009070986103469902,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.005,13,0.9990430297461462,0.0009569702538537728,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.005,20,0.9991618978012689,0.0008381021987311499,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.005,37,0.999109621338041,0.0008903786619589571,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.005,50,0.9990709335018139,0.0009290664981861374,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.01,10,0.9990543360733137,0.0009456639266862688,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.01,13,0.9989341195971313,0.001065880402868702,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.01,20,0.9991847476948287,0.0008152523051713212,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.01,37,0.9990867711994006,0.0009132288005994083,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.01,50,0.9990035076764892,0.0009964923235108447,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.015,10,0.9990102326426269,0.0009897673573731058,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.015,13,0.9987998716755981,0.0012001283244018612,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.015,20,0.9991950339400975,0.0008049660599025454,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.015,37,0.9990574065499258,0.0009425934500741917,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.015,50,0.9989241640418929,0.0010758359581071186,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.02,10,0.9989604316465812,0.001039568353418785,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.02,13,0.9986408115771035,0.0013591884228965068,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.02,20,0.9991931527018112,0.0008068472981888064,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.02,37,0.9990214012005736,0.0009785987994264111,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.02,50,0.9988332651219289,0.001166734878071063,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.025,10,0.9989047729690228,0.0010952270309771972,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.025,13,0.9984574745688517,0.0015425254311483005,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.025,20,0.9991794984342252,0.0008205015657748449,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.025,37,0.9989786330787127,0.0010213669212872922,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.025,50,0.9987311805888464,0.0012688194111536433,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.03,10,0.998843096246607,0.001156903753392946,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.03,13,0.9982504047964649,0.0017495952035351259,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.03,20,0.9991544632755603,0.000845536724439655,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.03,37,0.9989289845368003,0.0010710154631996538,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.03,50,0.9986182864389777,0.0013817135610223463,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.035,10,0.9987752412691038,0.0012247587308962249,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.035,13,0.9980201544443009,0.001979845555699078,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.035,20,0.9991184363987629,0.0008815636012371453,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.035,37,0.9988723426399974,0.001127657360002643,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.035,50,0.9984949641460547,0.0015050358539453468,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.04,10,0.9987010483616522,0.0012989516383478117,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.04,13,0.9977672828525748,0.002232717147425234,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.04,20,0.9990718033222148,0.0009281966777852091,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.04,37,0.9988085994317629,0.0011914005682370776,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.04,50,0.9983615997937879,0.0016384002062120873,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.045,10,0.998620358748656,0.0013796412513440437,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.045,13,0.9974923555947343,0.002507644405265741,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.045,20,0.9990149451840369,0.0009850548159631156,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.045,37,0.9987376521764365,0.0012623478235634922,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.045,50,0.9982185831894421,0.0017814168105578787,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.05,10,0.9985330148991574,0.0014669851008426438,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.05,13,0.9971959435187773,0.0028040564812227275,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.05,20,0.9989482379836403,0.001051762016359703,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.05,37,0.9986594035778134,0.0013405964221866462,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.05,50,0.9980663069601383,0.0019336930398616836,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.055,10,0.9984388608536252,0.0015611391463747903,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.055,13,0.9968786217563154,0.003121378243684636,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.055,20,0.9988720517941574,0.0011279482058426105,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.055,37,0.998573761972641,0.0014262380273589725,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.055,50,0.9979051656336385,0.0020948343663614866,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.06,10,0.9983377425322308,0.001662257467769157,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.06,13,0.9965409687033749,0.003459031296625059,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.06,20,0.9987867499493595,0.0012132500506405464,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.06,37,0.9984806414979619,0.001519358502038104,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.06,50,0.9977355547053594,0.002264445294640649,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.065,10,0.9982295080248138,0.0017704919751861947,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.065,13,0.996183564977065,0.0038164350229350497,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.065,20,0.9986926882086451,0.0013073117913549037,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.065,37,0.9983799622312033,0.0016200377687967116,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.065,50,0.9975578696933852,0.002442130306614776,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.07,10,0.9981140078628166,0.0018859921371834343,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.07,13,0.9958069923523177,0.0041930076476822675,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.07,20,0.9985902139036298,0.0014097860963702136,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.07,37,0.9982716503018569,0.0017283496981430613,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.07,50,0.9973725051832152,0.0026274948167848144,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.075,10,0.9979910952736419,0.002008904726358063,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.075,13,0.9954118326830306,0.004588167316969427,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
