task,controller,step,value_depth,audit_stride,candidate_count,beam_width,residual_threshold,terminal_outside_residual,tail_phi,phi,current_value,best_fixed_successor_value,best_fixed_depth_margin,best_fallback_norm,best_fallback_amp,best_fallback_index,scheduled_stage_margin
Z,terminal_value_shifted,10,1,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.005421817404209031,0.006060504206521087,-0.0006386868023120565,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,2,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.008124926704066936,0.009132959851583968,-0.0010080331475170318,8.999999999999998,2.9999999999999996,31,0.002064422497545974
Z,terminal_value_shifted,20,1,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.008983937843755181,0.009451221050011352,-0.00046728320625617076,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,2,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.013338547378555686,0.013920953172796943,-0.0005824057942412572,8.999999999999998,2.9999999999999996,32,0.0038873263285444113
Z,terminal_value_shifted,30,1,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.01172116733918891,0.013253755967277965,-0.0015325886280890544,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,2,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.01825787311253043,0.020708983634080316,-0.002451110521549886,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,40,1,10,41,6,0.001,1,0.006322628416410944,0.006322628416410944,0.010795816861410713,0.009711629944273617,0.0010841869171370963,0.9999999999999998,0.9999999999999999,13,0.005322628416410944
Z,terminal_value_shifted,40,2,10,41,6,0.001,1,0.006322628416410944,0.006322628416410944,0.015034258360684477,0.013833058260881562,0.0012012000998029154,0.9999999999999998,0.9999999999999999,13,0.005322628416410944
Z,terminal_value_shifted,50,1,10,41,6,0.001,1,0.005752835471305749,0.005752835471305749,0.010469020648424886,0.01052378528816527,-5.476463974038448e-05,0.9999999999999998,0.9999999999999999,15,0.004752835471305749
Z,terminal_value_shifted,50,2,10,41,6,0.001,1,0.005752835471305749,0.005752835471305749,0.0152766207594709,0.015115588422486032,0.00016103233698486902,3.999999999999999,1.9999999999999998,23,0.004752835471305749
Z,terminal_value_shifted,60,1,10,41,6,0.001,1,0.004591344431382732,0.004591344431382732,0.008368438932335867,0.008878723340210878,-0.0005102844078750113,0.0,0.0,0,0.0035913444313827323
Z,terminal_value_shifted,60,2,10,41,6,0.001,1,0.004591344431382732,0.004591344431382732,0.01247006777159352,0.013396348388407482,-0.0009262806168139626,0.0,0.0,0,0.0035913444313827323
Z,terminal_value_shifted,70,1,10,41,6,0.001,1,0.0019948374770690364,0.0019948374770690364,0.0027777070967847104,0.002435028119789303,0.0003426789769954072,0.0,0.0,0,0.0009948374770690363
Z,terminal_value_shifted,70,2,10,41,6,0.001,1,0.0019948374770690364,0.0019948374770690364,0.0034298655968582285,0.0030370976924011684,0.00039276790445706006,0.0,0.0,0,0.0009948374770690363
Z,terminal_value_shifted,80,1,10,41,6,0.001,1,0.0024200467471505865,0.0024200467471505865,0.004187447873279863,0.004955849550087891,-0.0007684016768080282,0.0,0.0,0,0.0014200467471505865
Z,terminal_value_shifted,80,2,10,41,6,0.001,1,0.0024200467471505865,0.0024200467471505865,0.0063758962972383735,0.007602945658133813,-0.0012270493608954394,0.0,0.0,0,0.0014200467471505865
Z,terminal_value_shifted,90,1,10,41,6,0.001,1,0.004397373380915691,0.004397373380915691,0.008293861185977677,0.009377760061146677,-0.0010838988751689996,0.0,0.0,0,0.003397373380915691
Z,terminal_value_shifted,90,2,10,41,6,0.001,1,0.004397373380915691,0.004397373380915691,0.012775133442062256,0.014513590722766076,-0.00173845728070382,0.0,0.0,0,0.003397373380915691
H,terminal_value_shifted,10,1,10,41,8,0.001,1,0.0031299852094118785,0.0031299852094118785,0.0056052000477825265,0.006335948290288087,-0.0007307482425055606,0.9999999999999998,0.9999999999999999,14,0.0021299852094118785
H,terminal_value_shifted,10,2,10,41,8,0.001,1,0.0031299852094118785,0.0031299852094118785,0.008465933499699861,0.009677766794515376,-0.0012118332948155147,15.999999999999996,3.9999999999999996,38,0.0021299852094118785
H,terminal_value_shifted,20,1,10,41,8,0.001,1,0.0024796918965813083,0.0024796918965813083,0.0041454264758129045,0.0045753296926038045,-0.00042990321679090004,3.999999999999999,1.9999999999999998,21,0.0014796918965813083
H,terminal_value_shifted,20,2,10,41,8,0.001,1,0.0024796918965813083,0.0024796918965813083,0.006055021589184981,0.006754270354266944,-0.0006992487650819626,3.999999999999999,1.9999999999999998,21,0.0014796918965813083
H,terminal_value_shifted,30,1,10,41,8,0.001,1,0.0028539415808631063,0.0028539415808631063,0.004849689420837863,0.005233313124624003,-0.0003836237037861401,0.0,0.0,0,0.0018539415808631063
H,terminal_value_shifted,30,2,10,41,8,0.001,1,0.0028539415808631063,0.0028539415808631063,0.007087254705487033,0.007722110317970593,-0.0006348556124835605,0.24999999999999994,0.49999999999999994,7,0.0018539415808631063
H,terminal_value_shifted,40,1,10,41,8,0.001,0,0.000817895835042777,0.000817895835042777,0.0008744007998032072,0.0010609201189870701,-0.00018651931918386294,0.24999999999999994,0.49999999999999994,5,0.0
H,terminal_value_shifted,40,2,10,41,8,0.001,0,0.000817895835042777,0.000817895835042777,0.0010609201189870701,0.0013672161696500493,-0.0003062960506629792,0.24999999999999994,0.49999999999999994,5,0.0
H,terminal_value_shifted,50,1,10,41,8,0.001,1,0.002217241497393087,0.002217241497393087,0.003676481239936074,0.004240823708550925,-0.0005643424686148507,0.0,0.0,0,0.0012172414973930868
H,terminal_value_shifted,50,2,10,41,8,0.001,1,0.002217241497393087,0.002217241497393087,0.0054580652059439076,0.006425586194645132,-0.0009675209887012245,0.0,0.0,0,0.0012172414973930868
H,terminal_value_shifted,60,1,10,41,8,0.001,1,0.0034109404019825734,0.0034109404019825734,0.006013414865455009,0.006453231295124672,-0.00043981642966966356,0.0,0.0,0,0.0024109404019825734
H,terminal_value_shifted,60,2,10,41,8,0.001,1,0.0034109404019825734,0.0034109404019825734,0.008864171697107128,0.009602595772899023,-0.000738424075791895,0.0,0.0,0,0.0024109404019825734
H,terminal_value_shifted,70,1,10,41,8,0.001,1,0.004969528306360084,0.004969528306360084,0.009505507412526759,0.010723828413720153,-0.001218321001193394,0.0,0.0,0,0.003969528306360084
H,terminal_value_shifted,70,2,10,41,8,0.001,1,0.004969528306360084,0.004969528306360084,0.014693356720080146,0.016645048422714748,-0.0019516917026346017,0.0,0.0,0,0.003969528306360084
H,terminal_value_shifted,80,1,10,41,8,0.001,1,0.0013480594111151753,0.0013480594111151753,0.0017192927316990883,0.0018827734966100152,-0.00016348076491092683,0.0,0.0,0,0.0003480594111151753
H,terminal_value_shifted,80,2,10,41,8,0.001,1,0.0013480594111151753,0.0013480594111151753,0.002230832907725114,0.0025946571605503597,-0.00036382425282524555,0.0,0.0,0,0.0003480594111151753
H,terminal_value_shifted,90,1,10,41,8,0.001,1,0.0026305139244080233,0.0026305139244080233,0.00453037283994199,0.005195135040240371,-0.0006647622002983813,0.0,0.0,0,0.0016305139244080233
H,terminal_value_shifted,90,2,10,41,8,0.001,1,0.0026305139244080233,0.0026305139244080233,0.006825648964648269,0.007956486178477962,-0.0011308372138296927,0.24999999999999994,0.49999999999999994,7,0.0016305139244080233
