task,controller,step,value_depth,stage_discount,terminal_weight,control_stage_weight,audit_stride,candidate_count,beam_width,residual_threshold,terminal_outside_residual,tail_phi,phi,current_value,best_fixed_successor_value,best_fixed_depth_margin,best_fallback_norm,best_fallback_amp,best_fallback_index,scheduled_stage_margin
Z,terminal_value_shifted,1,1,1.0,1.0,0.0,1,41,6,0.001,1,0.0020415222502339833,0.0020415222502339833,0.0033129967850747686,0.0038030837995553035,-0.000490087014480535,0.0,0.0,0,0.0010415222502339833
Z,terminal_value_shifted,2,1,1.0,1.0,0.0,1,41,6,0.001,1,0.002026341232292242,0.002026341232292242,0.0032825948024211233,0.0037812544101603627,-0.0004986596077392394,0.0,0.0,0,0.001026341232292242
Z,terminal_value_shifted,3,1,1.0,1.0,0.0,1,41,6,0.001,1,0.002256253570129131,0.002256253570129131,0.0037812544101603627,0.004326007285490868,-0.000544752875330505,0.0,0.0,0,0.0012562535701291311
Z,terminal_value_shifted,4,1,1.0,1.0,0.0,1,41,6,0.001,1,0.00243047701357111,0.00243047701357111,0.004039231886545044,0.004486584229343602,-0.00044735234279855846,0.25,0.5,3,0.0014304770135711098
Z,terminal_value_shifted,5,1,1.0,1.0,0.0,1,41,6,0.001,1,0.002584536389571887,0.002584536389571887,0.004467945168083403,0.005108464677611489,-0.0006405195095280855,1.0,1.0,11,0.001584536389571887
Z,terminal_value_shifted,6,1,1.0,1.0,0.0,1,41,6,0.001,1,0.0028831646562249985,0.0028831646562249985,0.005104450824653017,0.00583688554719139,-0.0007324347225383734,0.0,0.0,0,0.0018831646562249985
Z,terminal_value_shifted,7,1,1.0,1.0,0.0,1,41,6,0.001,1,0.003047633659873157,0.003047633659873157,0.005377631330249253,0.006054070530459117,-0.0006764392002098635,0.0,0.0,0,0.002047633659873157
Z,terminal_value_shifted,8,1,1.0,1.0,0.0,1,41,6,0.001,1,0.0032325847099518995,0.0032325847099518995,0.0058216711835718605,0.006560072064401908,-0.000738400880830048,0.0,0.0,0,0.0022325847099518995
Z,terminal_value_shifted,9,1,1.0,1.0,0.0,1,41,6,0.001,1,0.0034077559489118364,0.0034077559489118364,0.006171726005565204,0.0069434668333214706,-0.0007717408277562662,0.24999999999999994,0.49999999999999994,6,0.0024077559489118364
Z,terminal_value_shifted,10,1,1.0,1.0,0.0,1,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.005421817404209031,0.006060504206521087,-0.0006386868023120565,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,11,1,1.0,1.0,0.0,1,41,6,0.001,1,0.0033293719795650795,0.0033293719795650795,0.0059662137512569305,0.0066516795071960575,-0.000685465755939127,0.0,0.0,0,0.0023293719795650794
Z,terminal_value_shifted,12,1,1.0,1.0,0.0,1,41,6,0.001,1,0.0035217982043523957,0.0035217982043523957,0.00642505941679257,0.0072650510035126925,-0.0008399915867201221,0.0,0.0,0,0.0025217982043523957
