task,controller,step,value_depth,stage_discount,terminal_weight,control_stage_weight,audit_stride,candidate_count,beam_width,residual_threshold,terminal_outside_residual,tail_phi,phi,current_value,best_fixed_successor_value,best_fixed_depth_margin,best_fallback_norm,best_fallback_amp,best_fallback_index,scheduled_stage_margin
Z,terminal_value_shifted,10,2,0.0,0.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.002064422497545849,0.0023573949066631817,-0.00029297240911733274,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,2,0.0,1.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.002064422497545849,0.0023573949066631817,-0.00029297240911733274,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,2,0.25,0.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.002653771224211644,0.003033172231627658,-0.0003794010074160137,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,2,0.25,1.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.0028852155554527636,0.0032902707947454644,-0.00040505523929270076,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,2,0.5,0.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.0032431199508774398,0.0037089495565921344,-0.0004658296057146946,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,2,0.5,1.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.0041688972758419165,0.0047370144384888384,-0.0005681171626469219,0.9999999999999998,0.9999999999999999,15,0.002064422497545974
Z,terminal_value_shifted,10,2,0.75,0.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.0038324686775432354,0.004384726881556611,-0.0005522582040133756,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,2,0.75,1.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.005915467658713307,0.0066908609695887755,-0.0007753933108754687,0.9999999999999998,0.9999999999999999,15,0.002064422497545974
Z,terminal_value_shifted,10,2,0.9,0.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.004186077913542713,0.004790193276535296,-0.0006041153629925836,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,2,0.9,1.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.007185596446427615,0.00810886625619308,-0.0009232698097654648,0.9999999999999998,0.9999999999999999,15,0.002064422497545974
Z,terminal_value_shifted,10,2,1.0,0.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.004421817404209031,0.005060504206521087,-0.0006386868023120565,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,2,1.0,1.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.008124926704066936,0.009132959851583968,-0.0010080331475170318,8.999999999999998,2.9999999999999996,31,0.002064422497545974
Z,terminal_value_shifted,20,2,0.0,0.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.003887326328544335,0.004096611515210847,-0.00020928518666651214,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,2,0.0,1.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.003887326328544335,0.004096611515210847,-0.00020928518666651214,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,2,0.25,0.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.0049114792073470465,0.005185263898910973,-0.0002737846915639268,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,2,0.25,1.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.005246142303272078,0.00553816417017386,-0.0002920218669017821,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,2,0.5,0.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.005935632086149759,0.0062739162826111,-0.00033828419646134145,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,2,0.5,1.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.007274284469849885,0.007685517367662648,-0.0004112328978127626,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,2,0.75,0.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.0069597849649524705,0.007362568666311227,-0.0004027837013587561,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,2,0.75,1.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.009971752828277754,0.010538671107677207,-0.0005669182793994528,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,2,0.9,0.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.007574276692234098,0.008015760096531302,-0.00044148340429720455,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,2,0.9,1.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.011911510415422506,0.012500883267039232,-0.0005893728516167263,8.999999999999998,2.9999999999999996,32,0.0038873263285444113
Z,terminal_value_shifted,20,2,1.0,0.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.007983937843755182,0.008451221050011353,-0.00046728320625617076,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,2,1.0,1.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.013338547378555686,0.013920953172796943,-0.0005824057942412572,8.999999999999998,2.9999999999999996,32,0.0038873263285444113
Z,terminal_value_shifted,30,2,0.0,0.0,0.0,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.005004117145252466,0.0057170501939364455,-0.0007129330486839794,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,2,0.0,1.0,0.0,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.005004117145252466,0.0057170501939364455,-0.0007129330486839794,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,2,0.25,0.0,0.0,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.006433379693736577,0.007351226637271825,-0.0009178469435352481,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,2,0.25,1.0,0.0,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.006904423804570422,0.007879678366446973,-0.0009752545618765505,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,2,0.5,0.0,0.0,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.00786264224222069,0.008985403080607206,-0.0011227608383865169,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,2,0.5,1.0,0.0,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.009746818685556068,0.011099209997307794,-0.0013523913117517265,0.0,0.0,0,0.005004117145252542
