task,controller,step,value_depth,audit_stride,candidate_count,beam_width,residual_threshold,terminal_outside_residual,tail_phi,phi,current_value,best_fixed_successor_value,best_fixed_depth_margin,best_fallback_norm,best_fallback_amp,best_fallback_index,scheduled_stage_margin
Z,raw_shifted,10,1,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.005421817404209246,0.0060605042065212675,-0.0006386868023120218,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,raw_shifted,20,1,10,41,6,0.001,1,0.004881731079065886,0.004881731079065886,0.009069280203989706,0.009672839888267726,-0.0006035596842780197,0.9999999999999998,0.9999999999999999,16,0.003881731079065886
Z,raw_shifted,30,1,10,41,6,0.001,1,0.005999031781424108,0.005999031781424108,0.011724536815701174,0.013279081024378497,-0.0015545442086773234,0.0,0.0,0,0.004999031781424108
Z,raw_shifted,40,1,10,41,6,0.001,1,0.00606115499530064,0.00606115499530064,0.010968255432802651,0.010752218225567496,0.0002160372072351549,0.0,0.0,0,0.00506115499530064
Z,raw_shifted,50,1,10,41,6,0.001,1,0.007077406881794916,0.007077406881794916,0.013581631140649232,0.01441213318773557,-0.0008305020470863386,0.24999999999999994,0.49999999999999994,7,0.006077406881794916
Z,raw_shifted,60,1,10,41,6,0.001,1,0.004332642697693519,0.004332642697693519,0.007772121593794674,0.008101653128560732,-0.0003295315347660579,0.0,0.0,0,0.0033326426976935187
Z,raw_shifted,70,1,10,41,6,0.001,1,0.0038326895183158766,0.0038326895183158766,0.006578083005905359,0.006467739866417578,0.0001103431394877813,0.0,0.0,0,0.0028326895183158765
Z,raw_shifted,80,1,10,41,6,0.001,1,0.0017535732154342482,0.0017535732154342482,0.002787665628123417,0.003392422345628741,-0.000604756717505324,0.0,0.0,0,0.0007535732154342481
Z,raw_shifted,90,1,10,41,6,0.001,1,0.0029773276981741245,0.0029773276981741245,0.005289366444424162,0.006033948357110166,-0.0007445819126860043,0.0,0.0,0,0.0019773276981741245
Z,terminal_value_shifted,10,1,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.005421817404209246,0.0060605042065212675,-0.0006386868023120218,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,20,1,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.008983937843755355,0.009451221050011518,-0.0004672832062561638,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,30,1,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.011721167339189126,0.013253755967278263,-0.0015325886280891377,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,40,1,10,41,6,0.001,1,0.006322628416410944,0.006322628416410944,0.01079581686141095,0.009711629944273985,0.0010841869171369645,0.9999999999999998,0.9999999999999999,13,0.005322628416410944
Z,terminal_value_shifted,50,1,10,41,6,0.001,1,0.005752835471305749,0.005752835471305749,0.010469020648425066,0.01052378528816552,-5.476463974045387e-05,0.9999999999999998,0.9999999999999999,15,0.004752835471305749
Z,terminal_value_shifted,60,1,10,41,6,0.001,1,0.004591344431382732,0.004591344431382732,0.00836843893233609,0.008878723340211121,-0.0005102844078750321,0.0,0.0,0,0.0035913444313827323
