task,controller,step,value_depth,terminal_weight,control_stage_weight,audit_stride,candidate_count,beam_width,residual_threshold,terminal_outside_residual,tail_phi,phi,current_value,best_fixed_successor_value,best_fixed_depth_margin,best_fallback_norm,best_fallback_amp,best_fallback_index,scheduled_stage_margin
Z,terminal_value_shifted,10,1,0.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.002064422497545849,0.0023573949066631817,-0.00029297240911733274,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,1,0.0,0.0001,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.002064422497545849,0.0023573949066631817,-0.00029297240911733274,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,1,0.0,0.0005,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.002064422497545849,0.0023573949066631817,-0.00029297240911733274,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,1,0.0,0.001,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.002064422497545849,0.0023573949066631817,-0.00029297240911733274,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,1,0.0,0.002,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.002064422497545849,0.0023573949066631817,-0.00029297240911733274,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,1,1.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.005421817404209031,0.006060504206521087,-0.0006386868023120565,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,1,1.0,0.0001,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.0054260983788242895,0.006060504206521087,-0.0006344058276967976,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,1,1.0,0.0005,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.0054260983788242895,0.006060504206521087,-0.0006344058276967976,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,1,1.0,0.001,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.0054260983788242895,0.006060504206521087,-0.0006344058276967976,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,1,1.0,0.002,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.0054260983788242895,0.006060504206521087,-0.0006344058276967976,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,20,1,0.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.003887326328544335,0.004096611515210847,-0.00020928518666651214,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
