task,controller,step,value_depth,terminal_weight,control_stage_weight,audit_stride,candidate_count,beam_width,residual_threshold,terminal_outside_residual,tail_phi,phi,current_value,best_fixed_successor_value,best_fixed_depth_margin,best_fallback_norm,best_fallback_amp,best_fallback_index,scheduled_stage_margin
Z,terminal_value_shifted,10,1,0.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.002064422497545849,0.0023573949066631817,-0.00029297240911733274,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,1,0.25,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.0029037712242116443,0.003283172231627658,-0.0003794010074160137,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,1,0.5,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.0037431199508774398,0.004208949556592134,-0.0004658296057146946,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,1,1.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.005421817404209031,0.006060504206521087,-0.0006386868023120565,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,1,2.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.008779212310872211,0.009747165613061264,-0.0009679533021890521,8.999999999999998,2.9999999999999996,31,0.002064422497545974
Z,terminal_value_shifted,20,1,0.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.003887326328544335,0.004096611515210847,-0.00020928518666651214,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,1,0.25,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.005161479207347047,0.0054352638989109735,-0.0002737846915639268,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,1,0.5,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.0064356320861497585,0.0067739162826111,-0.00033828419646134145,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,1,1.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.008983937843755181,0.009451221050011352,-0.00046728320625617076,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,1,2.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.014080549358966028,0.014730228653320188,-0.0006496792943541593,8.999999999999998,2.9999999999999996,32,0.0038873263285444113
Z,terminal_value_shifted,30,1,0.0,0.0,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.005004117145252466,0.0057170501939364455,-0.0007129330486839794,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,1,0.25,0.0,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.0066833796937365774,0.007601226637271826,-0.0009178469435352481,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,1,0.5,0.0,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.008362642242220688,0.009485403080607205,-0.0011227608383865169,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,1,1.0,0.0,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.01172116733918891,0.013253755967277965,-0.0015325886280890544,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,1,2.0,0.0,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.018438217533125356,0.020790461740619486,-0.0023522442074941294,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,40,1,0.0,0.0,10,41,6,0.001,1,0.006322628416410944,0.006322628416410944,0.005322628416410861,0.004473188444999853,0.0008494399714110076,0.9999999999999998,0.9999999999999999,13,0.005322628416410944
Z,terminal_value_shifted,40,1,0.25,0.0,10,41,6,0.001,1,0.006322628416410944,0.006322628416410944,0.006690925527660824,0.005782798819818294,0.0009081267078425298,0.9999999999999998,0.9999999999999999,13,0.005322628416410944
Z,terminal_value_shifted,40,1,0.5,0.0,10,41,6,0.001,1,0.006322628416410944,0.006322628416410944,0.008059222638910787,0.007092409194636736,0.0009668134442740511,0.9999999999999998,0.9999999999999999,13,0.005322628416410944
Z,terminal_value_shifted,40,1,1.0,0.0,10,41,6,0.001,1,0.006322628416410944,0.006322628416410944,0.010795816861410713,0.009711629944273617,0.0010841869171370963,0.9999999999999998,0.9999999999999999,13,0.005322628416410944
Z,terminal_value_shifted,40,1,2.0,0.0,10,41,6,0.001,1,0.006322628416410944,0.006322628416410944,0.016269005306410567,0.014950071443547382,0.001318933862863185,0.9999999999999998,0.9999999999999999,13,0.005322628416410944
Z,terminal_value_shifted,50,1,0.0,0.0,10,41,6,0.001,1,0.005752835471305749,0.005752835471305749,0.004752835471305631,0.004716185177119255,3.665029418637583e-05,0.9999999999999998,0.9999999999999999,15,0.004752835471305749
