task,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy
Z,0.08,10,0.9985633651324299,0.38396211265071917,4.9225
Z,0.08,11,0.999141677186778,0.3583498118376074,4.9225
Z,0.08,12,0.9988111900073171,0.35739894267675804,4.9225
Z,0.08,13,0.9956210010476273,0.40599732288187473,4.9225
Z,0.08,14,0.9978800096185704,0.4040207619905673,4.9225
Z,0.08,15,0.9978118137930931,0.37899348865411436,4.9225
Z,0.08,16,0.9994603652489925,0.3589023513843836,4.9225
Z,0.08,17,0.999285779567089,0.38795015659503895,4.9225
Z,0.08,18,0.995657034184589,0.3912895995033088,4.9225
Z,0.08,19,0.9981307886581487,0.3551536662662671,4.9225
Z,0.08,20,0.9993077020532399,0.35796023387772175,4.9225
Z,0.08,21,0.9981403457680762,0.3741346754694601,4.9225
Z,0.08,22,0.9982123773120204,0.3873267378460326,4.9225
Z,0.08,23,0.9994812683976917,0.3827390194954805,4.9225
Z,0.08,24,0.9992191380912605,0.3907473350889031,4.9225
Z,0.08,25,0.9992192739396238,0.39524835369204053,4.9225
Z,0.08,26,0.9959039308567046,0.3891190969814886,4.9225
Z,0.08,27,0.9999196211822599,0.3724783170577912,4.9225
Z,0.08,28,0.9998242470466163,0.3664922600447038,4.9225
Z,0.08,29,0.9999080167255877,0.3684093960585024,4.9225
Z,0.08,30,0.9990737826561202,0.385012821808637,4.9225
Z,0.08,31,0.9995241470591962,0.3604725664594693,4.9225
Z,0.08,32,0.9989488052022496,0.3736260124983828,4.9225
Z,0.08,33,0.9969526596728304,0.3960187895270506,4.9225
Z,0.08,34,0.9977551869759858,0.3829178406823072,4.9225
Z,0.08,35,0.9994002126369704,0.358586119676046,4.9225
Z,0.08,36,0.9993834681050683,0.3740180949146487,4.9225
Z,0.08,37,0.9987048398530057,0.40145344307385344,4.9225
Z,0.08,38,0.9997408635743483,0.38769174054762723,4.9225
Z,0.08,39,0.9986911642260862,0.35784911762868776,4.9225
Z,0.08,40,0.997672140785688,0.387507802221466,4.9225
Z,0.08,41,0.999681154864595,0.3633203314961086,4.9225
Z,0.08,42,0.9958072396491765,0.39825462189361777,4.9225
Z,0.08,43,0.9977593446890911,0.3721515155655073,4.9225
Z,0.08,44,0.999730326454594,0.3879210042473679,4.9225
Z,0.08,45,0.9960682348872094,0.38868199736347414,4.9225
Z,0.08,46,0.997250631207841,0.35825167026936316,4.9225
Z,0.08,47,0.9998564208057542,0.38229990850518686,4.9225
Z,0.08,48,0.9974257011437554,0.3559967702941426,4.9225
Z,0.08,49,0.9980313428880642,0.36211966423887326,4.9225
Z,0.08,50,0.9976511836354736,0.3932022535866368,4.9225
Z,0.08,51,0.9966098855130504,0.3863027012847975,4.9225
Z,0.08,52,0.999618837387846,0.3627218473994114,4.9225
Z,0.08,53,0.9965465809949571,0.39150850692825084,4.9225
Z,0.08,54,0.9989943406177817,0.3690342149252847,4.9225
Z,0.08,55,0.9945730678299766,0.4087556985614582,4.9225
Z,0.08,56,0.9994808228179313,0.3643162402593783,4.9225
Z,0.08,57,0.9998154617770919,0.3678115965137681,4.9225
Z,0.08,58,0.9998106243724937,0.383637348605462,4.9225
Z,0.08,59,0.9992773055712767,0.3574479791680693,4.9225
H,0.08,10,0.99972109934888,0.9263243686023449,5.6075
H,0.08,11,0.9989206140112178,0.8786205006170245,5.6075
H,0.08,12,0.999135899773496,0.8759225455755818,5.6075
H,0.08,13,0.9956814631413458,0.9362844838274275,5.6075
H,0.08,14,0.9997634174284191,0.9332618160780868,5.6075
