task,baseline,eval_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,max_abs_control,segments,training_strengths,training_seed_count,krotov_iterations,lambda_a,terminal_info,optimization_seconds
Z,ensemble_krotov,0.05,10,0.9577763719739772,0.34130253395545723,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,11,0.9612078557928216,0.3597389144910356,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,12,0.9606592519454119,0.354215111765118,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,13,0.9614878969518558,0.33990987339283324,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,14,0.9636940997299372,0.3536238431265078,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,15,0.9544526517439309,0.3376884372892716,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,16,0.9605731385235328,0.3652735351525919,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,17,0.9617676369369248,0.3369609533056472,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,18,0.9592085252567069,0.3484134844783125,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,19,0.9581245981386137,0.3432283628652235,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,20,0.9611611047542623,0.3641795153332092,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,21,0.9621670334016961,0.35137140284378643,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,22,0.9591780448833234,0.3439242483639488,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,23,0.9612189354089338,0.3334349291337188,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,24,0.9623099565463659,0.3447872535354683,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,25,0.9630269187589985,0.35538806580154375,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,26,0.9571684180033188,0.3405287008609505,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,27,0.9614326125337658,0.35357797292837995,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,28,0.9527476618094263,0.3338005910361737,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,29,0.9546353960893807,0.3373888025101861,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,30,0.9617883984793145,0.33879054887146715,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,31,0.9604458301994252,0.3664281623729981,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,32,0.960869893147634,0.3339764381578602,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,33,0.96176994034493,0.35890451751249514,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,34,0.961970811110096,0.3754108718065019,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,35,0.9586099287749212,0.3567099495849457,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,36,0.9534462980309363,0.33420751344715344,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,37,0.9633202462079032,0.3531128371713432,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,38,0.9613284683442409,0.33810328646441823,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,39,0.9605897659561258,0.3514487085573259,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,40,0.9576181388384145,0.3387018539818308,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,41,0.9522544785097729,0.3336270025983272,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,42,0.9614049675400299,0.3537014792888847,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,43,0.9616013521328528,0.34487198928747675,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,44,0.9613434083153862,0.3392367916423367,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,45,0.9562148154236358,0.33650987794662407,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,46,0.9569255325451947,0.33373463465697156,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,47,0.9633236012292692,0.3645415223821398,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,48,0.957700379531975,0.3361475353966438,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,49,0.9601195207707365,0.3370442446692112,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,50,0.9618013173306301,0.3623791697591124,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,51,0.9553419157078764,0.33488534240836665,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,52,0.9524769163641156,0.3333410090446054,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,53,0.9616078541818466,0.364035197533874,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,54,0.9599164073939492,0.36572151746229736,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,55,0.9611781326561677,0.33335369455021474,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,56,0.9614645091714026,0.37415168466345966,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,57,0.9621845054310214,0.37939248178891444,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,58,0.9635717410073515,0.365952218133708,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.05,59,0.9603891069709705,0.36172516331922105,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,10,0.9582576133326484,0.3554451319730913,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,11,0.9629120684853651,0.3935433323096487,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,12,0.9626734991483654,0.38130046196578254,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,13,0.9621046732305368,0.3482767712748062,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,14,0.9625558238410572,0.386250311392027,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,15,0.9508314893705376,0.34304155980890866,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,16,0.9635866134162033,0.4054591827355487,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,17,0.960514424434,0.343908896261272,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,18,0.9603170661300358,0.3680723941448269,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,19,0.9589616177239009,0.35608221710115645,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,20,0.9634091560398553,0.40314678821625255,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,21,0.9622338865397969,0.3807399632263355,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,22,0.9610610011022046,0.36221407177292303,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,23,0.9603835112470781,0.33342523357971304,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,24,0.9599093792455622,0.3643791901782885,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,25,0.9585604540811824,0.390444425086691,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,26,0.9562879413207108,0.34972916730005466,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,27,0.9597890831108425,0.3798475517743622,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,28,0.9466573068364471,0.33503481875885655,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,29,0.9515915848601533,0.34508006182082385,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,30,0.96048907995511,0.3488127035030976,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,31,0.9635460628635545,0.40789605899725406,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,32,0.9604313954162929,0.33449290367076684,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,33,0.960338520979274,0.39163973121956414,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,34,0.9597474987282755,0.4263993625541221,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,35,0.9614385144254953,0.38683082605131996,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,36,0.9481006376218701,0.336247203946399,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,37,0.9602734240222137,0.3850086819186973,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,38,0.9601907800023177,0.34401720188609614,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,39,0.9623581523304436,0.3750551211232324,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,40,0.9573815366893583,0.3485919021124664,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,41,0.9456027112744894,0.3337686920418752,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,42,0.9617598793363695,0.3800854591327951,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,43,0.961963312580784,0.3645719181972094,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,44,0.9601302793120662,0.3466857623433424,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,45,0.9538449003545632,0.34028185160205116,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,46,0.95522760196701,0.3348252628530779,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,47,0.9643308069488989,0.4116278618535782,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,48,0.9570536274258312,0.339442315089493,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,49,0.9604825283666213,0.3415412532215461,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,50,0.9591349711624577,0.39920466539448385,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,51,0.951839288145873,0.33651838549062285,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,52,0.9460093127040656,0.33333792795056355,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,53,0.9612239373811207,0.40274884045911397,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,54,0.9628014874897655,0.4063548938283093,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,55,0.9622030682141248,0.3333338777137951,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,56,0.9631775350438601,0.4239010699517181,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,57,0.9575774840819178,0.43443938571137575,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,58,0.9635124953502157,0.4147668435805054,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
Z,ensemble_krotov,0.08,59,0.9633588090932081,0.3978489711103516,0.01822373301062934,0.19571163003570213,40,0.08,8,60,5.0,nan,52.442459776997566
H,ensemble_krotov,0.05,10,0.9855246390640613,0.3449139686241509,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,11,0.9929346143549109,0.38028076622341395,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,12,0.9931646205798608,0.37174741499082353,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,13,0.9859722097951544,0.34142257428455136,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,14,0.9896358566632374,0.3644751479482197,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,15,0.9851086482462543,0.339865937111502,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,16,0.9903995730933485,0.38778691797695886,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,17,0.9911014311879415,0.33747288587391977,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,18,0.9857263889581203,0.3541217065191975,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,19,0.9928455663623114,0.35380673471592367,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,20,0.9919652425622182,0.38697685501606965,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,21,0.9941259710643962,0.3548494446013187,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,22,0.9856137330749173,0.34910986891694323,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,23,0.9901710117730662,0.3338532454777195,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,24,0.9921583809266911,0.3483435693486909,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,25,0.9922099587948563,0.36440401897715896,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,26,0.9850315686708233,0.34301715918794407,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,27,0.9918872231888792,0.3677589385358599,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,28,0.9875289262535676,0.33354924053846097,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,29,0.9877718518419278,0.3376811055581977,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,30,0.991987826777341,0.33955579336006786,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,31,0.9896159054057803,0.38884215431949737,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,32,0.9916675158663528,0.3355014162279455,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,33,0.9880146967789769,0.3697322298773711,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,34,0.9887501630604201,0.3964323872184205,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,35,0.9896631724807479,0.37404368097363666,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,36,0.9858840894103496,0.3342532902995469,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,37,0.9909529681174007,0.362627862049873,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,38,0.9888239064182007,0.34137304470012825,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,39,0.9934040024778983,0.3672920609695898,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,40,0.9852207250227496,0.34156253230226347,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,41,0.9880145219071623,0.3345007354073468,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,42,0.9869354161379625,0.3613636272373359,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,43,0.994374639652553,0.34594748720705376,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,44,0.9887999841563162,0.3430805980569112,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,45,0.9847791098976094,0.3374241249148895,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,46,0.9935486869466426,0.3333343417293473,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,47,0.9890956906003339,0.3763828072794893,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,48,0.9936508799651588,0.34111218563625934,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,49,0.9935405442457913,0.34243309132910077,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,50,0.9887312812250697,0.37558675796855184,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,51,0.9847279701372946,0.3353232179154923,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,52,0.9884842716315729,0.3336501483209939,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,53,0.9877582728527725,0.3774864456920954,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,54,0.9875364990826183,0.38461850666107916,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,55,0.9856347103765276,0.3333596698709258,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,56,0.989224251066923,0.39959169657007226,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,57,0.9918354646451029,0.40790805905028465,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,58,0.9893633660330421,0.3785638680711629,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.05,59,0.9912076030954822,0.38290310543552425,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,10,0.9786768300091735,0.36688984090581905,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,11,0.9931008400938536,0.43840889638388236,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,12,0.9938230102948411,0.41962975384605955,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,13,0.9831609139369961,0.3505229047631579,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,14,0.9879736920042935,0.4170991244369488,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,15,0.9804382108874886,0.3470526896285935,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,16,0.9866315304385308,0.45459950951648387,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,17,0.9905208471507158,0.34651393633852434,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,18,0.9831763731418925,0.3799992620523129,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,19,0.9932401179731347,0.3790248777485099,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
