task,step,fallback_spec,block_steps,beam_width,candidate_count,expanded_count,previous_terminal_phi,shift_tail_phi,tail_phi_abs_error,best_block_phi,raw_terminal_margin,energy_adjusted_margin,best_block_energy_mean,best_block_first_norm,terminal_outside_residual,residual_threshold
Z,2,one_step_exhaustive,1,41,41,41,0.002026341232292242,0.002026341232292242,0.0,0.002256253570129131,-0.0002299123378368892,-0.0002299123378368892,0.0,0.0,1,0.001
Z,2,two_step_beam8,2,8,41,369,0.002026341232292242,0.002026341232292242,0.0,0.0025048680143990518,-0.0004785267821068098,-0.0004785267821068098,0.24999999999999997,0.24999999999999994,1,0.001
Z,2,three_step_beam8,3,8,41,697,0.002026341232292242,0.002026341232292242,0.0,0.0027193036568965573,-0.0006929624246043153,-0.0006929624246043153,0.25,0.25,1,0.001
Z,4,one_step_exhaustive,1,41,41,41,0.0023834887293366497,0.0023834887293366497,0.0,0.0026559610474496884,-0.0002724723181130387,-0.0002724723181130387,0.0,0.0,1,0.001
Z,4,two_step_beam8,2,8,41,369,0.0023834887293366497,0.0023834887293366497,0.0,0.0029108003760675225,-0.0005273116467308728,-0.0005273116467308728,0.125,0.0,1,0.001
Z,4,three_step_beam8,3,8,41,697,0.0023834887293366497,0.0023834887293366497,0.0,0.003233676246875629,-0.0008501875175389792,-0.0008501875175389792,0.08333333333333333,0.0,1,0.001
Z,6,one_step_exhaustive,1,41,41,41,0.0028831646562249985,0.0028831646562249985,0.0,0.003221286168428261,-0.0003381215122032627,-0.0003381215122032627,0.0,0.0,1,0.001
Z,6,two_step_beam8,2,8,41,369,0.0028831646562249985,0.0028831646562249985,0.0,0.0033459150084175215,-0.00046275035219252303,-0.00046275035219252303,2.5,4.0,1,0.001
Z,6,three_step_beam8,3,8,41,697,0.0028831646562249985,0.0028831646562249985,0.0,0.003703528119411402,-0.0008203634631864035,-0.0008203634631864035,1.6666666666666667,4.0,1,0.001
Z,8,one_step_exhaustive,1,41,41,41,0.0032325847099518995,0.0032325847099518995,0.0,0.003589086473620183,-0.0003565017636682835,-0.0003565017636682835,0.0,0.0,1,0.001
Z,8,two_step_beam8,2,8,41,369,0.0032325847099518995,0.0032325847099518995,0.0,0.003806550631817694,-0.0005739659218657947,-0.0005739659218657947,2.1249999999999996,0.25,1,0.001
Z,8,three_step_beam8,3,8,41,697,0.0032325847099518995,0.0032325847099518995,0.0,0.004090626334992166,-0.0008580416250402664,-0.0008580416250402664,3.416666666666666,0.25,1,0.001
Z,10,one_step_exhaustive,1,41,41,41,0.003064422497545974,0.003064422497545974,0.0,0.003357394906663272,-0.00029297240911729805,-0.00029297240911729805,0.24999999999999994,0.24999999999999994,1,0.001
Z,10,two_step_beam8,2,8,41,369,0.003064422497545974,0.003064422497545974,0.0,0.0036183295642980215,-0.0005539070667520476,-0.0005539070667520476,4.624999999999999,8.999999999999998,1,0.001
Z,10,three_step_beam8,3,8,41,697,0.003064422497545974,0.003064422497545974,0.0,0.004004123802820787,-0.0009397013052748135,-0.0009397013052748135,3.0833333333333326,8.999999999999998,1,0.001
Z,12,one_step_exhaustive,1,41,41,41,0.0035217982043523957,0.0035217982043523957,0.0,0.0039032612124404037,-0.000381463008088008,-0.000381463008088008,0.0,0.0,1,0.001
Z,12,two_step_beam8,2,8,41,369,0.0035217982043523957,0.0035217982043523957,0.0,0.004319142139775085,-0.0007973439354226897,-0.0007973439354226897,0.625,1.0,1,0.001
Z,12,three_step_beam8,3,8,41,697,0.0035217982043523957,0.0035217982043523957,0.0,0.004816003694898104,-0.0012942054905457079,-0.0012942054905457079,0.16666666666666666,0.25,1,0.001
Z,14,one_step_exhaustive,1,41,41,41,0.00435297100174592,0.00435297100174592,0.0,0.004870064956194395,-0.0005170939544484748,-0.0005170939544484748,0.0,0.0,1,0.001
Z,14,two_step_beam8,2,8,41,369,0.00435297100174592,0.00435297100174592,0.0,0.00545366102538538,-0.0011006900236394598,-0.0011006900236394598,0.0,0.0,1,0.001
Z,14,three_step_beam8,3,8,41,697,0.00435297100174592,0.00435297100174592,0.0,0.006099726257050596,-0.0017467552553046758,-0.0017467552553046758,1.5,0.25,1,0.001
Z,16,one_step_exhaustive,1,41,41,41,0.005174867090535502,0.005174867090535502,0.0,0.00578956538302608,-0.0006146982924905772,-0.0006146982924905772,0.0,0.0,1,0.001
Z,16,two_step_beam8,2,8,41,369,0.005174867090535502,0.005174867090535502,0.0,0.00631352043215945,-0.0011386533416239478,-0.0011386533416239478,0.625,1.0,1,0.001
Z,16,three_step_beam8,3,8,41,697,0.005174867090535502,0.005174867090535502,0.0,0.006956662365689176,-0.0017817952751536734,-0.0017817952751536734,0.4166666666666667,1.0,1,0.001
Z,18,one_step_exhaustive,1,41,41,41,0.006092782491319559,0.006092782491319559,0.0,0.006638404259434572,-0.0005456217681150122,-0.0005456217681150122,0.0,0.0,1,0.001
Z,18,two_step_beam8,2,8,41,369,0.006092782491319559,0.006092782491319559,0.0,0.007128832943902791,-0.0010360504525832315,-0.0010360504525832315,4.624999999999999,0.25,1,0.001
Z,18,three_step_beam8,3,8,41,697,0.006092782491319559,0.006092782491319559,0.0,0.007329412084520176,-0.0012366295932006166,-0.0012366295932006166,6.749999999999999,0.25,1,0.001
Z,20,one_step_exhaustive,1,41,41,41,0.004881731079065886,0.004881731079065886,0.0,0.005187549124923821,-0.00030581804585793487,-0.00030581804585793487,0.24999999999999994,0.24999999999999994,1,0.001
Z,20,two_step_beam8,2,8,41,369,0.004881731079065886,0.004881731079065886,0.0,0.005298100757173539,-0.00041636967810765313,-0.00041636967810765313,4.624999999999999,8.999999999999998,1,0.001
