controller,label,family,role,n,mean_fidelity,worst_fidelity,ci95_fidelity,mean_max_leakage,mean_final_leakage,pulse_energy,training_seconds,pareto_status
open_leakage_path_seed,Path horizon,GRAPE-free horizon,dominated seed,50,0.826420,0.521083,0.025390,0.046676,0.042364,0.001384,66.8,dominated by Direct adjoint; Target-biased direct; Integrated direct; Pareto alpha0.8 leak1.5; Pareto alpha0.8 leak1.2; Pareto alpha0.8 leak1.0; Pareto alpha0.8 leak0.8
standalone_open_leakage_adjoint,Direct adjoint,GRAPE-free horizon,low-leakage point,50,0.840595,0.551524,0.028964,0.017652,0.015942,0.0009931,77.5,Pareto
target_biased_open_leakage_adjoint,Target-biased direct,GRAPE-free horizon,no-reference tradeoff,50,0.910936,0.706954,0.014403,0.042021,0.006825,0.001745,75.4,Pareto
integrated_alpha1p0_lw1p5_trust004,Integrated direct,GRAPE-free horizon,single-stage integrated tradeoff,50,0.897659,0.726939,0.017447,0.040141,0.003365,0.001901,79.3,Pareto
pareto_alpha0p8_lw1p5_trust004,Pareto alpha0.8 leak1.5,GRAPE-free horizon,low-leakage refinement,50,0.857829,0.661094,0.025547,0.022663,0.003799,0.001656,79.2,Pareto
pareto_alpha0p8_lw1p2_trust004,Pareto alpha0.8 leak1.2,GRAPE-free horizon,low-leakage refinement,50,0.866819,0.687288,0.024391,0.026303,0.003332,0.001754,79.0,Pareto
pareto_alpha0p8_lw1p0_trust004,Pareto alpha0.8 leak1.0,GRAPE-free horizon,low-leakage refinement,50,0.872490,0.701739,0.023481,0.030948,0.002990,0.001825,79.6,Pareto
pareto_alpha0p8_lw0p8_trust004,Pareto alpha0.8 leak0.8,GRAPE-free horizon,target-balanced refinement,50,0.881557,0.720702,0.021903,0.036526,0.002001,0.001894,80.3,Pareto
two_stage_target_biased_open_leakage_adjoint,Two-stage direct,GRAPE-free horizon,best no-reference worst seed,50,0.919179,0.784895,0.012391,0.065347,0.002991,0.002444,89.9,dominated by Continuation controlled; Continuation balanced; Reference-assisted horizon; Leakage-GRAPE
continuation_target08_leak12,Continuation controlled,GRAPE-free horizon,leakage-controlled continuation point,50,0.920133,0.766810,0.012074,0.053478,0.004346,0.00296,104.0,Pareto
continuation_target08_leak10,Continuation balanced,GRAPE-free horizon,balanced continuation point,50,0.924778,0.795870,0.011053,0.060700,0.004074,0.003064,104.1,dominated by Reference-assisted horizon; Leakage-GRAPE
continuation_target08_leak08,Continuation high-fidelity,GRAPE-free horizon,fidelity-favoring continuation point,50,0.929533,0.812158,0.010305,0.071371,0.003111,0.003197,104.8,dominated by Reference-assisted horizon; Leakage-GRAPE
hf_leak06,HF continuation leak0.6,GRAPE-free horizon,high-fidelity target-push point,50,0.933503,0.810714,0.009577,0.076874,0.001975,0.003224,104.8,dominated by Leakage-GRAPE
hf_leak05,HF continuation leak0.5,GRAPE-free horizon,high-fidelity target-push point,50,0.935047,0.800444,0.009604,0.079428,0.001940,0.003249,104.3,dominated by Leakage-GRAPE
hf_leak04,HF continuation leak0.4,GRAPE-free horizon,highest-mean no-reference point,50,0.935466,0.784925,0.010031,0.084094,0.001951,0.003202,104.3,dominated by Leakage-GRAPE
adjoint_horizon,Reference-assisted horizon,reference-assisted horizon,reference-assisted Pareto point,50,0.932452,0.787640,0.010369,0.053824,0.015825,0.00202,19.9,Pareto
leakage_penalized_grape,Leakage-GRAPE,terminal optimizer,terminal ceiling,50,0.952952,0.830203,0.009170,0.054893,0.002367,0.002661,16.1,Pareto
