task,controller,train_noise_case,eval_noise_case,disorder_strength,gamma_phi,gamma_relax,seed,final_fidelity,final_infidelity,final_purity,pulse_energy,segments,horizon_steps,reference_objective,reference_restart_seed,reference_iterations,reference_success,reference_seconds,horizon_objective,horizon_iterations,horizon_success,horizon_seconds
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,10,0.9878372320373638,0.012162767962636156,0.9779104383215927,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,11,0.9893404399823272,0.010659560017672765,0.9819193687693062,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,12,0.9897712655569384,0.010228734443061605,0.9820600024548714,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,13,0.9882676058393896,0.011732394160610449,0.9788232887681436,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,14,0.9866449516811373,0.013355048318862695,0.9791867661090637,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,15,0.9884877008353916,0.011512299164608386,0.9785012096412666,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,16,0.9884814876583743,0.011518512341625708,0.9814149319331598,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,17,0.9890962753400782,0.010903724659921843,0.9810967392729397,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,18,0.9881954944462938,0.011804505553706157,0.978470141570638,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,19,0.9902753548071657,0.009724645192834336,0.9821468799639703,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,20,0.9888941047550379,0.011105895244962083,0.9817582378089555,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,21,0.9888835368239837,0.011116463176016333,0.9815667905654405,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
