task,pulse_type,train_noise_case,eval_noise_case,disorder_strength,gamma_phi,gamma_relax,seed,final_fidelity,final_infidelity,final_purity,pulse_energy
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,10,0.9978606264179474,0.0021393735820526283,0.9984403250582412,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,11,0.998187475731221,0.001812524268778981,0.9982652589923678,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,12,0.9978344398922911,0.0021655601077088527,0.9982447987866043,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,13,0.9949986668119924,0.005001333188007551,0.998545207136774,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,14,0.9972379308201627,0.0027620691798373453,0.9984902305141736,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,15,0.9970802461220167,0.0029197538779832666,0.9984428671257797,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,16,0.9985361971599993,0.0014638028400006942,0.9982986959278798,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,17,0.998517669692955,0.0014823303070450322,0.9984327292267468,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,18,0.9949855666789057,0.005014433321094303,0.9985074643262284,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,19,0.9971065646102597,0.0028934353897402953,0.9982107260384202,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,20,0.9983613695667575,0.0016386304332425272,0.9982757417994695,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,21,0.9972120035801539,0.0027879964198460616,0.9983116656423812,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,22,0.9975293581968211,0.002470641803178908,0.9984509717915946,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,23,0.9986976193094772,0.0013023806905227975,0.9984209008013126,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,24,0.9984591340411167,0.001540865958883253,0.9984361296594816,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,25,0.998492717289754,0.0015072827102460273,0.9984524287118622,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,26,0.9952271802724113,0.004772819727588695,0.9984907735394355,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,27,0.9991018799607578,0.0008981200392421673,0.9983914324153473,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,28,0.9989650179467163,0.0010349820532836729,0.9983444349746333,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,29,0.999056014222955,0.00094398577704502,0.998350811921027,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,30,0.9982740401980204,0.0017259598019796485,0.9984066595818384,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,31,0.9986230287441774,0.00137697125582259,0.9983202098058203,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,32,0.9980859267142529,0.0019140732857471088,0.9983479634598462,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,33,0.9962940037135057,0.003705996286494262,0.9985377773482619,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,34,0.9970371021212117,0.0029628978787883398,0.9984929117822687,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,35,0.9984699997057063,0.0015300002942937319,0.9982932777722534,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,36,0.9986087324697015,0.0013912675302985011,0.9983994491229252,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,37,0.9980318636956159,0.0019681363043840827,0.9984824863976155,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,38,0.9990167558640626,0.0009832441359374222,0.9984776051392872,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,39,0.9977124775654787,0.0022875224345213496,0.9982419874234664,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,40,0.9969948463052325,0.003005153694767504,0.9984565752625809,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,41,0.9987904874264774,0.001209512573522642,0.9983223010522633,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,42,0.9951589327732329,0.004841067226767137,0.9985378569375093,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,43,0.9968128134026715,0.0031871865973285285,0.9982938528605183,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,44,0.9990100493692862,0.0009899506307138317,0.998481631927725,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,45,0.9953924807845291,0.004607519215470868,0.9984832604509613,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,46,0.9962027110584142,0.003797288941585819,0.9982088327994827,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,47,0.9990712095640317,0.0009287904359682742,0.998401311018849,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,48,0.9963783456719384,0.0036216543280616076,0.9981946212880666,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,49,0.9970568435710015,0.00294315642899845,0.9982460865327603,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,50,0.9969803055579882,0.0030196944420117777,0.9985313281489262,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,51,0.995923772696354,0.004076227303645985,0.998471009228564,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,52,0.9987133029804486,0.0012866970195514194,0.9983123983274117,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,53,0.9958707684143516,0.004129231585648374,0.9985229624700499,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,54,0.9981838073184559,0.0018161926815440932,0.9984013409045581,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,55,0.9939664005503898,0.0060335994496102385,0.9985282462610496,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,56,0.9986252728790217,0.001374727120978303,0.9983638723061419,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,57,0.9989856724166025,0.0010143275833974785,0.9983878995852187,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,58,0.9990310708483462,0.0009689291516538079,0.9984054654863559,4.9225
Z,closed_trained,closed_static,static_only,0.08,0.0,0.0,59,0.9983271867956679,0.001672813204332102,0.998274198460423,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,10,0.9609141826445491,0.039085817355450914,0.9270984022813391,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,11,0.9612565726393497,0.038743427360650284,0.9270367078427328,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,12,0.9609520221768586,0.0390479778231414,0.9270313121889415,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,13,0.958367085957638,0.041632914042362024,0.9272499875824737,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,14,0.9603539308603823,0.03964606913961766,0.9271817439160652,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,15,0.9602079645941609,0.03979203540583909,0.9270773890806953,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,16,0.9615009707955193,0.03849902920448067,0.9269787565779424,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,17,0.9614198191491148,0.038580180850885215,0.9269673179218072,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,18,0.9583656980606154,0.041634301939384555,0.9272224768683232,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,19,0.9602712776427671,0.039728722357232904,0.9269659975377196,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,20,0.9613827159464197,0.038617284053580336,0.9270123093291658,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,21,0.9603379457198293,0.03966205428017067,0.927009224450234,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,22,0.9606312235727998,0.03936877642720016,0.9271365406034167,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,23,0.9615896033671573,0.038410396632842736,0.9269583181723827,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,24,0.9613730832707166,0.03862691672928342,0.9269910757503842,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,25,0.961415730639336,0.03858426936066395,0.9270402136717917,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,26,0.9585872515750776,0.041412748424922374,0.9272012118279724,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,27,0.9619971406699253,0.038002859330074745,0.9270170537513805,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,28,0.9618155808013078,0.0381844191986922,0.9268818412818806,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,29,0.9618986220546855,0.03810137794531454,0.9268949975888912,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,30,0.961223523653274,0.038776476346725985,0.9269764682457291,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,31,0.961565732704226,0.03843426729577404,0.9269772664085171,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,32,0.9611167374183129,0.03888326258168706,0.9269979309311825,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,33,0.9594816237034325,0.040518376296567515,0.9271849411592573,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,34,0.9601482826525403,0.039851717347459736,0.9271544561148723,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,35,0.9614181338957262,0.03858186610427383,0.9269322887957974,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,36,0.9615388239131654,0.038461176086834636,0.9269793709329168,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,37,0.9610208572087356,0.038979142791264354,0.9271007025064497,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,38,0.9618406728891868,0.03815932711081316,0.926967319034316,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,39,0.9608540423107919,0.039145957689208144,0.9270399198709326,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,40,0.960162844761594,0.03983715523840603,0.9271528316197435,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,41,0.9616542728430071,0.038345727156992915,0.9268597798406493,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,42,0.9585018614343565,0.04149813856564355,0.9272384211037203,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,43,0.9600048115432105,0.03999518845678951,0.9270206007393913,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,44,0.9618341973516851,0.03816580264831493,0.9269719726798128,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,45,0.9587386921737626,0.04126130782623738,0.9271941736495402,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,46,0.9594414003209503,0.040558599679049734,0.9269417152387697,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,47,0.9619506003059031,0.03804939969409693,0.9270187114086077,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,48,0.9596450439080011,0.040354956091998906,0.9269851069219711,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,49,0.9602900087066898,0.03970999129331021,0.9270544734034865,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,50,0.9600772121983419,0.039922787801658144,0.9271514696735919,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,51,0.9592065110850223,0.040793488914977694,0.9271640193415731,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,52,0.9615812353473459,0.03841876465265415,0.9268507416431588,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,53,0.9591228628599358,0.040877137140064246,0.9272045254931223,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,54,0.961164419449765,0.03883558055023495,0.9270265237888071,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,55,0.957497344750474,0.04250265524952601,0.9273233310777311,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,56,0.9615674433990845,0.03843255660091549,0.9270211469277758,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,57,0.9619043103176059,0.038095689682394074,0.9270721482319543,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,58,0.961917104957047,0.038082895042953036,0.9270276476535075,4.9225
Z,closed_trained,closed_static,deph_0.005,0.08,0.005,0.0,59,0.9613301610265017,0.038669838973498294,0.9269796316862395,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,10,0.993916610895522,0.006083389104478032,0.9906173037519793,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,11,0.994531131856367,0.00546886814363301,0.9909587148515739,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,12,0.9941730225335274,0.005826977466472649,0.9909225461285668,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,13,0.9911632283582318,0.008836771641768215,0.9909489367061635,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,14,0.9932937147722893,0.006706285227710662,0.9906675725335049,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,15,0.9932286764449985,0.0067713235550015405,0.9908012501791468,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,16,0.9948621273811993,0.005137872618800721,0.9909639683735039,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,17,0.9947123055267378,0.005287694473262161,0.990859994805681,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,18,0.9911644725192976,0.008835527480702376,0.9909312139199242,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,19,0.9934226918693562,0.006577308130643833,0.9908285106859609,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,20,0.9947028981787578,0.005297101821242212,0.9909666342141301,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,21,0.9933967311342606,0.0066032688657393646,0.9906781051612208,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,22,0.9935742161809152,0.006425783819084763,0.9906069033697822,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,23,0.9949388465879818,0.005061153412018182,0.9909398089133374,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,24,0.9946193271874726,0.0053806728125274095,0.9907958230474655,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,25,0.9946045396572978,0.0053954603427022185,0.9907243366821296,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,26,0.9913743785699409,0.008625621430059072,0.9908509075329275,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,27,0.9954197666698179,0.004580233330182093,0.9910601225499893,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,28,0.9951181368542745,0.0048818631457254735,0.99068441702385,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,29,0.9951871735434862,0.004812826456513819,0.9906476196099884,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,30,0.994471513150884,0.005528486849115999,0.9908311425322227,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,31,0.9949394002179296,0.005060599782070407,0.9909723413767235,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,32,0.9943567970816919,0.00564320291830811,0.9909087755081212,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,33,0.9925326283981364,0.007467371601863615,0.9910827438478018,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,34,0.9933169987155777,0.006683001284422341,0.9911083725700619,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,35,0.9947727283578962,0.005227271642103792,0.9909112769603642,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,36,0.9947184687957098,0.005281531204290202,0.9906742108371038,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,37,0.9941174000985445,0.005882599901455454,0.9907142311529156,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,38,0.9952667789517757,0.004733221048224268,0.9910297734415494,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,39,0.9940486515521132,0.005951348447886806,0.9909143161240259,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,40,0.993048881442783,0.006951118557216973,0.9906314349846067,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,41,0.9949791650726532,0.00502083492734684,0.9907244797045869,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,42,0.9913666300643816,0.008633369935618362,0.9910228855127573,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,43,0.9930228801950161,0.0069771198049839445,0.9907058752660192,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,44,0.9952623959952487,0.004737604004751317,0.991039445108622,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,45,0.991518313159262,0.008481686840738023,0.9908009293894585,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,46,0.9924629206165192,0.007537079383480805,0.990699446853133,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,47,0.9951476560279483,0.004852343972051698,0.9905976648363618,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,48,0.9926806919099889,0.007319308090011134,0.9907757795948161,4.9225
