task,step,score_mode,train_net_points,eval_net_points,train_points_per_axis,eval_points_per_axis,train_covering_radius,eval_covering_radius,beam_width,residual_threshold,train_phi,eval_phi,train_outside_residual,eval_outside_residual,train_scheduled_margin,eval_scheduled_margin,shifted_selected_fraction
Z,1,max_net,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.002722611722688728,0.002722611722688728,1,1,0.001722611722688728,0.001722611722688728,0.0
Z,2,max_net,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.002840058764402187,0.002840058764402187,1,1,0.0018400587644021868,0.0018400587644021868,0.0
Z,3,max_net,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.003371800739029762,0.003371800739029762,1,1,0.002371800739029762,0.002371800739029762,0.0
Z,4,max_net,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.003797403174912173,0.003797403174912173,1,1,0.002797403174912173,0.002797403174912173,0.0
Z,5,max_net,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.004315941266139212,0.004315941266139212,1,1,0.0033159412661392116,0.0033159412661392116,0.0
Z,6,max_net,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.004898679286958529,0.004898679286958529,1,1,0.0038986792869585294,0.0038986792869585294,0.0
Z,7,max_net,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.005410926584163311,0.005410926584163311,1,1,0.004410926584163311,0.004410926584163311,0.0
Z,8,max_net,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.0059762006294391545,0.0059762006294391545,1,1,0.0049762006294391545,0.0049762006294391545,0.0
Z,9,max_net,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.006543784881560044,0.006543784881560044,1,1,0.005543784881560044,0.005543784881560044,0.0
Z,10,max_net,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.0063615804311107915,0.0063615804311107915,1,1,0.0053615804311107915,0.0053615804311107915,0.0
