task,step,score_mode,train_net_points,eval_net_points,train_points_per_axis,eval_points_per_axis,train_covering_radius,eval_covering_radius,beam_width,residual_threshold,train_phi,eval_phi,train_outside_residual,eval_outside_residual,train_scheduled_margin,eval_scheduled_margin,shifted_selected_fraction
Z,1,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.0023195279438817627,0.0023195279438817627,1,1,0.0013195279438817627,0.0013195279438817627,0.0
Z,2,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.0023465003527146553,0.0023465003527146553,1,1,0.0013465003527146553,0.0013465003527146553,0.0
Z,3,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.0026803287350333407,0.0026803287350333407,1,1,0.0016803287350333406,0.0016803287350333406,0.0
Z,4,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.0028905739737463774,0.0028905739737463774,1,1,0.0018905739737463774,0.0018905739737463774,0.0
Z,5,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.0032492861000062876,0.0032492861000062876,1,1,0.0022492861000062876,0.0022492861000062876,0.0
Z,6,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.00355878228299296,0.00355878228299296,1,1,0.00255878228299296,0.00255878228299296,0.0
Z,7,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.0039948390322400405,0.0039948390322400405,1,1,0.0029948390322400405,0.0029948390322400405,0.0
Z,8,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.00436054322301989,0.00436054322301989,1,1,0.0033605432230198896,0.0033605432230198896,0.0
Z,9,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.00476258771089526,0.00476258771089526,1,1,0.0037625877108952597,0.0037625877108952597,0.0
Z,10,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.004763436905396133,0.004763436905396133,1,1,0.0037634369053961333,0.0037634369053961333,0.0
Z,11,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.005144563717004208,0.005144563717004208,1,1,0.004144563717004208,0.004144563717004208,0.0
Z,12,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.00510232001058916,0.00510232001058916,1,1,0.00410232001058916,0.00410232001058916,0.0
Z,13,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.005362471220668628,0.005362471220668628,1,1,0.004362471220668628,0.004362471220668628,0.0
Z,14,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.005807612544038543,0.005807612544038543,1,1,0.004807612544038543,0.004807612544038543,0.0
Z,15,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.0060627601155606205,0.0060627601155606205,1,1,0.0050627601155606205,0.0050627601155606205,0.0
Z,16,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.006226892897828923,0.006226892897828923,1,1,0.005226892897828923,0.005226892897828923,0.0
Z,17,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.00678008475711641,0.00678008475711641,1,1,0.00578008475711641,0.00578008475711641,0.0
Z,18,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.007331058340266851,0.007331058340266851,1,1,0.006331058340266851,0.006331058340266851,0.0
Z,19,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.007959962907632616,0.007959962907632616,1,1,0.006959962907632616,0.006959962907632616,0.0
Z,20,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.008218783073106316,0.008218783073106316,1,1,0.0072187830731063165,0.0072187830731063165,0.0
Z,21,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.008255770846654197,0.008255770846654197,1,1,0.007255770846654197,0.007255770846654197,0.0
Z,22,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.008398172379074455,0.008398172379074455,1,1,0.007398172379074455,0.007398172379074455,0.0
Z,23,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.008872520401825588,0.008872520401825588,1,1,0.007872520401825588,0.007872520401825588,0.0
Z,24,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.007125212672179651,0.007125212672179651,1,1,0.006125212672179651,0.006125212672179651,0.0
Z,25,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.0073877852153578895,0.0073877852153578895,1,1,0.0063877852153578895,0.0063877852153578895,0.041666666666666664
Z,26,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.0067983150246023714,0.0067983150246023714,1,1,0.005798315024602371,0.005798315024602371,0.08
Z,27,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.006828862659114481,0.006828862659114481,1,1,0.005828862659114481,0.005828862659114481,0.11538461538461539
Z,28,mean_worst,2145,2145,13,13,0.011547005383792518,0.011547005383792518,6,0.001,0.006866910923326277,0.006866910923326277,1,1,0.005866910923326277,0.005866910923326277,0.1111111111111111
