task,step,score_mode,train_net_points,eval_net_points,train_points_per_axis,eval_points_per_axis,train_covering_radius,eval_covering_radius,beam_width,residual_threshold,train_phi,eval_phi,train_outside_residual,eval_outside_residual,train_scheduled_margin,eval_scheduled_margin,shifted_selected_fraction
Z,1,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.002722611722688728,0.002722611722688728,1,1,0.001722611722688728,0.001722611722688728,0.0
Z,2,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.0028331672684500653,0.002840058764402187,1,1,0.0018331672684500653,0.0018400587644021868,0.0
Z,3,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.0033562738778822876,0.003371800739029762,1,1,0.0023562738778822876,0.002371800739029762,0.0
Z,4,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.003775644022884217,0.003797403174912173,1,1,0.002775644022884217,0.002797403174912173,0.0
Z,5,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.004278758552681117,0.004323409474498829,1,1,0.0032787585526811167,0.0033234094744988294,0.0
Z,6,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.004865045757837416,0.004898679286958529,1,1,0.003865045757837416,0.0038986792869585294,0.0
Z,7,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.005361205158601723,0.005410926584163311,1,1,0.004361205158601723,0.004410926584163311,0.0
Z,8,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.005909527950117788,0.0059762006294391545,1,1,0.004909527950117788,0.0049762006294391545,0.0
Z,9,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.006543784881560044,0.006543784881560044,1,1,0.005543784881560044,0.005543784881560044,0.0
Z,10,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.006330475282780301,0.0063615804311107915,1,1,0.005330475282780301,0.0053615804311107915,0.0
Z,11,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.006825596327161287,0.006903216728703088,1,1,0.005825596327161287,0.005903216728703088,0.0
Z,12,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.007019137651784857,0.007049475105736613,1,1,0.006019137651784857,0.006049475105736613,0.0
Z,13,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.008009654216329931,0.008050215571039798,1,1,0.007009654216329931,0.007050215571039798,0.0
Z,14,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.008942953345199789,0.008942953345199789,1,1,0.007942953345199788,0.007942953345199788,0.0
Z,15,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.010103635573715852,0.010103635573715852,1,1,0.009103635573715851,0.009103635573715851,0.0
Z,16,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.01112387671708559,0.01116236705533824,1,1,0.01012387671708559,0.01016236705533824,0.0
Z,17,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.012130646889571883,0.01214775603735796,1,1,0.011130646889571882,0.011147756037357959,0.0
Z,18,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.013402811827734729,0.01340875816106979,1,1,0.012402811827734728,0.012408758161069788,0.0
Z,19,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.014776643683425572,0.014776643683425572,1,1,0.013776643683425571,0.013776643683425571,0.0
Z,20,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.014561505939169161,0.014561505939169161,1,1,0.01356150593916916,0.01356150593916916,0.0
Z,21,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.015072038411116706,0.015122002079282826,1,1,0.014072038411116705,0.014122002079282825,0.0
Z,22,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.015930612181571657,0.01595169680870523,1,1,0.014930612181571656,0.014951696808705228,0.0
Z,23,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.01650588657199825,0.01656654508947475,1,1,0.01550588657199825,0.015566545089474748,0.0
Z,24,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.01659930830313061,0.01659930830313061,1,1,0.01559930830313061,0.01559930830313061,0.0
Z,25,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.01301544758111195,0.013138434166186652,1,1,0.012015447581111949,0.012138434166186651,0.0
Z,26,max_net,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.013076579412707567,0.013141133633043145,1,1,0.012076579412707567,0.012141133633043144,0.0
