task,step,score_mode,train_net_points,eval_net_points,train_points_per_axis,eval_points_per_axis,train_covering_radius,eval_covering_radius,beam_width,residual_threshold,train_phi,eval_phi,train_outside_residual,eval_outside_residual,train_scheduled_margin,eval_scheduled_margin,shifted_selected_fraction
Z,1,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.002341778849188552,0.0023195279438817627,1,1,0.001341778849188552,0.0013195279438817627,0.0
Z,2,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.0023764925320650648,0.0023465003527146553,1,1,0.0013764925320650647,0.0013465003527146553,0.0
Z,3,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.002716721400723508,0.0026803287350333407,1,1,0.0017167214007235078,0.0016803287350333406,0.0
Z,4,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.0029342148378444623,0.0028905739737463774,1,1,0.0019342148378444623,0.0018905739737463774,0.0
Z,5,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.003308482246493053,0.0032492861000062876,1,1,0.002308482246493053,0.0022492861000062876,0.0
Z,6,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.003618231789816497,0.00355878228299296,1,1,0.002618231789816497,0.00255878228299296,0.0
Z,7,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.004067199293672316,0.0039948390322400405,1,1,0.003067199293672316,0.0029948390322400405,0.0
Z,8,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.004443405982500334,0.00436054322301989,1,1,0.0034434059825003338,0.0033605432230198896,0.0
Z,9,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.004845597913480264,0.00476258771089526,1,1,0.0038455979134802637,0.0037625877108952597,0.0
Z,10,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.004845539265337294,0.004763436905396133,1,1,0.003845539265337294,0.0037634369053961333,0.0
Z,11,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.005249396215425595,0.005144563717004208,1,1,0.004249396215425595,0.004144563717004208,0.0
Z,12,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.005135732150623747,0.005035329366905966,1,1,0.004135732150623747,0.004035329366905966,0.0
Z,13,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.005286299876103703,0.005194806431311613,1,1,0.004286299876103703,0.004194806431311613,0.0
Z,14,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.005697066477903538,0.005600014182145125,1,1,0.004697066477903538,0.004600014182145125,0.0
Z,15,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.006185366871713852,0.0060627601155606205,1,1,0.0051853668717138516,0.0050627601155606205,0.0
Z,16,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.006350760559175944,0.006242916601194928,1,1,0.005350760559175944,0.005242916601194928,0.0
Z,17,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.00691047431940495,0.00678008475711641,1,1,0.00591047431940495,0.00578008475711641,0.0
Z,18,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.007469826790338477,0.007331058340266851,1,1,0.006469826790338477,0.006331058340266851,0.0
Z,19,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.008110799100427717,0.007959962907632616,1,1,0.007110799100427717,0.006959962907632616,0.0
Z,20,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.008369834124032603,0.008218783073106316,1,1,0.007369834124032603,0.0072187830731063165,0.0
Z,21,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.008412348159720529,0.008255770846654197,1,1,0.0074123481597205285,0.007255770846654197,0.0
Z,22,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.00856968558555016,0.008398172379074455,1,1,0.007569685585550159,0.007398172379074455,0.0
Z,23,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.009037192156439996,0.008872520401825588,1,1,0.008037192156439995,0.007872520401825588,0.0
Z,24,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.007248039427719697,0.007125212672179651,1,1,0.006248039427719697,0.006125212672179651,0.0
Z,25,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.007525677736421159,0.0073877852153578895,1,1,0.006525677736421159,0.0063877852153578895,0.041666666666666664
Z,26,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.0069357418761645355,0.0067983150246023714,1,1,0.0059357418761645355,0.005798315024602371,0.08
Z,27,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.0069373023942704655,0.006828862659114481,1,1,0.0059373023942704654,0.005828862659114481,0.11538461538461539
Z,28,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.007001867424141436,0.006866910923326277,1,1,0.006001867424141436,0.005866910923326277,0.1111111111111111
Z,29,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.007298898312151887,0.007142118319967843,1,1,0.006298898312151887,0.006142118319967843,0.14285714285714285
Z,30,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.007738303676489961,0.007602922297841449,1,1,0.006738303676489961,0.006602922297841449,0.13793103448275862
Z,31,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.008073287697773093,0.007915132550198545,1,1,0.007073287697773093,0.006915132550198545,0.16666666666666666
Z,32,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.008530970376400295,0.00836978068478112,1,1,0.007530970376400295,0.007369780684781119,0.1935483870967742
Z,33,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.009063444732191232,0.008880130440407193,1,1,0.00806344473219123,0.007880130440407192,0.21875
Z,34,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.00960851827530667,0.009421909121509631,1,1,0.008608518275306669,0.00842190912150963,0.21212121212121213
Z,35,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.010057810316301898,0.009847146360663195,1,1,0.009057810316301897,0.008847146360663194,0.23529411764705882
Z,36,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.009686276327747087,0.009449070950235436,1,1,0.008686276327747086,0.008449070950235435,0.2571428571428571
Z,37,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.00961872967570469,0.009398645849607264,1,1,0.008618729675704689,0.008398645849607263,0.2777777777777778
Z,38,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.009640131322484462,0.009405814340400793,1,1,0.008640131322484462,0.008405814340400792,0.2972972972972973
Z,39,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.009227528784938979,0.009022306998530839,1,1,0.00822752878493898,0.008022306998530838,0.2894736842105263
Z,40,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.009371409093846119,0.009185898335211218,1,1,0.008371409093846118,0.008185898335211217,0.3076923076923077
Z,41,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.00871636124805324,0.008511973646367115,1,1,0.00771636124805324,0.007511973646367115,0.325
Z,42,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.008551896858055765,0.008358018788324309,1,1,0.007551896858055765,0.007358018788324309,0.3170731707317073
Z,43,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.00863274859477179,0.008462011045785311,1,1,0.00763274859477179,0.0074620110457853115,0.30952380952380953
Z,44,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.008859829811290286,0.008689693554555997,1,1,0.007859829811290287,0.007689693554555997,0.3023255813953488
Z,45,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.009268143083627625,0.009091888135418467,1,1,0.008268143083627624,0.008091888135418467,0.3181818181818182
Z,46,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.009026803084981815,0.008837908808468839,1,1,0.008026803084981816,0.007837908808468838,0.3333333333333333
Z,47,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.009400214665381544,0.009205871838124918,1,1,0.008400214665381545,0.008205871838124917,0.34782608695652173
Z,48,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.009843549962602435,0.009668253731872281,1,1,0.008843549962602434,0.008668253731872282,0.3617021276595745
Z,49,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.010391149607150645,0.010227389399977737,1,1,0.009391149607150644,0.009227389399977737,0.375
Z,50,mean_worst,335,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.01091718386061567,0.010714461659059371,1,1,0.009917183860615669,0.00971446165905937,0.3673469387755102
