task,disorder_strength,seed,score_mode,train_points_per_axis,train_net_points,eval_points_per_axis,eval_net_points,final_fidelity,pulse_energy,shifted_selected_fraction,design_seconds
Z,0.0,10,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,11,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,12,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,13,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,14,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,15,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,16,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,17,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,18,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,19,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,20,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,21,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,22,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,23,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,24,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,25,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,26,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,27,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,28,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,29,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,30,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,31,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,32,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,33,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,34,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,35,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,36,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,37,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,38,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,39,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,40,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,41,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,42,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,43,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,44,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,45,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,46,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,47,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,48,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,49,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,50,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,51,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,52,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,53,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,54,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,55,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,56,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,57,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,58,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.0,59,mean_worst,7,335,13,2145,0.998844078756361,3.63,0.24242424242424243,21.794971575029194
Z,0.02,10,mean_worst,7,335,13,2145,0.9991667438534619,3.63,0.24242424242424243,21.794971575029194
Z,0.02,11,mean_worst,7,335,13,2145,0.9979304172889644,3.63,0.24242424242424243,21.794971575029194
Z,0.02,12,mean_worst,7,335,13,2145,0.9980644387884003,3.63,0.24242424242424243,21.794971575029194
Z,0.02,13,mean_worst,7,335,13,2145,0.998577615717795,3.63,0.24242424242424243,21.794971575029194
Z,0.02,14,mean_worst,7,335,13,2145,0.9987760067377673,3.63,0.24242424242424243,21.794971575029194
Z,0.02,15,mean_worst,7,335,13,2145,0.9986960796495166,3.63,0.24242424242424243,21.794971575029194
Z,0.02,16,mean_worst,7,335,13,2145,0.9977389876008228,3.63,0.24242424242424243,21.794971575029194
Z,0.02,17,mean_worst,7,335,13,2145,0.9987165428780618,3.63,0.24242424242424243,21.794971575029194
Z,0.02,18,mean_worst,7,335,13,2145,0.9984444452436838,3.63,0.24242424242424243,21.794971575029194
Z,0.02,19,mean_worst,7,335,13,2145,0.9983455949254292,3.63,0.24242424242424243,21.794971575029194
Z,0.02,20,mean_worst,7,335,13,2145,0.9977921084210631,3.63,0.24242424242424243,21.794971575029194
Z,0.02,21,mean_worst,7,335,13,2145,0.9989910122316508,3.63,0.24242424242424243,21.794971575029194
Z,0.02,22,mean_worst,7,335,13,2145,0.9991572592315663,3.63,0.24242424242424243,21.794971575029194
Z,0.02,23,mean_worst,7,335,13,2145,0.9986406198441629,3.63,0.24242424242424243,21.794971575029194
Z,0.02,24,mean_worst,7,335,13,2145,0.9987283972180745,3.63,0.24242424242424243,21.794971575029194
Z,0.02,25,mean_worst,7,335,13,2145,0.9987169575568979,3.63,0.24242424242424243,21.794971575029194
Z,0.02,26,mean_worst,7,335,13,2145,0.9986551107081019,3.63,0.24242424242424243,21.794971575029194
Z,0.02,27,mean_worst,7,335,13,2145,0.9981481212999712,3.63,0.24242424242424243,21.794971575029194
Z,0.02,28,mean_worst,7,335,13,2145,0.9989952493079237,3.63,0.24242424242424243,21.794971575029194
Z,0.02,29,mean_worst,7,335,13,2145,0.9991193172688901,3.63,0.24242424242424243,21.794971575029194
Z,0.02,30,mean_worst,7,335,13,2145,0.9987568990134492,3.63,0.24242424242424243,21.794971575029194
Z,0.02,31,mean_worst,7,335,13,2145,0.9977152307897139,3.63,0.24242424242424243,21.794971575029194
