task,method,family,design_label,score_mode,worst_weight,train_net_points,hard_points_used,eval_net_points,covering_radius_h,worst_net_fidelity,mean_net_fidelity,heldout_delta_0_08_mean,heldout_delta_0_08_min,heldout_delta_0_08_std,pulse_energy,shifted_selected_fraction,design_seconds,eval_outside_steps,eval_positive_outside_fraction,eval_min_outside_margin,best_worst_net_for_task
H,adaptive_w0.25-coarse-max_net,adaptive_w0.25,coarse,max_net,0.25,335,0,2145,0.011547005383792518,0.9872017471818466,0.9965912922100127,0.9955701865854287,0.9879819031923855,0.0032510839621413276,4.585,0.13131313131313133,24.48634206294082,99,1.0,0.0007346119879828592,0
H,adaptive_w0.25-coarse-mean_worst,adaptive_w0.25,coarse,mean_worst,0.25,335,0,2145,0.011547005383792518,0.9919612492182053,0.9974235107633125,0.9972045095324644,0.9919882170124101,0.0022115054677340146,5.72,0.20202020202020202,24.547897304873914,88,1.0,8.107632396744144e-05,0
H,adaptive_w0.25-hard_augmented-max_net,adaptive_w0.25,hard_augmented,max_net,0.25,549,214,2145,0.011547005383792518,0.9834249907087387,0.9959204049205609,0.9956316754048374,0.9866548364591239,0.0032449160378112928,4.865,0.08080808080808081,39.12879464495927,99,1.0,0.0007346119879828592,0
H,adaptive_w0.25-hard_augmented-mean_worst,adaptive_w0.25,hard_augmented,mean_worst,0.25,547,212,2145,0.011547005383792518,0.9917958557650984,0.997439235593102,0.9970820596480285,0.9930601268848596,0.001885394768791248,5.3675,0.0707070707070707,38.35353088309057,99,1.0,0.0004541070799127403,0
Z,adaptive_w0.25-coarse-max_net,adaptive_w0.25,coarse,max_net,0.25,335,0,2145,0.011547005383792518,0.9939212106344544,0.9970972840520163,0.9967333074042712,0.9939340280285478,0.001406679693923911,4.4275,0.1111111111111111,22.094228454167023,99,1.0,3.12675124056758e-05,0
Z,adaptive_w0.25-coarse-mean_worst,adaptive_w0.25,coarse,mean_worst,0.25,335,0,2145,0.011547005383792518,0.9847934629377735,0.9951421112725335,0.993989561760203,0.9853942475028836,0.0038700515292444493,3.63,0.24242424242424243,20.776997446082532,99,1.0,0.0007701382048823514,0
Z,adaptive_w0.25-hard_augmented-max_net,adaptive_w0.25,hard_augmented,max_net,0.25,545,210,2145,0.011547005383792518,0.9939212106344544,0.9970972840520163,0.9967333074042712,0.9939340280285478,0.001406679693923911,4.4275,0.1111111111111111,32.75292041013017,99,1.0,3.12675124056758e-05,0
Z,adaptive_w0.25-hard_augmented-mean_worst,adaptive_w0.25,hard_augmented,mean_worst,0.25,547,212,2145,0.011547005383792518,0.9963017303763197,0.9979584648426699,0.9978060833977236,0.9963329301824271,0.0007132383427012684,4.1775,0.21212121212121213,32.335148529848084,99,1.0,0.0013195279438817627,1
H,adaptive_w0.5-coarse-mean_worst,adaptive_w0.5,coarse,mean_worst,0.5,335,0,2145,0.011547005383792518,0.9907011430676793,0.9975414787319198,0.9967896855921125,0.9907013796781382,0.0023264824507973967,5.4275,0.16161616161616163,24.711040056077763,99,1.0,0.0008597043390108513,0
H,adaptive_w0.5-hard_augmented-mean_worst,adaptive_w0.5,hard_augmented,mean_worst,0.5,548,213,2145,0.011547005383792518,0.9907145689661636,0.9974449798530647,0.9970259184429494,0.9910167778807226,0.0019609618781840244,5.6175,0.1414141414141414,38.79503922490403,99,1.0,0.000595919848693001,0
Z,adaptive_w0.5-coarse-mean_worst,adaptive_w0.5,coarse,mean_worst,0.5,335,0,2145,0.011547005383792518,0.9855635605365463,0.9955311859260735,0.9944143957673048,0.9857423614584587,0.004116536611049156,3.66,0.1919191919191919,21.61595808598213,99,1.0,0.0014067752878245683,0
Z,adaptive_w0.5-hard_augmented-mean_worst,adaptive_w0.5,hard_augmented,mean_worst,0.5,549,214,2145,0.011547005383792518,0.9887638668248004,0.996206910394465,0.9953487810981229,0.9889811278304039,0.002816287019237808,4.775,0.09090909090909091,32.34700458613224,99,1.0,0.0020324177090272778,0
H,full-2145-max_net,full2145,full_net,max_net,0.25,2145,0,2145,0.011547005383792518,0.9969743673527238,0.9988390984109884,0.9987017717232248,0.9969986110523075,0.0007038963078495427,5.0475,0.1717171717171717,170.90949474694207,99,1.0,0.0005568191248145346,1
H,full-2145-mean_worst,full2145,full_net,mean_worst,0.25,2145,0,2145,0.011547005383792518,0.9955330268481348,0.9981147694195833,0.9980265550527023,0.995822027531706,0.0011686904316002907,5.7525,0.13131313131313133,170.56381029612385,91,1.0,3.6182374278762985e-05,0
Z,full-2145-max_net,full2145,full_net,max_net,0.25,2145,0,2145,0.011547005383792518,0.9869283838597638,0.995573960913599,0.9943439010283691,0.9874454131459418,0.0035174313969590825,4.285,0.08080808080808081,146.04896258190274,99,1.0,4.889982550671055e-05,0
Z,full-2145-mean_worst,full2145,full_net,mean_worst,0.25,2145,0,2145,0.011547005383792518,0.9856646738347177,0.9954032810413218,0.994788002443298,0.9856774711982312,0.0035486521127513883,3.71,0.15151515151515152,146.5119715249166,99,1.0,0.0008319883293352807,0
