task,pulse_type,training_strength,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,training_objective
Z,polished_open_loop,0.08,0.05,10,0.9999819515246503,1.804847534969678e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,11,0.9999982863066978,1.7136933021522083e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,12,0.99999875963411,1.2403658899984293e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,13,0.9999976370182933,2.362981706749423e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,14,0.9999952871099835,4.712890016467242e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,15,0.9999862651249127,1.3734875087267895e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,16,0.9999910559846705,8.944015329470645e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,17,0.999951897068106,4.810293189394521e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,18,0.9999931566371223,6.8433628777064825e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,19,0.999997820900184,2.179099816035368e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,20,0.9999953999556327,4.600044367308875e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,21,0.9999931379487267,6.862051273315295e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,22,0.9999839139386466,1.6086061353393077e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,23,0.9999658904361806,3.410956381943997e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,24,0.9999594865245138,4.0513475486170236e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,25,0.9999822797302541,1.7720269745891137e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,26,0.9999919596502551,8.040349744886655e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,27,0.9999980693075241,1.930692475893281e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,28,0.9999831736041241,1.6826395875857436e-05,0.19052792956931994,2.504765485985131e-05
