task,baseline,eval_strength,seed,state_transfer_fidelity,average_gate_fidelity,average_gate_infidelity,pulse_energy,basis_count,segments,refreshes,n_training_seeds,frequency_seed_path,training_objective,optimizer_success_all,optimization_seconds
Z,process_dcrab,0.08,10,0.9995954202535338,0.9923884130149497,0.007611586985050267,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,11,0.9996878611905832,0.9994872856005417,0.000512714399458325,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,12,0.9997061991226709,0.9996946246801072,0.00030537531989283107,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,13,0.9990916042526468,0.9971371499310194,0.0028628500689805714,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,14,0.9993698090007505,0.9992727057753438,0.0007272942246562275,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,15,0.9993857068960215,0.9967029276014401,0.0032970723985599193,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,16,0.9993030710366197,0.9994751963268887,0.0005248036731112515,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,17,0.9988394586990375,0.9984948652205919,0.0015051347794080572,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,18,0.9998848952602226,0.9999229198731783,7.708012682172694e-05,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,19,0.9992941741860225,0.9989523460002547,0.0010476539997452683,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,20,0.9995225238572889,0.999628961307586,0.0003710386924139497,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,21,0.9994610569922515,0.9976102182633836,0.0023897817366164142,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,22,0.9997703106645284,0.9933506858780888,0.006649314121911165,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,23,0.9990960269248245,0.9973016383707828,0.0026983616292172163,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,24,0.9988050033271688,0.9991201040112613,0.0008798959887387214,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,25,0.9989686194549589,0.9991878344753861,0.0008121655246139392,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,26,0.9998497966815924,0.9993553352380027,0.0006446647619973156,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,27,0.9994267517514527,0.9957939274340667,0.004206072565933305,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,28,0.9983838558985594,0.9899152596238547,0.010084740376145263,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,29,0.9985944795309509,0.9888544954926218,0.011145504507378168,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,30,0.9989966555371503,0.9990260397039838,0.000973960296016152,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,31,0.999270793414027,0.9993935791023624,0.0006064208976376273,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,32,0.9996071415740276,0.9984510405292818,0.001548959470718203,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,33,0.9991830635049251,0.9959237526812385,0.00407624731876155,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,34,0.9996592849919272,0.9983448039163587,0.001655196083641286,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,35,0.9989767895087982,0.9985208785178621,0.0014791214821379128,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,36,0.9989028106612896,0.9910571293500645,0.008942870649935486,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,37,0.9989892018899256,0.9992857303911213,0.0007142696088786593,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,38,0.9988261620834038,0.9948961848052534,0.005103815194746564,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,39,0.9997806996296663,0.999683234059861,0.0003167659401389633,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,40,0.9997282823418758,0.9941768468173886,0.005823153182611396,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,41,0.9982186361362402,0.9913844822289528,0.008615517771047188,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,42,0.9994608593994455,0.9977705082124038,0.0022294917875962383,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,43,0.9995249015360773,0.9986854126293382,0.0013145873706618127,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,44,0.9988158681378483,0.9946665879067068,0.005333412093293188,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,45,0.9998039371597354,0.9985972289082033,0.0014027710917966507,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,46,0.9990529639952852,0.9960167568862676,0.0039832431137324376,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,47,0.9997461700159795,0.9926997894066302,0.007300210593369827,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,48,0.9994255450298458,0.9987635277960668,0.0012364722039331921,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,49,0.9999991847219716,0.9997782219901987,0.0002217780098012767,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,50,0.9990990825972483,0.9951466866231597,0.0048533133768402514,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,51,0.9996955455358962,0.997542401569859,0.002457598430141039,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,52,0.9981906435378998,0.9908738186944207,0.009126181305579295,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,53,0.9996099388383373,0.9981620776285934,0.001837922371406564,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,54,0.9994441698218541,0.9994332067583186,0.000566793241681407,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,55,0.999452250738203,0.9993555041248342,0.0006444958751657959,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,56,0.9994778015255653,0.9996459466191974,0.0003540533808026325,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,57,0.9995023968582119,0.9973862215067902,0.002613778493209762,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,58,0.9997713295126002,0.9934189629135495,0.006581037086450525,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
Z,process_dcrab,0.08,59,0.9993339293492041,0.9995073844472572,0.0004926155527428255,5.066933842856409,3,40,3,8,"31,43,59",0.0036359213850768327,False,65.3109061862342
H,process_dcrab,0.08,10,0.995084479367638,0.9940437529162137,0.005956247083786281,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,11,0.999285210533307,0.9995112637686897,0.0004887362313102939,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,12,0.999423987093962,0.9995369988759178,0.0004630011240821519,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,13,0.9990153638300676,0.9981012572390858,0.0018987427609141738,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,14,0.9991882742870624,0.9993778623590117,0.0006221376409882851,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,15,0.995147611578164,0.9958036751226661,0.004196324877333901,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,16,0.999056401124027,0.9990200422334793,0.0009799577665207115,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,17,0.9980538570345672,0.9984388805675586,0.0015611194324414157,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,18,0.9992156636536105,0.9994340338483046,0.0005659661516953518,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,19,0.9993505149017605,0.9984360327385335,0.001563967261466459,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,20,0.9995043576464289,0.9995623943491138,0.00043760565088624137,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,21,0.9998951545200488,0.9984827977085274,0.0015172022914725636,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,22,0.9961033934138095,0.9951326435839571,0.004867356416042856,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,23,0.9967087863956795,0.9970104729080935,0.0029895270919064743,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
