task,controller,mode,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,horizon_steps,beam_width,n_train_seeds
Z,process_horizon,terminal,0.08,10,0.9040624184306727,0.9355793599184637,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,11,0.8903051994477467,0.9244732784237829,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,12,0.9208283415164404,0.9442972162575177,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,13,0.9778198277309225,0.9837189316244288,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,14,0.7651681534054584,0.8434447359958416,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,15,0.9760195289742725,0.983540319195822,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,16,0.8438180195989029,0.8933188641565444,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,17,0.905060240761608,0.9366863706369104,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,18,0.9129474348031179,0.9417568721027362,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,19,0.9725776719836552,0.9771678151125803,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,20,0.8596925247433199,0.9038859005547536,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,21,0.7537154349234673,0.8353999416802337,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,22,0.8788460245465117,0.9189257207836405,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,23,0.9826339858526023,0.9883988379664457,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,24,0.8184439975974537,0.8789370960819104,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,25,0.7270514854958774,0.8180160536184702,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,26,0.9580326036056945,0.9720170364642152,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,27,0.9279043956654526,0.9518547198876876,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,28,0.9824960486254295,0.9859192057910429,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,29,0.9373567509374354,0.9564030299980453,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,30,0.8796599304046673,0.9196935281602698,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,31,0.8316427469976122,0.8855879028502175,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,32,0.9876817898201135,0.9913925021574052,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,33,0.8736601218564839,0.9143151264147541,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,34,0.7651676660019986,0.8431595480962688,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,35,0.8896189327876174,0.923146712309508,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,36,0.9779871579149861,0.9839947102809191,1.7025,100,6,8,8
Z,process_horizon,terminal,0.08,37,0.7575028718245682,0.8383344376659622,1.7025,100,6,8,8
