task,controller,eval_strength,seed,state_fidelity,avg_gate_fidelity,pulse_energy,segments,horizon_steps,objective_mean,horizon_iterations,successful_steps,design_seconds
Z,finite_process_seed,0.08,10,0.8518479728309162,0.9010549645157445,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,11,0.8883258518128452,0.9210970786914672,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,12,0.9180754862452974,0.9406144377422034,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,13,0.9799803441048935,0.9843847829362374,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,14,0.7551139229891762,0.8359499781843459,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,15,0.9924363845473025,0.9933404205078262,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,16,0.870568800208994,0.9067954480834265,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,17,0.9328057170213304,0.9540800552322221,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,18,0.9448819652534721,0.9632527897836803,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,19,0.975670361367394,0.9770805566233941,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,20,0.8700806916208104,0.9075067720650777,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,21,0.7685559689281798,0.8454891774916778,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,22,0.8251007324374177,0.8833600207716161,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,23,0.9938003437121277,0.9951135865235589,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,24,0.8486265752145596,0.8979422907639946,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,25,0.7454938353813363,0.829287189442366,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,26,0.9803251821905777,0.9867245878879555,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,27,0.9075493949907767,0.9383589174788812,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,28,0.9560836382016391,0.9678095404057597,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,29,0.8966394179195949,0.9296007995361455,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,30,0.9102088952243284,0.9392698564383956,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,31,0.865592755564698,0.9038017858560249,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,32,0.9941171107810604,0.9960221369983273,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,33,0.8819131039270386,0.9200174747899466,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,34,0.7964230335230557,0.8642587931318806,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,35,0.9201004054137276,0.938705465518303,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,36,0.9463213938967867,0.9625847973705541,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,37,0.7655124994970836,0.84260295798002,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,38,0.9876678474332994,0.9904413147978754,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,39,0.9303026560074195,0.9494629410562778,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,40,0.8830160476445366,0.9218894578640165,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,41,0.989252632439497,0.9881261929554457,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,42,0.9123778224050195,0.9406269735901969,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,43,0.8330148758388338,0.88857774763991,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,44,0.982781619407576,0.9871590907019971,1.475,60,4,0.0,0,60,17.295424234122038
Z,finite_process_seed,0.08,45,0.9911120791775143,0.9938362358265106,1.475,60,4,0.0,0,60,17.295424234122038
