task,controller,mode,disorder_strength,seed,state_transfer_fidelity,state_ensemble_fidelity,average_gate_fidelity,pulse_energy,segments,horizon_steps,beam_width,n_train_seeds,n_train_strengths
Z,state_ensemble_horizon,terminal,0.08,10,0.10114939587769392,0.5444031657598627,0.3958700543048928,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,11,0.17848134701738488,0.5875397523771663,0.4514215360191541,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,12,0.13829995243511076,0.5672822028367297,0.42461164651300676,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,13,0.03436232800311842,0.5160701455740395,0.35622485273442916,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,14,0.2308403084591695,0.6143975739878603,0.4871867784123534,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,15,0.03609857371599151,0.5101309691424657,0.350695434517651,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,16,0.22907337997207236,0.6109020658453671,0.48312595640092293,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,17,0.06506743322385045,0.5309154861043492,0.37527400604682853,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,18,0.10671484723812244,0.5495339141932378,0.4016857934264124,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,19,0.06323233082269034,0.528118270906309,0.37327931552446975,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,20,0.2151446354455927,0.605107028816792,0.4750588056291336,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,21,0.21104551207962113,0.6052923120843209,0.4740244024276968,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,22,0.1271042888730349,0.5583550913917157,0.414198274267976,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,23,0.0035656322059738066,0.5002895591328522,0.33443290122013636,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,24,0.1516302594640697,0.574582598426667,0.433336944805972,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,25,0.2541965836685013,0.6263835729995303,0.5023042392341414,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,26,0.05159888382237077,0.520302604912177,0.3635774968943856,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,27,0.12558644086573267,0.5625103448358661,0.41699964500537917,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,28,0.02214703922867578,0.5021709028578067,0.3401864167641431,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,29,0.06278453596254269,0.5237154649858908,0.3683658660543255,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,30,0.0863801092517281,0.5418326065132545,0.3897357720467433,0.1125,100,6,8,8,2
