regime,method,metric,heldout_n,heldout_mean,worst_or_leakage,pulse_energy,resource_profile,logged_design_seconds,role
two-level transfer,beam-horizon Lyapunov,final state fidelity at delta=0.08,50/50,0.997582/0.998156,0.993966/0.994749,4.923/5.608,100 seg; 16 train samples; q=6; B=6/8; finite grid,,proposed interpretable horizon controller
two-level transfer,slew-constrained beam,final state fidelity at delta=0.08,50/50,0.995054/0.995260,0.991829/0.989820,0.8083/0.4542,60 seg; 16 train samples; q=4; B=6/8; slew weight=0.005,36.6/48.2,physical-smoothness diagnostic
two-level transfer,filtered slew beam,final state fidelity at delta=0.08,50/50,0.994356/0.995036,0.989247/0.983260,0.7052/0.3982,60 seg; 16 train samples; q=4; B=6/8; slew weight=0.005; boxcar3 filter,36.7/48.5,low-pass post-filter diagnostic
two-level transfer,ensemble Krotov,final state fidelity at delta=0.08,50/50,0.958963/0.987255,0.945603/0.978499,0.01822/0.01926,40 seg; 8 train seeds; 60 Krotov iter.; mean state-transfer functional,52.4/52.5,Krotov-family terminal comparator
two-level transfer,dCRAB terminal,final state fidelity at delta=0.08,50/50,0.999635/0.999578,0.998336/0.998374,8.652/5.14,40 seg; 4 train seeds; 3 Fourier modes; 3 basis refreshes,38.8/48.1,derivative-free terminal ceiling
two-level transfer,dCRAB train-8 terminal,final state fidelity at delta=0.08,50/50,0.999713/0.999789,0.998775/0.999393,8.604/4.972,40 seg; 8 train seeds; 3 Fourier modes; 3 basis refreshes,51.8/71.0,larger-training derivative-free terminal ceiling
two-level transfer,ensemble GRAPE state,final state fidelity at delta=0.08,50/50,0.999342/0.996571,0.996798/0.990732,0.4393/0.06404,60 seg; 16 train samples; exact Frechet gradients,99.7/55.8,gradient terminal comparator
process fidelity,finite process horizon,average gate fidelity at delta=0.08,50/50,0.926604/0.925944,0.773161/0.754446,1.702/1.575,100 seg; 8 train seeds; q=6; B=8; finite grid,,direct process-horizon diagnostic
process fidelity,adjoint process horizon,average gate fidelity at delta=0.08,50/50,0.994641/0.999717,0.984930/0.999258,1.401/3.027,60 seg; 16 train samples; q=4; reference-assisted adjoint horizon,53.5/141.2,process objective inside horizon architecture
process fidelity,process GRAPE,average gate fidelity at delta=0.08,50/50,0.994732/0.999742,0.985022/0.999325,1.402/3.066,60 seg; 16 train samples; exact Frechet gradients,40.0/125.9,terminal process ceiling
open-system combined noise,closed beam pulse,final state fidelity at delta=0.08,50/50,0.957140/0.956625,0.953875/0.953671,4.923/5.608,100 seg; closed-system beam pulse; evaluated under Lindblad noise,,stress test without dissipative training
open-system combined noise,standalone Lindblad adjoint,final state fidelity at delta=0.08,50/50,0.948934/0.943610,0.943955/0.912418,3.741/2.529,60 seg; 3 train seeds; q=4; target-only adjoint horizon,12.0/14.1,GRAPE-free dissipative adjoint diagnostic
open-system combined noise,adjoint Lindblad horizon,final state fidelity at delta=0.08,50/50,0.974684/0.977779,0.969816/0.973761,0.6002/0.2483,40 seg; 4 train seeds; q=4; Liouville Frechet gradients,33.8/37.4,dissipative horizon diagnostic
open-system combined noise,open-system GRAPE,final state fidelity at delta=0.08,50/50,0.977461/0.978929,0.973611/0.975951,0.6397/0.3267,40 seg; 4 train seeds; Liouville Frechet gradients,31.5/35.0,terminal dissipative ceiling
five-level leakage,path horizon,final state fidelity at delta=0.03,50,0.837761,0.521005; leak 0.0468,0.001384,120 seg; 12 train samples; q=5; B=6; finite grid,69.5,leakage-aware finite-candidate horizon
five-level leakage,standalone adjoint horizon,final state fidelity at delta=0.03,50,0.846606,0.566895; leak 0.0146,0.0009352,120 seg; 12 train samples; q=5; path-seed adjoint polish,81.2,GRAPE-free leakage-adjoint diagnostic
five-level leakage,adjoint leakage horizon,final state fidelity at delta=0.03,50,0.948305,0.800962; leak 0.0530,0.00202,80 seg; 12 train samples; q=5; trust-region adjoint polish,20.6,gradient-assisted leakage horizon
five-level leakage,leakage-penalized GRAPE,final state fidelity at delta=0.03,50,0.969447,0.842125; leak 0.0539,0.002661,80 seg; 8 train samples; running leakage penalty,16.5,terminal leakage-aware ceiling
five-level leakage + Lindblad,path horizon,combined-noise final fidelity at delta=0.03,50,0.826420,0.521083; leak 0.0467,0.001384,120 seg; gamma_phi=0.001; gamma_relax=0.0005; evaluated under five-level Lindblad noise,67.8,combined physical stress test
five-level leakage + Lindblad,standalone open-leakage adjoint,combined-noise final fidelity at delta=0.03,50,0.840595,0.551524; leak 0.0177,0.0009931,120 seg; 4 train seeds; q=5; direct Lindblad leakage-adjoint horizon,77.5,GRAPE-free direct combined-noise horizon diagnostic
five-level leakage + Lindblad,target-biased open-leakage adjoint,combined-noise final fidelity at delta=0.03,50,0.910936,0.706954; leak 0.0420,0.001745,120 seg; 4 train seeds; q=5; terminal-target-biased direct Lindblad leakage-adjoint horizon,75.4,GRAPE-free terminal-biased combined-noise horizon diagnostic
five-level leakage + Lindblad,integrated open-leakage adjoint,combined-noise final fidelity at delta=0.03,50,0.897659,0.726939; leak 0.0401,0.001901,120 seg; 4 train seeds; q=5; terminal weight=1.0; leakage weight=1.5; trust radius=0.04,79.3,GRAPE-free integrated combined-noise Pareto tradeoff
five-level leakage + Lindblad,two-stage target-biased open-leakage adjoint,combined-noise final fidelity at delta=0.03,50,0.919179,0.784895; leak 0.0653,0.002444,120 seg; 4 train seeds; q=5; target recovery then leakage repolish,89.9,GRAPE-free fidelity-favoring combined-noise horizon tradeoff
five-level leakage + Lindblad,continuation open-leakage adjoint,combined-noise final fidelity at delta=0.03,50,0.920133,0.766810; leak 0.0535,0.00296,120 seg; 4 train seeds; q=5; low-leakage seed then two target/leakage continuation stages,104.0,best GRAPE-free mean/leakage combined-noise horizon tradeoff
five-level leakage + Lindblad,fidelity-favoring continuation adjoint,combined-noise final fidelity at delta=0.03,50,0.929533,0.812158; leak 0.0714,0.003197,120 seg; 4 train seeds; q=5; lower leakage penalty in final continuation stage,104.8,"highest-fidelity GRAPE-free combined-noise horizon row, with higher leakage"
five-level leakage + Lindblad,target-push continuation adjoint,combined-noise final fidelity at delta=0.03,50,0.935047,0.800444; leak 0.0794,0.003249,120 seg; 4 train seeds; q=5; low-leakage seed then leak-0.5 target-push continuation,104.3,"highest-fidelity GRAPE-free row that exceeds the reference-assisted mean, with higher leakage"
five-level leakage + Lindblad,leakage-cap target-push adjoint,combined-noise final fidelity at delta=0.03,50,0.938530,0.766622; leak 0.0698,0.003576,120 seg; 4 train seeds; q=5; target-push seed then cap-0.05 leakage polish,116.4,GRAPE-free cap-refined target-push tradeoff
five-level leakage + Lindblad,adjoint leakage horizon,combined-noise final fidelity at delta=0.03,50,0.932452,0.787640; leak 0.0538,0.00202,80 seg; gamma_phi=0.001; gamma_relax=0.0005; reference-assisted horizon,19.9,combined physical horizon diagnostic
five-level leakage + Lindblad,leakage-penalized GRAPE,combined-noise final fidelity at delta=0.03,50,0.952952,0.830203; leak 0.0549,0.002661,80 seg; gamma_phi=0.001; gamma_relax=0.0005; terminal leakage-aware pulse,16.1,combined physical terminal ceiling
