task,method,step,value_depth,audit_stride,score_mode,worst_weight,train_net_points,eval_net_points,eval_covering_radius_h,candidate_count,beam_width,residual_threshold,eval_outside_residual,shifted_selected_fraction,eval_phi,current_value,best_fixed_successor_value,best_fixed_depth_margin,best_fallback_index,best_fallback_norm,scheduled_stage_margin,audit_seconds
Z,selected_hard_augmented_mean_worst,10,1,10,mean_worst,0.25,547,2145,0.011547005383792518,41,6,0.001,1,0.0,0.004849389683389414,0.008676501158400289,0.008923767140949865,-0.0002472659825495764,38,15.999999999999996,0.0038493896833894136,45.87194002489559
Z,selected_hard_augmented_mean_worst,20,1,10,mean_worst,0.25,547,2145,0.011547005383792518,41,6,0.001,1,0.05263157894736842,0.00844159859048248,0.01643893268355817,0.01762521628954565,-0.0011862836059874787,5,0.24999999999999994,0.00744159859048248,45.87194002489559
Z,selected_hard_augmented_mean_worst,30,1,10,mean_worst,0.25,547,2145,0.011547005383792518,41,6,0.001,1,0.10344827586206896,0.008523717303227325,0.01630558046468313,0.016888674226358646,-0.0005830937616755176,14,0.9999999999999998,0.007523717303227325,45.87194002489559
Z,selected_hard_augmented_mean_worst,40,1,10,mean_worst,0.25,547,2145,0.011547005383792518,41,6,0.001,1,0.1794871794871795,0.009468021205632797,0.017385570502098643,0.01679970226738515,0.000585868234713495,5,0.24999999999999994,0.008468021205632798,45.87194002489559
Z,selected_hard_augmented_mean_worst,50,1,10,mean_worst,0.25,547,2145,0.011547005383792518,41,6,0.001,1,0.2653061224489796,0.012775266829466439,0.025140236889505743,0.026320944382053506,-0.0011807074925477626,0,0.0,0.01177526682946644,45.87194002489559
Z,selected_hard_augmented_mean_worst,60,1,10,mean_worst,0.25,547,2145,0.011547005383792518,41,6,0.001,1,0.23728813559322035,0.012239094461954267,0.023361475716680645,0.02316185326175085,0.00019962245492979522,0,0.0,0.011239094461954268,45.87194002489559
Z,selected_hard_augmented_mean_worst,70,1,10,mean_worst,0.25,547,2145,0.011547005383792518,41,6,0.001,1,0.2463768115942029,0.008101257784841387,0.014811012939505604,0.014162496950555749,0.0006485159889498548,0,0.0,0.007101257784841387,45.87194002489559
Z,selected_hard_augmented_mean_worst,80,1,10,mean_worst,0.25,547,2145,0.011547005383792518,41,6,0.001,1,0.24050632911392406,0.01059234289187998,0.020700179901674273,0.021727878377017725,-0.0010276984753434526,0,0.0,0.00959234289187998,45.87194002489559
Z,selected_hard_augmented_mean_worst,90,1,10,mean_worst,0.25,547,2145,0.011547005383792518,41,6,0.001,1,0.21348314606741572,0.004741360390196129,0.008108853648339902,0.007425669802692654,0.0006831838456472479,0,0.0,0.003741360390196129,45.87194002489559
H,selected_full2145_max_net,10,1,10,max_net,0.25,2145,2145,0.011547005383792518,41,8,0.001,1,0.1111111111111111,0.004759242035507927,0.009135241052468768,0.010505590520413333,-0.001370349467944565,0,0.0,0.0037592420355079268,177.21307810395956
H,selected_full2145_max_net,20,1,10,max_net,0.25,2145,2145,0.011547005383792518,41,8,0.001,1,0.05263157894736842,0.005286287437941128,0.009886985934377646,0.010528431141823558,-0.000641445207445912,21,3.999999999999999,0.004286287437941128,177.21307810395956
H,selected_full2145_max_net,30,1,10,max_net,0.25,2145,2145,0.011547005383792518,41,8,0.001,1,0.1724137931034483,0.006225906492055344,0.012089202953148415,0.013567575638292584,-0.0014783726851441692,0,0.0,0.005225906492055344,177.21307810395956
H,selected_full2145_max_net,40,1,10,max_net,0.25,2145,2145,0.011547005383792518,41,8,0.001,1,0.23076923076923078,0.0017435980355928749,0.002373468663416368,0.0024169553030158894,-4.348663959952148e-05,8,0.24999999999999994,0.0007435980355928748,177.21307810395956
H,selected_full2145_max_net,50,1,10,max_net,0.25,2145,2145,0.011547005383792518,41,8,0.001,1,0.24489795918367346,0.004206050148623852,0.007647285010699113,0.008234897563448085,-0.000587612552748972,6,0.24999999999999994,0.003206050148623852,177.21307810395956
H,selected_full2145_max_net,60,1,10,max_net,0.25,2145,2145,0.011547005383792518,41,8,0.001,1,0.2033898305084746,0.004638709828971521,0.008890456488799936,0.010249180926219958,-0.0013587244374200225,0,0.0,0.003638709828971521,177.21307810395956
H,selected_full2145_max_net,70,1,10,max_net,0.25,2145,2145,0.011547005383792518,41,8,0.001,1,0.18840579710144928,0.004154911122232097,0.00746955187084486,0.007914544668470413,-0.00044499279762555324,0,0.0,0.0031549111222320967,177.21307810395956
H,selected_full2145_max_net,80,1,10,max_net,0.25,2145,2145,0.011547005383792518,41,8,0.001,1,0.17721518987341772,0.004336718868902079,0.0081828729199932,0.009283766324303055,-0.001100893404309855,0,0.0,0.0033367188689020786,177.21307810395956
H,selected_full2145_max_net,90,1,10,max_net,0.25,2145,2145,0.011547005383792518,41,8,0.001,1,0.19101123595505617,0.002926201269288775,0.005260307235411933,0.006212313411941951,-0.0009520061765300181,0,0.0,0.001926201269288775,177.21307810395956
