task,method,net_index,coeff_x,coeff_y,coeff_z,coeff_norm,ball_radius,points_per_axis,grid_spacing,covering_radius,final_fidelity,final_infidelity,grad_x,grad_y,grad_z,gradient_norm,pulse_energy,design_seconds,time_horizon,score_mode,worst_weight,train_net_points,base_train_points,hard_points_requested,hard_points_used,design_points_per_axis,certificate_points_per_axis
Z,selected_hard_augmented_mean_worst,0,-0.08,0.0,0.0,0.08,0.08,25,0.006666666666666668,0.005773502691896259,0.9991004764435566,0.0008995235564434045,-0.0036377780802918647,-0.004379203798881515,-0.009725331537506043,0.011269113930917547,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,1,-0.07972366065959,-0.0066436383883,0.0,0.0799999999999997,0.08,25,0.006666666666666668,0.005773502691896259,0.9990573437404167,0.000942656259583341,-0.004227313412000083,-0.008905022429424814,-0.009806263575188712,0.013904402484749487,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2,-0.07972366065959,0.0,-0.0066436383883,0.0799999999999997,0.08,25,0.006666666666666668,0.005773502691896259,0.9990235981491434,0.0009764018508565675,-0.004255967618748274,-0.00444169471896827,-0.013749268553909066,0.015062678982035605,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,3,-0.07972366065959,0.0,0.0066436383883,0.0799999999999997,0.08,25,0.006666666666666668,0.005773502691896259,0.9991525421195812,0.0008474578804188448,-0.003028151019620298,-0.004269830311911471,-0.005677317198366005,0.007722245791284287,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,4,-0.07972366065959,0.0066436383883,0.0,0.0799999999999997,0.08,25,0.006666666666666668,0.005773502691896259,0.99911479791571,0.0008852020842899933,-0.0029226160181324567,0.000368652626032695,-0.009636459323691948,0.010076653087473773,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,5,-0.07945016530583,-0.00662084710882,-0.00662084710882,0.08000000000000283,0.08,25,0.006666666666666668,0.005773502691896259,0.998980597209953,0.0010194027900469749,-0.004891395564203996,-0.008991441628480923,-0.013817269487164274,0.017195601449347887,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,6,-0.07945016530583,-0.00662084710882,0.00662084710882,0.08000000000000283,0.08,25,0.006666666666666668,0.005773502691896259,0.9991101298460493,0.0008898701539507003,-0.00356542303887962,-0.0087493994900531,-0.005761875037776476,0.011066319931832203,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7,-0.07945016530583,0.00662084710882,-0.00662084710882,0.08000000000000283,0.08,25,0.006666666666666668,0.005773502691896259,0.9990386340963457,0.0009613659036542543,-0.0034921083079864634,0.0003433507933947033,-0.013641920643061078,0.014085975615256787,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,8,-0.07945016530583,0.00662084710882,0.00662084710882,0.08000000000000283,0.08,25,0.006666666666666668,0.005773502691896259,0.9991660012010983,0.0008339987989016695,-0.0023694330248058837,0.0004142415601031124,-0.005616170980575874,0.0061095978110036015,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,9,-0.07891151390657,-0.01315191898443,0.0,0.07999999999999875,0.08,25,0.006666666666666668,0.005773502691896259,0.9989891678987484,0.0010108321012516353,-0.004651217680663608,-0.013129151159996522,-0.009854506584305867,0.017062231275981565,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,10,-0.07891151390657,0.0,-0.01315191898443,0.07999999999999875,0.08,25,0.006666666666666668,0.005773502691896259,0.9989251341805725,0.0010748658194275063,-0.0048779031218709745,-0.004439811579283859,-0.01764782916049945,0.01884016294526341,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,11,-0.07891151390657,0.0,0.01315191898443,0.07999999999999875,0.08,25,0.006666666666666668,0.005773502691896259,0.9991787575308191,0.0008212424691809161,-0.002431657322708447,-0.004133182924234424,-0.0017059906249046186,0.005089848959696848,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,12,-0.07891151390657,0.01315191898443,0.0,0.07999999999999875,0.08,25,0.006666666666666668,0.005773502691896259,0.9990987022649009,0.0009012977350990603,-0.0021303857566157824,0.005233436012245907,-0.009563650531924206,0.011108141494554248,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,13,-0.07864626436983,-0.0131077107283,-0.00655385536415,0.08000000000000111,0.08,25,0.006666666666666668,0.005773502691896259,0.9989134975439173,0.0010865024560826608,-0.005355705665866642,-0.013225965703191345,-0.013821225218218047,0.019865447855361738,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
