step,selected_shifted,selected_cost,selected_phi,selected_energy_mean,shifted_available,previous_terminal_phi,best_shifted_margin,best_shifted_phi,best_shifted_cost,task,beam_width,residual_threshold,current_outside_residual,terminal_outside_residual
0,0,0.0020415222502339833,0.0020415222502339833,13.5,0,nan,nan,nan,nan,Z,6,0.001,1,0
1,0,0.002026341232292242,0.002026341232292242,10.333333333333334,1,0.0020415222502339833,-0.00022995228460700318,0.0022714745348409865,0.0022714745348409865,Z,6,0.001,1,1
2,0,0.002256253570129131,0.002256253570129131,7.666666666666665,1,0.002026341232292242,-0.0002299123378368892,0.002256253570129131,0.002256253570129131,Z,6,0.001,1,1
3,0,0.0023834887293366497,0.0023834887293366497,5.708333333333332,1,0.002256253570129131,-0.00026874726990237796,0.002525000840031509,0.002525000840031509,Z,6,0.001,1,1
4,0,0.002584536389571887,0.002584536389571887,4.249999999999999,1,0.0023834887293366497,-0.0002724723181130387,0.0026559610474496884,0.0026559610474496884,Z,6,0.001,1,1
5,0,0.0028831646562249985,0.0028831646562249985,0.8333333333333334,1,0.002584536389571887,-0.0002988723889398373,0.0028834087785117243,0.0028834087785117243,Z,6,0.001,1,1
6,0,0.003047633659873157,0.003047633659873157,0.375,1,0.0028831646562249985,-0.0003381215122032627,0.003221286168428261,0.003221286168428261,Z,6,0.001,1,1
7,0,0.0032325847099518995,0.0032325847099518995,0.4166666666666667,1,0.003047633659873157,-0.00028236401050325127,0.0033299976703764084,0.0033299976703764084,Z,6,0.001,1,1
8,0,0.0034077559489118364,0.0034077559489118364,0.875,1,0.0032325847099518995,-0.0003565017636682835,0.003589086473620183,0.003589086473620183,Z,6,0.001,1,1
9,0,0.003064422497545974,0.003064422497545974,4.291666666666667,1,0.0034077559489118364,-0.00035621410774173967,0.003763970056653576,0.003763970056653576,Z,6,0.001,1,1
10,0,0.0033293719795650795,0.0033293719795650795,3.125,1,0.003064422497545974,-0.00029297240911729805,0.003357394906663272,0.003357394906663272,Z,6,0.001,1,1
11,0,0.0035217982043523957,0.0035217982043523957,0.9166666666666665,1,0.0033293719795650795,-0.000307469792126952,0.0036368417716920315,0.0036368417716920315,Z,6,0.001,1,1
12,0,0.0038950659673245847,0.0038950659673245847,0.4166666666666666,1,0.0035217982043523957,-0.000381463008088008,0.0039032612124404037,0.0039032612124404037,Z,6,0.001,1,1
13,0,0.00435297100174592,0.00435297100174592,0.041666666666666664,1,0.0038950659673245847,-0.0004629750541804492,0.004358041021505034,0.004358041021505034,Z,6,0.001,1,1
14,0,0.00464955533587471,0.00464955533587471,3.3333333333333326,1,0.00435297100174592,-0.0005170939544484748,0.004870064956194395,0.004870064956194395,Z,6,0.001,1,1
15,0,0.005174867090535502,0.005174867090535502,2.7499999999999996,1,0.00464955533587471,-0.0005657590598830767,0.005215314395757786,0.005215314395757786,Z,6,0.001,1,1
16,0,0.0055255909618900576,0.0055255909618900576,0.29166666666666663,1,0.005174867090535502,-0.0006146982924905772,0.00578956538302608,0.00578956538302608,Z,6,0.001,1,1
17,0,0.006092782491319559,0.006092782491319559,0.25,1,0.0055255909618900576,-0.0006217502141910719,0.0061473411760811295,0.0061473411760811295,Z,6,0.001,1,1
18,0,0.0056280676035384836,0.0056280676035384836,2.2916666666666665,1,0.006092782491319559,-0.0005456217681150122,0.006638404259434572,0.006638404259434572,Z,6,0.001,1,1
19,0,0.004881731079065886,0.004881731079065886,5.416666666666667,1,0.0056280676035384836,-0.0004318678868058326,0.006059935490344316,0.006059935490344316,Z,6,0.001,1,1
20,0,0.005096611515210944,0.005096611515210944,3.0,1,0.004881731079065886,-0.00030581804585793487,0.005187549124923821,0.005187549124923821,Z,6,0.001,1,1
21,0,0.004701739725409604,0.004701739725409604,1.833333333333333,1,0.005096611515210944,-0.00025799801958963087,0.005354609534800575,0.005354609534800575,Z,6,0.001,1,1
22,0,0.0048337679649592055,0.0048337679649592055,1.6666666666666663,1,0.004701739725409604,-0.00020291079802496614,0.00490465052343457,0.00490465052343457,Z,6,0.001,1,1
23,0,0.004855861042766446,0.004855861042766446,2.166666666666666,1,0.0048337679649592055,-0.00026532316551939467,0.0050990911304786,0.0050990911304786,Z,6,0.001,1,1
24,0,0.0044562383512529655,0.0044562383512529655,4.166666666666665,1,0.004855861042766446,-0.00025313826222161245,0.005108999304988059,0.005108999304988059,Z,6,0.001,1,1
25,0,0.00467001573059516,0.00467001573059516,2.9999999999999996,1,0.0044562383512529655,-0.00028538068173143,0.0047416190329843955,0.0047416190329843955,Z,6,0.001,1,1
26,0,0.004937645576920696,0.004937645576920696,0.25,1,0.00467001573059516,-0.0003574628392828058,0.005027478569877966,0.005027478569877966,Z,6,0.001,1,1
27,0,0.0051619721348036135,0.0051619721348036135,0.4583333333333333,1,0.004937645576920696,-0.0004471055763157969,0.005384751153236493,0.005384751153236493,Z,6,0.001,1,1
28,1,0.005693982907959992,0.005693982907959992,0.2916666666666667,1,0.0051619721348036135,-0.0005320107731563786,0.005693982907959992,0.005693982907959992,Z,6,0.001,1,1
29,0,0.005999031781424108,0.005999031781424108,1.5,1,0.005693982907959992,-0.0006247143944908204,0.0063186973024508125,0.0063186973024508125,Z,6,0.001,1,1
30,0,0.006630645481194353,0.006630645481194353,1.7916666666666667,1,0.005999031781424108,-0.0007264732528529591,0.006725505034277067,0.006725505034277067,Z,6,0.001,1,1
31,0,0.007235077884662079,0.007235077884662079,0.08333333333333333,1,0.006630645481194353,-0.0008101548201174119,0.007440800301311765,0.007440800301311765,Z,6,0.001,1,1
32,0,0.007773961662153987,0.007773961662153987,0.37499999999999994,1,0.007235077884662079,-0.0008801712413931129,0.008115249126055192,0.008115249126055192,Z,6,0.001,1,1
33,0,0.00821560531072496,0.00821560531072496,1.4999999999999998,1,0.007773961662153987,-0.0008570248658265125,0.0086309865279805,0.0086309865279805,Z,6,0.001,1,1
34,0,0.0074207486152537555,0.0074207486152537555,3.4583333333333326,1,0.00821560531072496,-0.0008618329681396447,0.009077438278864605,0.009077438278864605,Z,6,0.001,1,1
35,0,0.006799122493903874,0.006799122493903874,2.9583333333333335,1,0.0074207486152537555,-0.0004167550819299745,0.00783750369718373,0.00783750369718373,Z,6,0.001,1,1
36,1,0.006699662645676355,0.006699662645676355,1.4583333333333333,1,0.006799122493903874,9.945984822751913e-05,0.006699662645676355,0.006699662645676355,Z,6,0.001,1,1
37,1,0.006709228372303554,0.006709228372303554,1.4166666666666667,1,0.006699662645676355,-9.565726627198956e-06,0.006709228372303554,0.006709228372303554,Z,6,0.001,1,1
38,0,0.006193847468242399,0.006193847468242399,2.3333333333333335,1,0.006709228372303554,-0.0001031054123286565,0.00681233378463221,0.00681233378463221,Z,6,0.001,1,1
39,0,0.00606115499530064,0.00606115499530064,2.9166666666666665,1,0.006193847468242399,9.948903015862681e-05,0.006094358438083772,0.006094358438083772,Z,6,0.001,1,1
40,0,0.005832370855754256,0.005832370855754256,3.0833333333333335,1,0.00606115499530064,0.00015405455779862742,0.005907100437502012,0.005907100437502012,Z,6,0.001,1,1
41,0,0.005568057708460528,0.005568057708460528,0.8333333333333331,1,0.005832370855754256,0.00015361570721468543,0.00567875514853957,0.00567875514853957,Z,6,0.001,1,1
42,1,0.00556066853888075,0.00556066853888075,0.7916666666666665,1,0.005568057708460528,7.3891695797773105e-06,0.00556066853888075,0.00556066853888075,Z,6,0.001,1,1
43,0,0.005575308535733153,0.005575308535733153,0.7499999999999999,1,0.00556066853888075,-9.586328557289331e-05,0.005656531824453644,0.005656531824453644,Z,6,0.001,1,1
44,0,0.005659218767797729,0.005659218767797729,0.75,1,0.005575308535733153,-8.391023206457543e-05,0.005659218767797729,0.005659218767797729,Z,6,0.001,1,1
45,0,0.005679584473923971,0.005679584473923971,2.9166666666666665,1,0.005659218767797729,-0.0002353648526584387,0.0058945836204561675,0.0058945836204561675,Z,6,0.001,1,1
46,1,0.00598937397034021,0.00598937397034021,2.75,1,0.005679584473923971,-0.00030978949641623926,0.00598937397034021,0.00598937397034021,Z,6,0.001,1,1
47,0,0.006155870273861164,0.006155870273861164,1.75,1,0.00598937397034021,-0.0004540219588303543,0.0064433959291705645,0.0064433959291705645,Z,6,0.001,1,1
