task,controller,slew_weight,eval_strength,seed,final_fidelity,tail_infidelity_mean,tail_stability_range,segments,horizon_steps,beam_width,design_seconds,pulse_energy,rms_slew,max_step,total_variation,high_frequency_fraction
Z,slew_constrained_beam_horizon,0.0,0.08,10,0.9916908252715608,0.01206504188948641,0.009030209219007768,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,11,0.98998960339918,0.01398564561253849,0.010903378134533792,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,12,0.989859704192898,0.01324448952864906,0.010177675554914667,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,13,0.9904575715895647,0.008270369446235075,0.0031970618119497862,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,14,0.9887894637015407,0.018477795953550813,0.014632661117176426,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,15,0.9912174635330608,0.011800236361187637,0.00580341153773134,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,16,0.9875603000387709,0.017724761285548136,0.012910576506127702,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,17,0.991876643874644,0.012233179105800103,0.00781275188419528,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,18,0.9922248450985848,0.00930232706977288,0.004063694963826192,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,19,0.9878327615688065,0.013075139272953784,0.009461125501334156,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,20,0.9887055258478652,0.016050224571202684,0.012406251300312032,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,21,0.9920464328850014,0.009257425188002792,0.007318106579443429,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,22,0.9917992768308913,0.012532849802586031,0.0099295220110035,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,23,0.9928880200978002,0.009785915203676946,0.005722916163171776,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,24,0.9911617526752677,0.014356555605420084,0.010857314178190358,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,25,0.9901198018172334,0.017154753941412835,0.014586301180237515,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,26,0.9923182559817674,0.009702353506088014,0.004928698917647578,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,27,0.993146268491641,0.009983698623543024,0.007744329067791655,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,28,0.9885211350742751,0.012276250227654498,0.005019714723819901,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,29,0.989077538090761,0.01153619924064634,0.005436505463412344,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,30,0.9923176751849387,0.011683561855624563,0.008571690963539824,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,31,0.9875137183134123,0.018099880001488638,0.013326725580040999,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,32,0.9936765510281018,0.008233729586327664,0.004492470126525316,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,33,0.991496377952187,0.008440205661199527,0.003148187046270401,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,34,0.9912883247162695,0.012240555308681204,0.008757797744250007,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,35,0.9867486547756941,0.017590716120829034,0.011831868794289657,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,36,0.990384465552118,0.011876605383709373,0.005853162670955481,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,37,0.9888791290319107,0.018555414211612005,0.014762748780547175,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,38,0.9921795519333954,0.009740912826854306,0.005608760617741848,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,39,0.9904013004480865,0.012279544584829938,0.009162242306706592,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,40,0.9920196770894381,0.011773720321306028,0.008375090793559248,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,41,0.9875433717646975,0.01328504176685734,0.005263087086663343,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,42,0.9916869503891169,0.007964170687941384,0.0023342413679949825,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,43,0.992410850899597,0.008277500616914697,0.006397386531219795,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,44,0.9921439174803366,0.009669330809611085,0.0055545953451913155,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,45,0.9923721690823777,0.009831524546923966,0.005100380807647631,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,46,0.9883898274156983,0.008773599799036887,0.005377977118699362,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,47,0.9911021836022865,0.013397445299292739,0.01266847020664319,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,48,0.98872034303252,0.010298603904578938,0.006144201901501001,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,49,0.9925201546340776,0.008177297705098127,0.0034080774852004447,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,50,0.9915608001905918,0.008939518099100293,0.00417410673085894,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,51,0.9922225045851316,0.010304793621850602,0.005413864135235813,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,52,0.987424738314258,0.012830203321492463,0.004971043306175149,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,53,0.9917848362571364,0.009493391745154333,0.004611144424344182,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,54,0.988906515727753,0.016657635504494575,0.012341689168099412,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,55,0.9901615709102629,0.01017559102755677,0.003083768437645462,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,56,0.9884232113558375,0.017917682994808472,0.01445162192906535,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,57,0.9910025285451693,0.014684178881770392,0.013521430158151215,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,58,0.9911443621832001,0.013830098267037115,0.01323254793431039,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.0,0.08,59,0.9876862181141117,0.016911482227013434,0.012631635363853033,60,4,6,36.546568776946515,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,slew_constrained_beam_horizon,0.001,0.08,10,0.988238714948358,0.008708973479025927,0.005401136977055909,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,11,0.9867701965518522,0.008255123357887414,0.007550553675264693,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,12,0.9867428276681977,0.008174902356139106,0.007700568836025101,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,13,0.9913916107920222,0.009072450560796991,0.0057639504719236845,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,14,0.9885580124010938,0.008435572067083973,0.004815369410975157,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,15,0.9910953148286985,0.007375068607923354,0.0023867429025914433,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,16,0.987793163138269,0.00834821635085802,0.006218713684304822,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,17,0.9928340370097455,0.006754303177960313,0.001617812628136872,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,18,0.9929021304818977,0.00809741749927654,0.004908804247588772,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,19,0.9870216392394813,0.008476138394116957,0.00753116209505067,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,20,0.9869169521959563,0.008399047106579708,0.007273294607892056,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,21,0.9939870649533412,0.008839863912379932,0.006736986120168376,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,22,0.9878334844381055,0.00877053155865373,0.005756611910597065,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,23,0.9918862457442021,0.0068083588704092035,0.0024197231062785818,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,24,0.9930423541007232,0.0071194881530221195,0.0025747806967784115,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,25,0.9920099743150589,0.007959765346802582,0.0031391883555547118,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,26,0.9919646393601165,0.007580045915827069,0.003259029783969969,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,27,0.989153641014701,0.008046439765912504,0.005838978266496486,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,28,0.9895017508118047,0.008957372701032345,0.005483538517013442,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
Z,slew_constrained_beam_horizon,0.001,0.08,29,0.9896079780779621,0.009441715432781468,0.006331208783072473,60,4,6,36.57036206219345,1.1541666666666666,0.8403326194115591,4.0,33.29215616229706,0.09423085679743318
