task,method,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,design_seconds,resource_profile,training_strengths
Z,beam_horizon,0.08,10,0.9978606264179473,0.0021393735820527393,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,11,0.9981874757312209,0.0018125242687790921,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,12,0.9978344398922905,0.002165560107709519,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,13,0.9949986668119927,0.005001333188007329,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,14,0.9972379308201622,0.0027620691798377894,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,15,0.9970802461220162,0.0029197538779838217,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,16,0.9985361971599993,0.0014638028400006942,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,17,0.9985176696929553,0.0014823303070446991,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,18,0.9949855666789057,0.005014433321094303,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,19,0.99710656461026,0.0028934353897399623,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,20,0.9983613695667575,0.0016386304332425272,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,21,0.9972120035801539,0.0027879964198460616,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,22,0.9975293581968212,0.002470641803178797,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
