task,step,fallback_spec,candidate_count,previous_terminal_phi,best_margin,best_fallback_phi,best_fallback_norm,terminal_outside_residual,residual_threshold
Z,1,default,41,0.0020415222502339833,-0.00022995228460700318,0.0022714745348409865,0.0,1,0.001
Z,1,midpoint_inrange,65,0.0020415222502339833,-0.00022995228460700318,0.0022714745348409865,0.0,1,0.001
Z,1,dense_inrange,97,0.0020415222502339833,-0.00022995228460700318,0.0022714745348409865,0.0,1,0.001
Z,2,default,41,0.002026341232292242,-0.0002299123378368892,0.002256253570129131,0.0,1,0.001
Z,2,midpoint_inrange,65,0.002026341232292242,-0.0002299123378368892,0.002256253570129131,0.0,1,0.001
Z,2,dense_inrange,97,0.002026341232292242,-0.0002299123378368892,0.002256253570129131,0.0,1,0.001
Z,3,default,41,0.002256253570129131,-0.00026874726990237796,0.002525000840031509,0.0,1,0.001
Z,3,midpoint_inrange,65,0.002256253570129131,-0.00026874726990237796,0.002525000840031509,0.0,1,0.001
Z,3,dense_inrange,97,0.002256253570129131,-0.00026874726990237796,0.002525000840031509,0.0,1,0.001
Z,4,default,41,0.0023834887293366497,-0.0002724723181130387,0.0026559610474496884,0.0,1,0.001
Z,4,midpoint_inrange,65,0.0023834887293366497,-0.0002724723181130387,0.0026559610474496884,0.0,1,0.001
Z,4,dense_inrange,97,0.0023834887293366497,-0.00023283986531798945,0.002616328594654639,0.0625,1,0.001
Z,5,default,41,0.002584536389571887,-0.0002988723889398373,0.0028834087785117243,0.25,1,0.001
Z,5,midpoint_inrange,65,0.002584536389571887,-0.0002988723889398373,0.0028834087785117243,0.25,1,0.001
Z,5,dense_inrange,97,0.002584536389571887,-0.00029627436468055574,0.0028808107542524428,0.5625,1,0.001
Z,6,default,41,0.0028831646562249985,-0.0003381215122032627,0.003221286168428261,0.0,1,0.001
Z,6,midpoint_inrange,65,0.0028831646562249985,-0.0003381215122032627,0.003221286168428261,0.0,1,0.001
Z,6,dense_inrange,97,0.0028831646562249985,-0.0003381215122032627,0.003221286168428261,0.0,1,0.001
Z,7,default,41,0.003047633659873157,-0.00028236401050325127,0.0033299976703764084,0.0,1,0.001
Z,7,midpoint_inrange,65,0.003047633659873157,-0.00028236401050325127,0.0033299976703764084,0.0,1,0.001
Z,7,dense_inrange,97,0.003047633659873157,-0.00028236401050325127,0.0033299976703764084,0.0,1,0.001
Z,8,default,41,0.0032325847099518995,-0.0003565017636682835,0.003589086473620183,0.0,1,0.001
Z,8,midpoint_inrange,65,0.0032325847099518995,-0.0003565017636682835,0.003589086473620183,0.0,1,0.001
Z,8,dense_inrange,97,0.0032325847099518995,-0.0003548274931937101,0.0035874122031456096,0.062499999999999986,1,0.001
Z,9,default,41,0.0034077559489118364,-0.00035621410774173967,0.003763970056653576,0.24999999999999994,1,0.001
Z,9,midpoint_inrange,65,0.0034077559489118364,-0.00035621410774173967,0.003763970056653576,0.24999999999999994,1,0.001
Z,9,dense_inrange,97,0.0034077559489118364,-0.00035621410774173967,0.003763970056653576,0.24999999999999994,1,0.001
Z,10,default,41,0.003064422497545974,-0.00029297240911729805,0.003357394906663272,0.24999999999999994,1,0.001
Z,10,midpoint_inrange,65,0.003064422497545974,-0.00029297240911729805,0.003357394906663272,0.24999999999999994,1,0.001
Z,10,dense_inrange,97,0.003064422497545974,-0.00029297240911729805,0.003357394906663272,0.24999999999999994,1,0.001
Z,11,default,41,0.0033293719795650795,-0.000307469792126952,0.0036368417716920315,0.0,1,0.001
Z,11,midpoint_inrange,65,0.0033293719795650795,-0.000307469792126952,0.0036368417716920315,0.0,1,0.001
Z,11,dense_inrange,97,0.0033293719795650795,-0.000307469792126952,0.0036368417716920315,0.0,1,0.001
Z,12,default,41,0.0035217982043523957,-0.000381463008088008,0.0039032612124404037,0.0,1,0.001
Z,12,midpoint_inrange,65,0.0035217982043523957,-0.000381463008088008,0.0039032612124404037,0.0,1,0.001
Z,12,dense_inrange,97,0.0035217982043523957,-0.000381463008088008,0.0039032612124404037,0.0,1,0.001
Z,13,default,41,0.0038950659673245847,-0.0004629750541804492,0.004358041021505034,0.0,1,0.001
Z,13,midpoint_inrange,65,0.0038950659673245847,-0.0004629750541804492,0.004358041021505034,0.0,1,0.001
Z,13,dense_inrange,97,0.0038950659673245847,-0.0004397429620371096,0.004334808929361694,0.0625,1,0.001
Z,14,default,41,0.00435297100174592,-0.0005170939544484748,0.004870064956194395,0.0,1,0.001
Z,14,midpoint_inrange,65,0.00435297100174592,-0.0005170939544484748,0.004870064956194395,0.0,1,0.001
Z,14,dense_inrange,97,0.00435297100174592,-0.0005170939544484748,0.004870064956194395,0.0,1,0.001
Z,15,default,41,0.00464955533587471,-0.0005657590598830767,0.005215314395757786,0.0,1,0.001
Z,15,midpoint_inrange,65,0.00464955533587471,-0.0005657590598830767,0.005215314395757786,0.0,1,0.001
Z,15,dense_inrange,97,0.00464955533587471,-0.0005372026143815531,0.005186757950256263,0.0625,1,0.001
Z,16,default,41,0.005174867090535502,-0.0006146982924905772,0.00578956538302608,0.0,1,0.001
Z,16,midpoint_inrange,65,0.005174867090535502,-0.0006146982924905772,0.00578956538302608,0.0,1,0.001
Z,16,dense_inrange,97,0.005174867090535502,-0.0006146982924905772,0.00578956538302608,0.0,1,0.001
Z,17,default,41,0.0055255909618900576,-0.0006217502141910719,0.0061473411760811295,0.0,1,0.001
Z,17,midpoint_inrange,65,0.0055255909618900576,-0.0006217502141910719,0.0061473411760811295,0.0,1,0.001
Z,17,dense_inrange,97,0.0055255909618900576,-0.0006217502141910719,0.0061473411760811295,0.0,1,0.001
Z,18,default,41,0.006092782491319559,-0.0005456217681150122,0.006638404259434572,0.0,1,0.001
Z,18,midpoint_inrange,65,0.006092782491319559,-0.0005456217681150122,0.006638404259434572,0.0,1,0.001
Z,18,dense_inrange,97,0.006092782491319559,-0.0005456217681150122,0.006638404259434572,0.0,1,0.001
Z,19,default,41,0.0056280676035384836,-0.0004318678868058326,0.006059935490344316,0.0,1,0.001
Z,19,midpoint_inrange,65,0.0056280676035384836,-0.0004318678868058326,0.006059935490344316,0.0,1,0.001
Z,19,dense_inrange,97,0.0056280676035384836,-0.00037501208420272214,0.006003079687741206,0.062499999999999986,1,0.001
Z,20,default,41,0.004881731079065886,-0.00030581804585793487,0.005187549124923821,0.24999999999999994,1,0.001
Z,20,midpoint_inrange,65,0.004881731079065886,-0.00030581804585793487,0.005187549124923821,0.24999999999999994,1,0.001
Z,20,dense_inrange,97,0.004881731079065886,-0.0002808131510234346,0.005162544230089321,0.5624999999999999,1,0.001
