task,step,beta,previous_terminal_phi,tail_phi,tail_phi_abs_error,g_terminal,terminal_availability,best_successor_g,best_g_margin,best_successor_phi,best_successor_best_next_phi,best_fallback_norm,best_fallback_amp,terminal_outside_residual,residual_threshold,g_nonnegative
Z,4,0.0,0.0023834887293366497,0.0023834887293366497,0.0,0.0023834887293366497,0.0,0.0026559610474496884,-0.0002724723181130387,0.0026559610474496884,0.0029108003760675225,0.0,0.0,1,0.001,1
Z,4,0.25,0.0023834887293366497,0.0023834887293366497,0.0,0.0023834887293366497,0.0,0.0026559610474496884,-0.0002724723181130387,0.0026559610474496884,0.0029108003760675225,0.0,0.0,1,0.001,1
Z,4,0.5,0.0023834887293366497,0.0023834887293366497,0.0,0.0023834887293366497,0.0,0.0026559610474496884,-0.0002724723181130387,0.0026559610474496884,0.0029108003760675225,0.0,0.0,1,0.001,1
Z,4,0.75,0.0023834887293366497,0.0023834887293366497,0.0,0.0023834887293366497,0.0,0.0026559610474496884,-0.0002724723181130387,0.0026559610474496884,0.0029108003760675225,0.0,0.0,1,0.001,1
Z,4,1.0,0.0023834887293366497,0.0023834887293366497,0.0,0.0023834887293366497,0.0,0.0026559610474496884,-0.0002724723181130387,0.0026559610474496884,0.0029108003760675225,0.0,0.0,1,0.001,1
Z,8,0.0,0.0032325847099518995,0.0032325847099518995,0.0,0.0032325847099518995,0.0,0.003589086473620183,-0.0003565017636682835,0.003589086473620183,0.003970985590781982,0.0,0.0,1,0.001,1
Z,8,0.25,0.0032325847099518995,0.0032325847099518995,0.0,0.0032325847099518995,0.0,0.003589086473620183,-0.0003565017636682835,0.003589086473620183,0.003970985590781982,0.0,0.0,1,0.001,1
Z,8,0.5,0.0032325847099518995,0.0032325847099518995,0.0,0.0032325847099518995,0.0,0.003589086473620183,-0.0003565017636682835,0.003589086473620183,0.003970985590781982,0.0,0.0,1,0.001,1
Z,8,0.75,0.0032325847099518995,0.0032325847099518995,0.0,0.0032325847099518995,0.0,0.003589086473620183,-0.0003565017636682835,0.003589086473620183,0.003970985590781982,0.0,0.0,1,0.001,1
Z,8,1.0,0.0032325847099518995,0.0032325847099518995,0.0,0.0032325847099518995,0.0,0.003589086473620183,-0.0003565017636682835,0.003589086473620183,0.003970985590781982,0.0,0.0,1,0.001,1
Z,12,0.0,0.0035217982043523957,0.0035217982043523957,0.0,0.0035217982043523957,0.0,0.0039032612124404037,-0.000381463008088008,0.0039032612124404037,0.004361789791072435,0.0,0.0,1,0.001,1
Z,12,0.25,0.0035217982043523957,0.0035217982043523957,0.0,0.0035217982043523957,0.0,0.0039032612124404037,-0.000381463008088008,0.0039032612124404037,0.004361789791072435,0.0,0.0,1,0.001,1
Z,12,0.5,0.0035217982043523957,0.0035217982043523957,0.0,0.0035217982043523957,0.0,0.0039032612124404037,-0.000381463008088008,0.0039032612124404037,0.004361789791072435,0.0,0.0,1,0.001,1
Z,12,0.75,0.0035217982043523957,0.0035217982043523957,0.0,0.0035217982043523957,0.0,0.0039032612124404037,-0.000381463008088008,0.0039032612124404037,0.004361789791072435,0.0,0.0,1,0.001,1
Z,12,1.0,0.0035217982043523957,0.0035217982043523957,0.0,0.0035217982043523957,0.0,0.0039032612124404037,-0.000381463008088008,0.0039032612124404037,0.004361789791072435,0.0,0.0,1,0.001,1
Z,16,0.0,0.005174867090535502,0.005174867090535502,0.0,0.005174867090535502,0.0,0.00578956538302608,-0.0006146982924905772,0.00578956538302608,0.006461245761861384,0.0,0.0,1,0.001,1
Z,16,0.25,0.005174867090535502,0.005174867090535502,0.0,0.005174867090535502,0.0,0.00578956538302608,-0.0006146982924905772,0.00578956538302608,0.006461245761861384,0.0,0.0,1,0.001,1
Z,16,0.5,0.005174867090535502,0.005174867090535502,0.0,0.005174867090535502,0.0,0.00578956538302608,-0.0006146982924905772,0.00578956538302608,0.006461245761861384,0.0,0.0,1,0.001,1
