task,step,value_depth,candidate_count,previous_terminal_phi,tail_phi,tail_phi_abs_error,terminal_outside_residual,residual_threshold,phi,current_value,best_successor_value,best_value_margin,best_fallback_norm,best_fallback_amp,best_fallback_index,state_stage_cost,expected_stage_cost,bellman_gap
Z,1,1,41,0.0020415222502339833,0.0020415222502339833,0.0,1,0.001,0.0020415222502339833,0.00331299678507497,0.0022714745348409865,0.0010415222502339833,0.0,0.0,0,0.0010415222502339833,0.0010415222502339833,0.0
Z,1,2,41,0.0020415222502339833,0.0020415222502339833,0.0,1,0.001,0.0020415222502339833,0.004844606049789495,0.0038030837995555117,0.0010415222502339833,0.0,0.0,0,0.0010415222502339833,0.0010415222502339833,0.0
Z,2,1,41,0.002026341232292242,0.002026341232292242,0.0,1,0.001,0.002026341232292242,0.003282594802421373,0.002256253570129131,0.001026341232292242,0.0,0.0,0,0.001026341232292242,0.001026341232292242,0.0
Z,2,2,41,0.002026341232292242,0.002026341232292242,0.0,1,0.001,0.002026341232292242,0.004807595642452882,0.00378125441016064,0.001026341232292242,0.0,0.0,0,0.001026341232292242,0.001026341232292242,0.0
Z,3,1,41,0.002256253570129131,0.002256253570129131,0.0,1,0.001,0.002256253570129131,0.00378125441016064,0.002525000840031509,0.0012562535701291311,0.0,0.0,0,0.0012562535701291311,0.0012562535701291311,0.0
Z,3,2,41,0.002256253570129131,0.002256253570129131,0.0,1,0.001,0.002256253570129131,0.005582260855620193,0.004326007285491062,0.0012562535701291311,0.0,0.0,0,0.0012562535701291311,0.0012562535701291311,0.0
Z,4,1,41,0.0023834887293366497,0.0023834887293366497,0.0,1,0.001,0.0023834887293366497,0.004039449776786338,0.0026559610474496884,0.0013834887293366497,0.0,0.0,0,0.0013834887293366497,0.0013834887293366497,0.0
Z,4,2,41,0.0023834887293366497,0.0023834887293366497,0.0,1,0.001,0.0023834887293366497,0.0059502501528538605,0.004566761423517211,0.0013834887293366497,0.0,0.0,0,0.0013834887293366497,0.0013834887293366497,0.0
Z,5,1,41,0.002584536389571887,0.002584536389571887,0.0,1,0.001,0.002584536389571887,0.004467945168083611,0.0028834087785117243,0.001584536389571887,0.25,0.5,3,0.001584536389571887,0.001584536389571887,0.0
Z,5,2,41,0.002584536389571887,0.002584536389571887,0.0,1,0.001,0.002584536389571887,0.006693001067183688,0.005108464677611801,0.001584536389571887,1.0,1.0,11,0.001584536389571887,0.001584536389571887,0.0
Z,6,1,41,0.0028831646562249985,0.0028831646562249985,0.0,1,0.001,0.0028831646562249985,0.00510445082465326,0.003221286168428261,0.0018831646562249985,0.0,0.0,0,0.0018831646562249985,0.0018831646562249985,0.0
Z,6,2,41,0.0028831646562249985,0.0028831646562249985,0.0,1,0.001,0.0028831646562249985,0.007720050203416639,0.00583688554719164,0.0018831646562249985,0.0,0.0,0,0.0018831646562249985,0.0018831646562249985,0.0
Z,7,1,41,0.003047633659873157,0.003047633659873157,0.0,1,0.001,0.003047633659873157,0.0053776313302495654,0.0033299976703764084,0.002047633659873157,0.0,0.0,0,0.002047633659873157,0.002047633659873157,0.0
Z,7,2,41,0.003047633659873157,0.003047633659873157,0.0,1,0.001,0.003047633659873157,0.008101704190332593,0.006054070530459436,0.002047633659873157,0.0,0.0,0,0.002047633659873157,0.002047633659873157,0.0
Z,8,1,41,0.0032325847099518995,0.0032325847099518995,0.0,1,0.001,0.0032325847099518995,0.0058216711835720825,0.003589086473620183,0.0022325847099518995,0.0,0.0,0,0.0022325847099518995,0.0022325847099518995,0.0
Z,8,2,41,0.0032325847099518995,0.0032325847099518995,0.0,1,0.001,0.0032325847099518995,0.008792656774354065,0.006560072064402165,0.0022325847099518995,0.0,0.0,0,0.0022325847099518995,0.0022325847099518995,0.0
Z,9,1,41,0.0034077559489118364,0.0034077559489118364,0.0,1,0.001,0.0034077559489118364,0.0061717260055654125,0.003763970056653576,0.0024077559489118364,0.24999999999999994,0.49999999999999994,6,0.0024077559489118364,0.0024077559489118364,0.0
Z,9,2,41,0.0034077559489118364,0.0034077559489118364,0.0,1,0.001,0.0034077559489118364,0.009351222782233591,0.006943466833321755,0.0024077559489118364,0.24999999999999994,0.49999999999999994,6,0.0024077559489118364,0.0024077559489118364,0.0
Z,10,1,41,0.003064422497545974,0.003064422497545974,0.0,1,0.001,0.003064422497545974,0.005421817404209246,0.003357394906663272,0.002064422497545974,0.24999999999999994,0.49999999999999994,7,0.002064422497545974,0.002064422497545974,0.0
Z,10,2,41,0.003064422497545974,0.003064422497545974,0.0,1,0.001,0.003064422497545974,0.008124926704067241,0.0060605042065212675,0.002064422497545974,0.24999999999999994,0.49999999999999994,7,0.002064422497545974,0.002064422497545974,0.0
Z,11,1,41,0.0033293719795650795,0.0033293719795650795,0.0,1,0.001,0.0033293719795650795,0.005966213751257111,0.0036368417716920315,0.0023293719795650794,0.0,0.0,0,0.0023293719795650794,0.0023293719795650794,0.0
Z,11,2,41,0.0033293719795650795,0.0033293719795650795,0.0,1,0.001,0.0033293719795650795,0.008981051486761345,0.006651679507196266,0.0023293719795650794,0.0,0.0,0,0.0023293719795650794,0.0023293719795650794,0.0
Z,12,1,41,0.0035217982043523957,0.0035217982043523957,0.0,1,0.001,0.0035217982043523957,0.006425059416792799,0.0039032612124404037,0.0025217982043523957,0.0,0.0,0,0.0025217982043523957,0.0025217982043523957,0.0
Z,12,2,41,0.0035217982043523957,0.0035217982043523957,0.0,1,0.001,0.0035217982043523957,0.009786849207865234,0.007265051003512838,0.0025217982043523957,0.0,0.0,0,0.0025217982043523957,0.0025217982043523957,0.0
Z,13,1,41,0.0038950659673245847,0.0038950659673245847,0.0,1,0.001,0.0038950659673245847,0.0072531069888296185,0.004358041021505034,0.0028950659673245846,0.0,0.0,0,0.0028950659673245846,0.0028950659673245846,0.0
Z,13,2,41,0.0038950659673245847,0.0038950659673245847,0.0,1,0.001,0.0038950659673245847,0.011088156116878196,0.008193090149553613,0.0028950659673245838,0.0,0.0,0,0.0028950659673245846,0.0028950659673245846,8.673617379884035e-19
Z,14,1,41,0.00435297100174592,0.00435297100174592,0.0,1,0.001,0.00435297100174592,0.008223035957940314,0.004870064956194395,0.003352971001745919,0.0,0.0,0,0.00335297100174592,0.00335297100174592,8.673617379884035e-19
Z,14,2,41,0.00435297100174592,0.00435297100174592,0.0,1,0.001,0.00435297100174592,0.012676696983325693,0.009323725981579774,0.003352971001745919,0.0,0.0,0,0.00335297100174592,0.00335297100174592,8.673617379884035e-19
Z,15,1,41,0.00464955533587471,0.00464955533587471,0.0,1,0.001,0.00464955533587471,0.008864869731632495,0.005215314395757786,0.0036495553358747088,0.0,0.0,0,0.0036495553358747096,0.0036495553358747096,8.673617379884035e-19
Z,15,2,41,0.00464955533587471,0.00464955533587471,0.0,1,0.001,0.00464955533587471,0.013685638014358688,0.010036082678483979,0.0036495553358747088,0.0,0.0,0,0.0036495553358747096,0.0036495553358747096,8.673617379884035e-19
Z,16,1,41,0.005174867090535502,0.005174867090535502,0.0,1,0.001,0.005174867090535502,0.009964432473561581,0.00578956538302608,0.0041748670905355015,0.0,0.0,0,0.004174867090535502,0.004174867090535502,8.673617379884035e-19
Z,16,2,41,0.005174867090535502,0.005174867090535502,0.0,1,0.001,0.005174867090535502,0.015425678235422964,0.011250811144887463,0.0041748670905355015,0.0,0.0,0,0.004174867090535502,0.004174867090535502,8.673617379884035e-19
Z,17,1,41,0.0055255909618900576,0.0055255909618900576,0.0,1,0.001,0.0055255909618900576,0.010672932137971186,0.0061473411760811295,0.004525590961890057,0.0,0.0,0,0.0045255909618900575,0.0045255909618900575,8.673617379884035e-19
Z,17,2,41,0.0055255909618900576,0.0055255909618900576,0.0,1,0.001,0.0055255909618900576,0.016482276733494547,0.01195668577160449,0.004525590961890057,0.0,0.0,0,0.0045255909618900575,0.0045255909618900575,8.673617379884035e-19
Z,18,1,41,0.006092782491319559,0.006092782491319559,0.0,1,0.001,0.006092782491319559,0.01173118675075413,0.006638404259434572,0.0050927824913195585,0.0,0.0,0,0.005092782491319559,0.005092782491319559,8.673617379884035e-19
Z,18,2,41,0.006092782491319559,0.006092782491319559,0.0,1,0.001,0.006092782491319559,0.018013552158871918,0.01292076966755236,0.0050927824913195585,0.0,0.0,0,0.005092782491319559,0.005092782491319559,8.673617379884035e-19
Z,19,1,41,0.0056280676035384836,0.0056280676035384836,0.0,1,0.001,0.0056280676035384836,0.010688003093882799,0.006059935490344316,0.004628067603538483,0.0,0.0,0,0.0046280676035384835,0.0046280676035384835,8.673617379884035e-19
Z,19,2,41,0.0056280676035384836,0.0056280676035384836,0.0,1,0.001,0.0056280676035384836,0.016058984525125566,0.011430916921587084,0.004628067603538483,0.0,0.0,0,0.0046280676035384835,0.0046280676035384835,8.673617379884035e-19
Z,20,1,41,0.004881731079065886,0.004881731079065886,0.0,1,0.001,0.004881731079065886,0.009069280203989706,0.005187549124923821,0.003881731079065885,0.24999999999999994,0.49999999999999994,8,0.003881731079065886,0.003881731079065886,8.673617379884035e-19
Z,20,2,41,0.004881731079065886,0.004881731079065886,0.0,1,0.001,0.004881731079065886,0.013554570967333611,0.009672839888267726,0.003881731079065885,0.9999999999999998,0.9999999999999999,16,0.003881731079065886,0.003881731079065886,8.673617379884035e-19
Z,21,1,41,0.005096611515210944,0.005096611515210944,0.0,1,0.001,0.005096611515210944,0.009451221050011518,0.005354609534800575,0.004096611515210943,0.0,0.0,0,0.004096611515210944,0.004096611515210944,8.673617379884035e-19
Z,21,2,41,0.005096611515210944,0.005096611515210944,0.0,1,0.001,0.005096611515210944,0.014097625390217833,0.01000101387500689,0.004096611515210943,0.0,0.0,0,0.004096611515210944,0.004096611515210944,8.673617379884035e-19
Z,22,1,41,0.004701739725409604,0.004701739725409604,0.0,1,0.001,0.004701739725409604,0.008606390248844173,0.00490465052343457,0.003701739725409603,0.0,0.0,0,0.003701739725409604,0.003701739725409604,8.673617379884035e-19
Z,22,2,41,0.004701739725409604,0.004701739725409604,0.0,1,0.001,0.004701739725409604,0.012727078969396954,0.009025339243987351,0.003701739725409603,0.0,0.0,0,0.003701739725409604,0.003701739725409604,8.673617379884035e-19
Z,23,1,41,0.0048337679649592055,0.0048337679649592055,0.0,1,0.001,0.0048337679649592055,0.008932859095437805,0.0050990911304786,0.0038337679649592046,0.0,0.0,0,0.0038337679649592055,0.0038337679649592055,8.673617379884035e-19
Z,23,2,41,0.0048337679649592055,0.0048337679649592055,0.0,1,0.001,0.0048337679649592055,0.013333341137637754,0.00949957317267855,0.0038337679649592046,0.0,0.0,0,0.0038337679649592055,0.0038337679649592055,8.673617379884035e-19
Z,24,1,41,0.004855861042766446,0.004855861042766446,0.0,1,0.001,0.004855861042766446,0.008964860347754504,0.005108999304988059,0.0038558610427664453,0.25,0.5,4,0.003855861042766446,0.003855861042766446,8.673617379884035e-19
Z,24,2,41,0.004855861042766446,0.004855861042766446,0.0,1,0.001,0.004855861042766446,0.013286554379988672,0.009430693337222226,0.0038558610427664453,4.0,2.0,20,0.003855861042766446,0.003855861042766446,8.673617379884035e-19
Z,25,1,41,0.0044562383512529655,0.0044562383512529655,0.0,1,0.001,0.0044562383512529655,0.00819785738423736,0.0047416190329843955,0.0034562383512529646,0.0,0.0,0,0.0034562383512529654,0.0034562383512529654,8.673617379884035e-19
Z,25,2,41,0.0044562383512529655,0.0044562383512529655,0.0,1,0.001,0.0044562383512529655,0.012303460282801063,0.008847221931548098,0.0034562383512529646,0.0,0.0,0,0.0034562383512529654,0.0034562383512529654,8.673617379884035e-19
Z,26,1,41,0.00467001573059516,0.00467001573059516,0.0,1,0.001,0.00467001573059516,0.008697494300473126,0.005027478569877966,0.0036700157305951595,0.0,0.0,0,0.0036700157305951603,0.0036700157305951603,8.673617379884035e-19
Z,26,2,41,0.00467001573059516,0.00467001573059516,0.0,1,0.001,0.00467001573059516,0.013174052689234862,0.009504036958639703,0.0036700157305951595,0.0,0.0,0,0.0036700157305951603,0.0036700157305951603,8.673617379884035e-19
Z,27,1,41,0.004937645576920696,0.004937645576920696,0.0,1,0.001,0.004937645576920696,0.009322396730157188,0.005384751153236493,0.003937645576920695,0.0,0.0,0,0.003937645576920696,0.003937645576920696,8.673617379884035e-19
Z,27,2,41,0.004937645576920696,0.004937645576920696,0.0,1,0.001,0.004937645576920696,0.014243818688429201,0.010306173111508506,0.003937645576920695,0.0,0.0,0,0.003937645576920696,0.003937645576920696,8.673617379884035e-19
Z,28,1,41,0.0051619721348036135,0.0051619721348036135,0.0,1,0.001,0.0051619721348036135,0.009855955042763605,0.005693982907959992,0.004161972134803613,0.0,0.0,0,0.0041619721348036135,0.0041619721348036135,8.673617379884035e-19
Z,28,2,41,0.0051619721348036135,0.0051619721348036135,0.0,1,0.001,0.0051619721348036135,0.015174652345214416,0.011012680210410804,0.004161972134803613,0.0,0.0,0,0.0041619721348036135,0.0041619721348036135,8.673617379884035e-19
Z,29,1,41,0.005693982907959992,0.005693982907959992,0.0,1,0.001,0.005693982907959992,0.011012680210410804,0.0063186973024508125,0.004693982907959991,0.24999999999999994,0.49999999999999994,7,0.004693982907959992,0.004693982907959992,8.673617379884035e-19
Z,29,2,41,0.005693982907959992,0.005693982907959992,0.0,1,0.001,0.005693982907959992,0.017056317431128155,0.012362334523168164,0.004693982907959991,0.24999999999999994,0.49999999999999994,7,0.004693982907959992,0.004693982907959992,8.673617379884035e-19
Z,30,1,41,0.005999031781424108,0.005999031781424108,0.0,1,0.001,0.005999031781424108,0.011724536815701174,0.006725505034277067,0.004999031781424107,0.0,0.0,0,0.004999031781424108,0.004999031781424108,8.673617379884035e-19
Z,30,2,41,0.005999031781424108,0.005999031781424108,0.0,1,0.001,0.005999031781424108,0.018278112805802604,0.013279081024378497,0.004999031781424107,0.0,0.0,0,0.004999031781424108,0.004999031781424108,8.673617379884035e-19
Z,31,1,41,0.006630645481194353,0.006630645481194353,0.0,1,0.001,0.006630645481194353,0.013071445782506116,0.007440800301311765,0.005630645481194352,0.0,0.0,0,0.005630645481194353,0.005630645481194353,8.673617379884035e-19
Z,31,2,41,0.006630645481194353,0.006630645481194353,0.0,1,0.001,0.006630645481194353,0.02040713857054751,0.014776493089353158,0.005630645481194352,0.0,0.0,0,0.005630645481194353,0.005630645481194353,8.673617379884035e-19
Z,32,1,41,0.007235077884662079,0.007235077884662079,0.0,1,0.001,0.007235077884662079,0.01435032701071727,0.008115249126055192,0.006235077884662078,0.0,0.0,0,0.006235077884662079,0.006235077884662079,8.673617379884035e-19
Z,32,2,41,0.007235077884662079,0.007235077884662079,0.0,1,0.001,0.007235077884662079,0.022434628914859152,0.016199551030197074,0.006235077884662078,0.0,0.0,0,0.006235077884662079,0.006235077884662079,8.673617379884035e-19
Z,33,1,41,0.007773961662153987,0.007773961662153987,0.0,1,0.001,0.007773961662153987,0.015404948190134486,0.0086309865279805,0.006773961662153986,0.0,0.0,0,0.006773961662153987,0.006773961662153987,8.673617379884035e-19
Z,33,2,41,0.007773961662153987,0.007773961662153987,0.0,1,0.001,0.007773961662153987,0.02396849440802082,0.017194532745866832,0.006773961662153986,0.0,0.0,0,0.006773961662153987,0.006773961662153987,8.673617379884035e-19
Z,34,1,41,0.00821560531072496,0.00821560531072496,0.0,1,0.001,0.00821560531072496,0.016293043589589565,0.009077438278864605,0.00721560531072496,0.0,0.0,0,0.0072156053107249605,0.0072156053107249605,8.673617379884035e-19
Z,34,2,41,0.00821560531072496,0.00821560531072496,0.0,1,0.001,0.00821560531072496,0.025060898273257276,0.017845292962532316,0.00721560531072496,4.0,2.0,17,0.0072156053107249605,0.0072156053107249605,8.673617379884035e-19
Z,35,1,41,0.0074207486152537555,0.0074207486152537555,0.0,1,0.001,0.0074207486152537555,0.014258252312437485,0.00783750369718373,0.006420748615253755,1.0,1.0,9,0.0064207486152537555,0.0064207486152537555,8.673617379884035e-19
Z,35,2,41,0.0074207486152537555,0.0074207486152537555,0.0,1,0.001,0.0074207486152537555,0.02144938783595024,0.015028639220696485,0.006420748615253755,4.0,2.0,17,0.0064207486152537555,0.0064207486152537555,8.673617379884035e-19
Z,36,1,41,0.006799122493903874,0.006799122493903874,0.0,1,0.001,0.006799122493903874,0.012498785139580228,0.006699662645676355,0.005799122493903873,0.0,0.0,0,0.005799122493903874,0.005799122493903874,8.673617379884035e-19
Z,36,2,41,0.006799122493903874,0.006799122493903874,0.0,1,0.001,0.006799122493903874,0.01820801351188378,0.012408891017979908,0.005799122493903873,0.0,0.0,0,0.005799122493903874,0.005799122493903874,8.673617379884035e-19
Z,37,1,41,0.006699662645676355,0.006699662645676355,0.0,1,0.001,0.006699662645676355,0.012408891017979908,0.006709228372303554,0.005699662645676354,0.0,0.0,0,0.005699662645676355,0.005699662645676355,8.673617379884035e-19
Z,37,2,41,0.006699662645676355,0.006699662645676355,0.0,1,0.001,0.006699662645676355,0.018221224802612117,0.012521562156935763,0.005699662645676354,0.0,0.0,0,0.005699662645676355,0.005699662645676355,8.673617379884035e-19
Z,38,1,41,0.006709228372303554,0.006709228372303554,0.0,1,0.001,0.006709228372303554,0.012521562156935763,0.00681233378463221,0.005709228372303553,0.0,0.0,0,0.005709228372303554,0.005709228372303554,8.673617379884035e-19
Z,38,2,41,0.006709228372303554,0.006709228372303554,0.0,1,0.001,0.006709228372303554,0.018434198677048007,0.012724970304744454,0.005709228372303553,0.0,0.0,0,0.005709228372303554,0.005709228372303554,8.673617379884035e-19
Z,39,1,41,0.006193847468242399,0.006193847468242399,0.0,1,0.001,0.006193847468242399,0.01128820590632617,0.006094358438083772,0.005193847468242398,0.24999999999999994,0.49999999999999994,5,0.0051938474682423985,0.0051938474682423985,8.673617379884035e-19
Z,39,2,41,0.006193847468242399,0.006193847468242399,0.0,1,0.001,0.006193847468242399,0.015989664329653347,0.01079581686141095,0.005193847468242398,15.999999999999996,3.9999999999999996,37,0.0051938474682423985,0.0051938474682423985,8.673617379884035e-19
Z,40,1,41,0.00606115499530064,0.00606115499530064,0.0,1,0.001,0.00606115499530064,0.010968255432802651,0.005907100437502012,0.005061154995300639,0.0,0.0,0,0.00506115499530064,0.00506115499530064,8.673617379884035e-19
Z,40,2,41,0.00606115499530064,0.00606115499530064,0.0,1,0.001,0.00606115499530064,0.015813373220868135,0.010752218225567496,0.005061154995300639,0.0,0.0,0,0.00506115499530064,0.00506115499530064,8.673617379884035e-19
Z,41,1,41,0.005832370855754256,0.005832370855754256,0.0,1,0.001,0.005832370855754256,0.010511126004293825,0.00567875514853957,0.004832370855754255,0.0,0.0,0,0.0048323708557542555,0.0048323708557542555,8.673617379884035e-19
Z,41,2,41,0.005832370855754256,0.005832370855754256,0.0,1,0.001,0.005832370855754256,0.015135932973910346,0.010303562118156091,0.004832370855754255,0.0,0.0,0,0.0048323708557542555,0.0048323708557542555,8.673617379884035e-19
Z,42,1,41,0.005568057708460528,0.005568057708460528,0.0,1,0.001,0.005568057708460528,0.010128726247341277,0.00556066853888075,0.004568057708460527,0.0,0.0,0,0.004568057708460528,0.004568057708460528,8.673617379884035e-19
Z,42,2,41,0.005568057708460528,0.005568057708460528,0.0,1,0.001,0.005568057708460528,0.01478525807179492,0.010217200363334393,0.004568057708460527,0.0,0.0,0,0.004568057708460528,0.004568057708460528,8.673617379884035e-19
Z,43,1,41,0.00556066853888075,0.00556066853888075,0.0,1,0.001,0.00556066853888075,0.010217200363334393,0.005656531824453644,0.004560668538880749,0.0,0.0,0,0.00456066853888075,0.00456066853888075,8.673617379884035e-19
Z,43,2,41,0.00556066853888075,0.00556066853888075,0.0,1,0.001,0.00556066853888075,0.01492226824196493,0.01036159970308418,0.004560668538880749,0.0,0.0,0,0.00456066853888075,0.00456066853888075,8.673617379884035e-19
Z,44,1,41,0.005575308535733153,0.005575308535733153,0.0,1,0.001,0.005575308535733153,0.010234527303530881,0.005659218767797729,0.0045753085357331524,4.0,2.0,19,0.004575308535733153,0.004575308535733153,8.673617379884035e-19
Z,44,2,41,0.005575308535733153,0.005575308535733153,0.0,1,0.001,0.005575308535733153,0.015129110923987048,0.010553802388253895,0.0045753085357331524,4.0,2.0,19,0.004575308535733153,0.004575308535733153,8.673617379884035e-19
Z,45,1,41,0.005659218767797729,0.005659218767797729,0.0,1,0.001,0.005659218767797729,0.010553802388253895,0.0058945836204561675,0.004659218767797728,0.0,0.0,0,0.004659218767797729,0.004659218767797729,8.673617379884035e-19
Z,45,2,41,0.005659218767797729,0.005659218767797729,0.0,1,0.001,0.005659218767797729,0.01582262199798949,0.011163403230191764,0.004659218767797728,0.0,0.0,0,0.004659218767797729,0.004659218767797729,8.673617379884035e-19
Z,46,1,41,0.005679584473923971,0.005679584473923971,0.0,1,0.001,0.005679584473923971,0.01066895844426418,0.00598937397034021,0.00467958447392397,0.0,0.0,0,0.004679584473923971,0.004679584473923971,8.673617379884035e-19
Z,46,2,41,0.005679584473923971,0.005679584473923971,0.0,1,0.001,0.005679584473923971,0.016112354373434744,0.011432769899510774,0.00467958447392397,0.0,0.0,0,0.004679584473923971,0.004679584473923971,8.673617379884035e-19
Z,47,1,41,0.00598937397034021,0.00598937397034021,0.0,1,0.001,0.00598937397034021,0.011432769899510774,0.0064433959291705645,0.004989373970340209,0.0,0.0,0,0.00498937397034021,0.00498937397034021,8.673617379884035e-19
Z,47,2,41,0.00598937397034021,0.00598937397034021,0.0,1,0.001,0.00598937397034021,0.017446559198460394,0.012457185228120185,0.004989373970340209,0.0,0.0,0,0.00498937397034021,0.00498937397034021,8.673617379884035e-19
Z,48,1,41,0.006155870273861164,0.006155870273861164,0.0,1,0.001,0.006155870273861164,0.011762609316416449,0.006606739042555286,0.005155870273861163,0.0,0.0,0,0.005155870273861164,0.005155870273861164,8.673617379884035e-19
Z,48,2,41,0.006155870273861164,0.006155870273861164,0.0,1,0.001,0.006155870273861164,0.017840016198211364,0.012684145924350201,0.005155870273861163,0.0,0.0,0,0.005155870273861164,0.005155870273861164,8.673617379884035e-19
Z,49,1,41,0.006606739042555286,0.006606739042555286,0.0,1,0.001,0.006606739042555286,0.012684145924350201,0.007077406881794916,0.005606739042555285,15.999999999999996,3.9999999999999996,39,0.005606739042555286,0.005606739042555286,8.673617379884035e-19
Z,49,2,41,0.006606739042555286,0.006606739042555286,0.0,1,0.001,0.006606739042555286,0.019188370183204517,0.013581631140649232,0.005606739042555285,15.999999999999996,3.9999999999999996,39,0.005606739042555286,0.005606739042555286,8.673617379884035e-19
Z,50,1,41,0.007077406881794916,0.007077406881794916,0.0,1,0.001,0.007077406881794916,0.013581631140649232,0.007504224258854317,0.006077406881794915,0.24999999999999994,0.49999999999999994,7,0.006077406881794916,0.006077406881794916,8.673617379884035e-19
Z,50,2,41,0.007077406881794916,0.007077406881794916,0.0,1,0.001,0.007077406881794916,0.020489540069530486,0.01441213318773557,0.006077406881794915,0.24999999999999994,0.49999999999999994,7,0.006077406881794916,0.006077406881794916,8.673617379884035e-19
Z,51,1,41,0.00677114601225514,0.00677114601225514,0.0,1,0.001,0.00677114601225514,0.01286817121879795,0.0070970252065428105,0.005771146012255139,0.0,0.0,0,0.00577114601225514,0.00577114601225514,8.673617379884035e-19
Z,51,2,41,0.00677114601225514,0.00677114601225514,0.0,1,0.001,0.00677114601225514,0.01937493788264561,0.013603791870390472,0.005771146012255139,0.24999999999999994,0.49999999999999994,7,0.00577114601225514,0.00577114601225514,8.673617379884035e-19
Z,52,1,41,0.006415730322728817,0.006415730322728817,0.0,1,0.001,0.006415730322728817,0.011939213788869175,0.006523483466140359,0.0054157303227288164,0.0,0.0,0,0.005415730322728817,0.005415730322728817,8.673617379884035e-19
Z,52,2,41,0.006415730322728817,0.006415730322728817,0.0,1,0.001,0.006415730322728817,0.01756121204280911,0.012145481720080294,0.0054157303227288164,0.0,0.0,0,0.005415730322728817,0.005415730322728817,8.673617379884035e-19
Z,53,1,41,0.006005721029311295,0.006005721029311295,0.0,1,0.001,0.006005721029311295,0.010971250066160558,0.005965529036849264,0.005005721029311294,0.0,0.0,0,0.005005721029311295,0.005005721029311295,8.673617379884035e-19
Z,53,2,41,0.006005721029311295,0.006005721029311295,0.0,1,0.001,0.006005721029311295,0.015699714221575733,0.01069399319226444,0.005005721029311294,0.0,0.0,0,0.005005721029311295,0.005005721029311295,8.673617379884035e-19
