task,step,comparison,shorter_steps,longer_steps,shorter_phi,longer_phi,extension_margin,extension_improves_value
H,2,1_to_2,1,2,0.0017920963625300823,0.002080540648220719,-0.0002884442856906366,0
H,2,2_to_3,2,3,0.002080540648220719,0.002396210692234793,-0.00031567004401407417,0
H,2,1_to_3,1,3,0.0017920963625300823,0.002396210692234793,-0.0006041143297047108,0
H,4,1_to_2,1,2,0.00244898477082426,0.002775630808376499,-0.000326646037552239,0
H,4,2_to_3,2,3,0.002775630808376499,0.0030639584081926033,-0.00028832759981610445,0
H,4,1_to_3,1,3,0.00244898477082426,0.0030639584081926033,-0.0006149736373683434,0
H,6,1_to_2,1,2,0.003053099409463904,0.003405331239126848,-0.000352231829662944,0
H,6,2_to_3,2,3,0.003405331239126848,0.0038522354105256854,-0.00044690417139883754,0
H,6,1_to_3,1,3,0.003053099409463904,0.0038522354105256854,-0.0007991360010617815,0
H,8,1_to_2,1,2,0.0032427455427495658,0.0034965329025065175,-0.00025378735975695177,0
H,8,2_to_3,2,3,0.0034965329025065175,0.003844725210362415,-0.00034819230785589766,0
H,8,1_to_3,1,3,0.0032427455427495658,0.003844725210362415,-0.0006019796676128494,0
H,10,1_to_2,1,2,0.003475214838370849,0.0037476522502449677,-0.0002724374118741185,0
H,10,2_to_3,2,3,0.0037476522502449677,0.004212660823651293,-0.0004650085734063253,0
H,10,1_to_3,1,3,0.003475214838370849,0.004212660823651293,-0.0007374459852804438,0
H,12,1_to_2,1,2,0.0034432970304862642,0.003827493905537341,-0.0003841968750510766,0
H,12,2_to_3,2,3,0.003827493905537341,0.0040943050047636265,-0.00026681109922628565,0
H,12,1_to_3,1,3,0.0034432970304862642,0.0040943050047636265,-0.0006510079742773622,0
H,14,1_to_2,1,2,0.0032015563196540267,0.0031556147760211165,4.594154363291025e-05,1
H,14,2_to_3,2,3,0.0031556147760211165,0.003074168156021663,8.144661999945346e-05,1
H,14,1_to_3,1,3,0.0032015563196540267,0.003074168156021663,0.00012738816363236372,1
H,16,1_to_2,1,2,0.0028055014983266943,0.002940486142999778,-0.00013498464467308346,0
H,16,2_to_3,2,3,0.002940486142999778,0.0031389751134480656,-0.00019848897044828784,0
H,16,1_to_3,1,3,0.0028055014983266943,0.0031389751134480656,-0.0003334736151213713,0
H,18,1_to_2,1,2,0.0027239141432609595,0.0028853958878081037,-0.0001614817445471442,0
H,18,2_to_3,2,3,0.0028853958878081037,0.003105333209576594,-0.00021993732176849023,0
H,18,1_to_3,1,3,0.0027239141432609595,0.003105333209576594,-0.00038141906631563444,0
H,20,1_to_2,1,2,0.0027209748546395685,0.002954294146921027,-0.00023331929228145865,0
H,20,2_to_3,2,3,0.002954294146921027,0.003252385854650784,-0.00029809170772975707,0
H,20,1_to_3,1,3,0.0027209748546395685,0.003252385854650784,-0.0005314110000112157,0
H,22,1_to_2,1,2,0.003024779393464447,0.0032343174483651232,-0.00020953805490067645,0
H,22,2_to_3,2,3,0.0032343174483651232,0.003656796421895002,-0.0004224789735298787,0
H,22,1_to_3,1,3,0.003024779393464447,0.003656796421895002,-0.0006320170284305551,0
H,24,1_to_2,1,2,0.0036602149918708513,0.004187171134161914,-0.0005269561422910629,0
H,24,2_to_3,2,3,0.004187171134161914,0.004706917931856125,-0.0005197467976942108,0
H,24,1_to_3,1,3,0.0036602149918708513,0.004706917931856125,-0.0010467029399852737,0
H,26,1_to_2,1,2,0.003312206132066335,0.003581380368456545,-0.00026917423639021,0
H,26,2_to_3,2,3,0.003581380368456545,0.003884043994871862,-0.0003026636264153171,0
H,26,1_to_3,1,3,0.003312206132066335,0.003884043994871862,-0.0005718378628055271,0
H,28,1_to_2,1,2,0.0040734946968756375,0.004224717894512876,-0.00015122319763723885,0
H,28,2_to_3,2,3,0.004224717894512876,0.004456987543738439,-0.00023226964922556242,0
H,28,1_to_3,1,3,0.0040734946968756375,0.004456987543738439,-0.0003834928468628013,0
H,30,1_to_2,1,2,0.002995747839975006,0.002963973792249268,3.177404772573833e-05,1
H,30,2_to_3,2,3,0.002963973792249268,0.002997195452049718,-3.322165980045033e-05,0
H,30,1_to_3,1,3,0.002995747839975006,0.002997195452049718,-1.4476120747120014e-06,0
H,32,1_to_2,1,2,0.0023343938919838797,0.002321288301141769,1.3105590842110715e-05,1
H,32,2_to_3,2,3,0.002321288301141769,0.0023345024581441776,-1.3214157002408577e-05,0
H,32,1_to_3,1,3,0.0023343938919838797,0.0023345024581441776,-1.085661602978627e-07,0
H,34,1_to_2,1,2,0.0011030611671832419,0.0009109213513486397,0.00019213981583460216,1
H,34,2_to_3,2,3,0.0009109213513486397,0.0007765320951509461,0.00013438925619769365,1
H,34,1_to_3,1,3,0.0011030611671832419,0.0007765320951509461,0.0003265290720322958,1
H,36,1_to_2,1,2,0.00048468124428477366,0.0005022719315217195,-1.759068723694579e-05,0
H,36,2_to_3,2,3,0.0005022719315217195,0.0005864310060331585,-8.4159074511439e-05,0
H,36,1_to_3,1,3,0.00048468124428477366,0.0005864310060331585,-0.00010174976174838479,0
H,38,1_to_2,1,2,0.0005706738041506496,0.0007163572882430413,-0.0001456834840923918,0
H,38,2_to_3,2,3,0.0007163572882430413,0.0008854607281589683,-0.0001691034399159269,0
H,38,1_to_3,1,3,0.0005706738041506496,0.0008854607281589683,-0.0003147869240083187,0
H,40,1_to_2,1,2,0.0009093636286839832,0.0011289141077486242,-0.00021955047906464104,0
H,40,2_to_3,2,3,0.0011289141077486242,0.00138592490954164,-0.0002570108017930159,0
H,40,1_to_3,1,3,0.0009093636286839832,0.00138592490954164,-0.0004765612808576569,0
H,42,1_to_2,1,2,0.00139568490491275,0.0016690985224074167,-0.00027341361749466664,0
H,42,2_to_3,2,3,0.0016690985224074167,0.00188290541844309,-0.00021380689603567316,0
H,42,1_to_3,1,3,0.00139568490491275,0.00188290541844309,-0.0004872205135303398,0
H,44,1_to_2,1,2,0.001840113479584904,0.0019801458391355414,-0.00014003235955063753,0
H,44,2_to_3,2,3,0.0019801458391355414,0.0022269704379627928,-0.00024682459882725133,0
H,44,1_to_3,1,3,0.001840113479584904,0.0022269704379627928,-0.00038685695837788886,0
H,46,1_to_2,1,2,0.0018561212079288916,0.0020360784025064624,-0.00017995719457757076,0
H,46,2_to_3,2,3,0.0020360784025064624,0.002283977242393001,-0.00024789883988653866,0
H,46,1_to_3,1,3,0.0018561212079288916,0.002283977242393001,-0.0004278560344641094,0
H,48,1_to_2,1,2,0.001999997146158443,0.0022233100577139647,-0.00022331291155552185,0
H,48,2_to_3,2,3,0.0022233100577139647,0.002393439175941571,-0.0001701291182276063,0
H,48,1_to_3,1,3,0.001999997146158443,0.002393439175941571,-0.00039344202978312814,0
H,50,1_to_2,1,2,0.002476300957572765,0.002760362429794626,-0.00028406147222186096,0
H,50,2_to_3,2,3,0.002760362429794626,0.003126393989544736,-0.00036603155975011015,0
H,50,1_to_3,1,3,0.002476300957572765,0.003126393989544736,-0.0006500930319719711,0
H,52,1_to_2,1,2,0.002860169668953333,0.0032144047403231124,-0.0003542350713697795,0
H,52,2_to_3,2,3,0.0032144047403231124,0.0034559711110726046,-0.00024156637074949222,0
H,52,1_to_3,1,3,0.002860169668953333,0.0034559711110726046,-0.0005958014421192717,0
H,54,1_to_2,1,2,0.003465152137876494,0.0037434965996885824,-0.0002783444618120884,0
H,54,2_to_3,2,3,0.0037434965996885824,0.004115109353494371,-0.00037161275380578895,0
H,54,1_to_3,1,3,0.003465152137876494,0.004115109353494371,-0.0006499572156178773,0
H,56,1_to_2,1,2,0.0034713219392027844,0.003647759477351499,-0.0001764375381487146,0
H,56,2_to_3,2,3,0.003647759477351499,0.0038885537579383053,-0.0002407942805868063,0
H,56,1_to_3,1,3,0.0034713219392027844,0.0038885537579383053,-0.0004172318187355209,0
H,58,1_to_2,1,2,0.0031212575589779426,0.003318985144979192,-0.00019772758600124923,0
H,58,2_to_3,2,3,0.003318985144979192,0.003491947412339852,-0.00017296226736066012,0
H,58,1_to_3,1,3,0.0031212575589779426,0.003491947412339852,-0.00037068985336190935,0
H,60,1_to_2,1,2,0.003324837719154067,0.003405876927425909,-8.103920827184224e-05,0
H,60,2_to_3,2,3,0.003405876927425909,0.003627688039672526,-0.0002218111122466171,0
H,60,1_to_3,1,3,0.003324837719154067,0.003627688039672526,-0.00030285032051845934,0
H,62,1_to_2,1,2,0.0032681529934409995,0.0034068513908551423,-0.00013869839741414286,0
H,62,2_to_3,2,3,0.0034068513908551423,0.0036918800798591625,-0.0002850286890040202,0
H,62,1_to_3,1,3,0.0032681529934409995,0.0036918800798591625,-0.00042372708641816303,0
H,64,1_to_2,1,2,0.0037003737479548715,0.003998138136967824,-0.00029776438901295277,0
H,64,2_to_3,2,3,0.003998138136967824,0.004390866265179365,-0.0003927281282115405,0
H,64,1_to_3,1,3,0.0037003737479548715,0.004390866265179365,-0.0006904925172244933,0
H,66,1_to_2,1,2,0.004101478675531435,0.004307615968029033,-0.00020613729249759766,0
H,66,2_to_3,2,3,0.004307615968029033,0.0046713353548942585,-0.0003637193868652258,0
H,66,1_to_3,1,3,0.004101478675531435,0.0046713353548942585,-0.0005698566793628235,0
H,68,1_to_2,1,2,0.004775130217620764,0.004756497005937194,1.8633211683570516e-05,1
H,68,2_to_3,2,3,0.004756497005937194,0.004985481069489789,-0.00022898406355259526,0
H,68,1_to_3,1,3,0.004775130217620764,0.004985481069489789,-0.00021035085186902475,0
H,70,1_to_2,1,2,0.0059467838911422335,0.006702823509189035,-0.0007560396180468013,0
H,70,2_to_3,2,3,0.006702823509189035,0.007363208688873607,-0.0006603851796845722,0
H,70,1_to_3,1,3,0.0059467838911422335,0.007363208688873607,-0.0014164247977313735,0
H,72,1_to_2,1,2,0.005342994848389605,0.005382493542951491,-3.9498694561886094e-05,0
H,72,2_to_3,2,3,0.005382493542951491,0.005767713271414086,-0.00038521972846259495,0
H,72,1_to_3,1,3,0.005342994848389605,0.005767713271414086,-0.00042471842302448104,0
H,74,1_to_2,1,2,0.004864508169563887,0.004894265153297377,-2.975698373348934e-05,0
H,74,2_to_3,2,3,0.004894265153297377,0.004884097146751039,1.016800654633776e-05,1
H,74,1_to_3,1,3,0.004864508169563887,0.004884097146751039,-1.958897718715158e-05,0
H,76,1_to_2,1,2,0.00376492489475308,0.0033857173638830243,0.0003792075308700557,1
H,76,2_to_3,2,3,0.0033857173638830243,0.003220357299495921,0.0001653600643871031,1
H,76,1_to_3,1,3,0.00376492489475308,0.003220357299495921,0.0005445675952571588,1
H,78,1_to_2,1,2,0.0034298073004932206,0.002740926192610023,0.0006888811078831977,1
H,78,2_to_3,2,3,0.002740926192610023,0.0025008229944461988,0.00024010319816382408,1
H,78,1_to_3,1,3,0.0034298073004932206,0.0025008229944461988,0.0009289843060470218,1
H,80,1_to_2,1,2,0.002876341668011595,0.0027256858292735026,0.0001506558387380924,1
H,80,2_to_3,2,3,0.0027256858292735026,0.0027713356944954123,-4.564986522190978e-05,0
H,80,1_to_3,1,3,0.002876341668011595,0.0027713356944954123,0.00010500597351618263,1
H,82,1_to_2,1,2,0.0025542674786881436,0.0026806035897314756,-0.00012633611104333198,0
H,82,2_to_3,2,3,0.0026806035897314756,0.0028194124313779753,-0.0001388088416464997,0
H,82,1_to_3,1,3,0.0025542674786881436,0.0028194124313779753,-0.0002651449526898317,0
H,84,1_to_2,1,2,0.0022424981071053965,0.002509558440096489,-0.00026706033299109255,0
H,84,2_to_3,2,3,0.002509558440096489,0.0027913062435706015,-0.0002817478034741125,0
H,84,1_to_3,1,3,0.0022424981071053965,0.0027913062435706015,-0.000548808136465205,0
H,86,1_to_2,1,2,0.002649236808453387,0.003034756771508898,-0.00038551996305551117,0
H,86,2_to_3,2,3,0.003034756771508898,0.003455158644263559,-0.000420401872754661,0
H,86,1_to_3,1,3,0.002649236808453387,0.003455158644263559,-0.0008059218358101722,0
H,88,1_to_2,1,2,0.0035149359828136745,0.003910389602525412,-0.00039545361971173726,0
H,88,2_to_3,2,3,0.003910389602525412,0.004286811786299534,-0.0003764221837741222,0
H,88,1_to_3,1,3,0.0035149359828136745,0.004286811786299534,-0.0007718758034858594,0
H,90,1_to_2,1,2,0.003950713885869275,0.004313386597087639,-0.00036267271121836336,0
H,90,2_to_3,2,3,0.004313386597087639,0.004805261155470308,-0.0004918745583826697,0
H,90,1_to_3,1,3,0.003950713885869275,0.004805261155470308,-0.0008545472696010331,0
H,92,1_to_2,1,2,0.004124961970196933,0.004028625143353309,9.633682684362377e-05,1
H,92,2_to_3,2,3,0.004028625143353309,0.004300715283775139,-0.00027209014042182955,0
H,92,1_to_3,1,3,0.004124961970196933,0.004300715283775139,-0.00017575331357820578,0
H,94,1_to_2,1,2,0.002986607590172108,0.002892670178603632,9.393741156847601e-05,1
H,94,2_to_3,2,3,0.002892670178603632,0.002900339328584904,-7.669149981272272e-06,0
H,94,1_to_3,1,3,0.002986607590172108,0.002900339328584904,8.626826158720374e-05,1
H,96,1_to_2,1,2,0.0024715173700283963,0.002473870869978821,-2.3534999504248866e-06,0
H,96,2_to_3,2,3,0.002473870869978821,0.0025061257012919114,-3.2254831313090204e-05,0
H,96,1_to_3,1,3,0.0024715173700283963,0.0025061257012919114,-3.460833126351509e-05,0
H,98,1_to_2,1,2,0.0018487934916134943,0.0018656867982891137,-1.689330667561939e-05,0
H,98,2_to_3,2,3,0.0018656867982891137,0.0019696317427408683,-0.00010394494445175456,0
H,98,1_to_3,1,3,0.0018487934916134943,0.0019696317427408683,-0.00012083825112737395,0
Z,2,1_to_2,1,2,0.002256253570129131,0.0025048680143990518,-0.00024861444426992063,0
Z,2,2_to_3,2,3,0.0025048680143990518,0.0027193036568965573,-0.00021443564249750552,0
Z,2,1_to_3,1,3,0.002256253570129131,0.0027193036568965573,-0.00046305008676742615,0
Z,4,1_to_2,1,2,0.0026559610474496884,0.0029108003760675225,-0.0002548393286178341,0
Z,4,2_to_3,2,3,0.0029108003760675225,0.003233676246875629,-0.0003228758708081064,0
Z,4,1_to_3,1,3,0.0026559610474496884,0.003233676246875629,-0.0005777151994259405,0
Z,6,1_to_2,1,2,0.003221286168428261,0.0033459150084175215,-0.00012462883998926033,0
Z,6,2_to_3,2,3,0.0033459150084175215,0.003703528119411402,-0.00035761311099388043,0
Z,6,1_to_3,1,3,0.003221286168428261,0.003703528119411402,-0.00048224195098314077,0
Z,8,1_to_2,1,2,0.003589086473620183,0.003806550631817694,-0.0002174641581975112,0
Z,8,2_to_3,2,3,0.003806550631817694,0.004090626334992166,-0.00028407570317447173,0
Z,8,1_to_3,1,3,0.003589086473620183,0.004090626334992166,-0.0005015398613719829,0
Z,10,1_to_2,1,2,0.003357394906663272,0.0036183295642980215,-0.0002609346576347496,0
Z,10,2_to_3,2,3,0.0036183295642980215,0.004004123802820787,-0.00038579423852276584,0
Z,10,1_to_3,1,3,0.003357394906663272,0.004004123802820787,-0.0006467288961575154,0
Z,12,1_to_2,1,2,0.0039032612124404037,0.004319142139775085,-0.0004158809273346817,0
Z,12,2_to_3,2,3,0.004319142139775085,0.004816003694898104,-0.0004968615551230182,0
Z,12,1_to_3,1,3,0.0039032612124404037,0.004816003694898104,-0.0009127424824576999,0
Z,14,1_to_2,1,2,0.004870064956194395,0.00545366102538538,-0.000583596069190985,0
Z,14,2_to_3,2,3,0.00545366102538538,0.006099726257050596,-0.000646065231665216,0
Z,14,1_to_3,1,3,0.004870064956194395,0.006099726257050596,-0.001229661300856201,0
Z,16,1_to_2,1,2,0.00578956538302608,0.00631352043215945,-0.0005239550491333705,0
Z,16,2_to_3,2,3,0.00631352043215945,0.006956662365689176,-0.0006431419335297256,0
Z,16,1_to_3,1,3,0.00578956538302608,0.006956662365689176,-0.0011670969826630961,0
Z,18,1_to_2,1,2,0.006638404259434572,0.007128832943902791,-0.0004904286844682193,0
Z,18,2_to_3,2,3,0.007128832943902791,0.007329412084520176,-0.00020057914061738513,0
Z,18,1_to_3,1,3,0.006638404259434572,0.007329412084520176,-0.0006910078250856044,0
Z,20,1_to_2,1,2,0.005187549124923821,0.005298100757173539,-0.00011055163224971826,0
Z,20,2_to_3,2,3,0.005298100757173539,0.005509473942153072,-0.0002113731849795325,0
Z,20,1_to_3,1,3,0.005187549124923821,0.005509473942153072,-0.00032192481722925076,0
Z,22,1_to_2,1,2,0.00490465052343457,0.005089157884945787,-0.00018450736151121722,0
Z,22,2_to_3,2,3,0.005089157884945787,0.005259417401367324,-0.00017025951642153647,0
Z,22,1_to_3,1,3,0.00490465052343457,0.005259417401367324,-0.0003547668779327537,0
Z,24,1_to_2,1,2,0.005108999304988059,0.005115940331686275,-6.941026698216446e-06,0
Z,24,2_to_3,2,3,0.005115940331686275,0.005204749512709626,-8.880918102335128e-05,0
Z,24,1_to_3,1,3,0.005108999304988059,0.005204749512709626,-9.575020772156773e-05,0
Z,26,1_to_2,1,2,0.005027478569877966,0.005380881632553833,-0.00035340306267586663,0
Z,26,2_to_3,2,3,0.005380881632553833,0.005896954059871243,-0.00051607242731741,0
Z,26,1_to_3,1,3,0.005027478569877966,0.005896954059871243,-0.0008694754899932766,0
Z,28,1_to_2,1,2,0.005693982907959992,0.0063186973024508125,-0.0006247143944908204,0
Z,28,2_to_3,2,3,0.0063186973024508125,0.006933346832084845,-0.0006146495296340329,0
Z,28,1_to_3,1,3,0.005693982907959992,0.006933346832084845,-0.0012393639241248533,0
Z,30,1_to_2,1,2,0.006725505034277067,0.007553575990101431,-0.0008280709558243643,0
Z,30,2_to_3,2,3,0.007553575990101431,0.008476550101878942,-0.0009229741117775109,0
Z,30,1_to_3,1,3,0.006725505034277067,0.008476550101878942,-0.0017510450676018752,0
Z,32,1_to_2,1,2,0.008115249126055192,0.00905107239507627,-0.0009358232690210785,0
Z,32,2_to_3,2,3,0.00905107239507627,0.009941547821442,-0.0008904754263657291,0
Z,32,1_to_3,1,3,0.008115249126055192,0.009941547821442,-0.0018262986953868077,0
Z,34,1_to_2,1,2,0.009077438278864605,0.009449494231156721,-0.0003720559522921163,0
Z,34,2_to_3,2,3,0.009449494231156721,0.009519891562309223,-7.039733115250107e-05,0
Z,34,1_to_3,1,3,0.009077438278864605,0.009519891562309223,-0.0004424532834446174,0
Z,36,1_to_2,1,2,0.006699662645676355,0.006549620038009657,0.00015004260766669775,1
Z,36,2_to_3,2,3,0.006549620038009657,0.006531633424288565,1.7986613721092393e-05,1
Z,36,1_to_3,1,3,0.006699662645676355,0.006531633424288565,0.00016802922138779014,1
Z,38,1_to_2,1,2,0.00681233378463221,0.006552076741177082,0.00026025704345512823,1
Z,38,2_to_3,2,3,0.006552076741177082,0.006465455055390715,8.66216857863672e-05,1
Z,38,1_to_3,1,3,0.00681233378463221,0.006465455055390715,0.00034687872924149543,1
Z,40,1_to_2,1,2,0.005907100437502012,0.005696788990629469,0.00021031144687254366,1
Z,40,2_to_3,2,3,0.005696788990629469,0.005669324603091774,2.7464387537694257e-05,1
Z,40,1_to_3,1,3,0.005907100437502012,0.005669324603091774,0.00023777583441023792,1
Z,42,1_to_2,1,2,0.00556066853888075,0.00545585437224861,0.00010481416663214033,1
Z,42,2_to_3,2,3,0.00545585437224861,0.005572977715933146,-0.00011712334368453592,0
Z,42,1_to_3,1,3,0.00556066853888075,0.005572977715933146,-1.2309177052395592e-05,0
Z,44,1_to_2,1,2,0.005659218767797729,0.005885804318311247,-0.00022658555051351809,0
Z,44,2_to_3,2,3,0.005885804318311247,0.006153175544516644,-0.00026737122620539705,0
Z,44,1_to_3,1,3,0.005659218767797729,0.006153175544516644,-0.0004939567767189151,0
Z,46,1_to_2,1,2,0.00598937397034021,0.00639976906716528,-0.0004103950968250697,0
Z,46,2_to_3,2,3,0.00639976906716528,0.0069649546000340665,-0.0005651855328687866,0
Z,46,1_to_3,1,3,0.00598937397034021,0.0069649546000340665,-0.0009755806296938563,0
Z,48,1_to_2,1,2,0.006606739042555286,0.007077406881794916,-0.0004706678392396302,0
