task,step,value_depth,beam_width,residual_threshold,terminal_outside_residual,phi,current_value,best_successor_value,best_value_margin,best_fallback_norm,best_fallback_amp,best_fallback_index,state_stage_cost,expected_stage_cost,bellman_gap
Z,1,1,6,0.001,1,0.0020415222502339833,0.00331299678507497,0.0022714745348409865,0.0010415222502339833,0.0,0.0,0,0.0010415222502339833,0.0010415222502339833,0.0
Z,2,1,6,0.001,1,0.002026341232292242,0.003282594802421373,0.002256253570129131,0.001026341232292242,0.0,0.0,0,0.001026341232292242,0.001026341232292242,0.0
Z,3,1,6,0.001,1,0.002256253570129131,0.00378125441016064,0.002525000840031509,0.0012562535701291311,0.0,0.0,0,0.0012562535701291311,0.0012562535701291311,0.0
Z,4,1,6,0.001,1,0.00243047701357111,0.004039231886545342,0.0026087548729742324,0.0014304770135711098,0.25,0.5,3,0.0014304770135711098,0.0014304770135711098,0.0
Z,5,1,6,0.001,1,0.002584536389571887,0.004467945168083611,0.0028834087785117243,0.001584536389571887,0.25,0.5,3,0.001584536389571887,0.001584536389571887,0.0
Z,6,1,6,0.001,1,0.0028831646562249985,0.00510445082465326,0.003221286168428261,0.0018831646562249985,0.0,0.0,0,0.0018831646562249985,0.0018831646562249985,0.0
Z,7,1,6,0.001,1,0.003047633659873157,0.0053776313302495654,0.0033299976703764084,0.002047633659873157,0.0,0.0,0,0.002047633659873157,0.002047633659873157,0.0
Z,8,1,6,0.001,1,0.0032325847099518995,0.0058216711835720825,0.003589086473620183,0.0022325847099518995,0.0,0.0,0,0.0022325847099518995,0.0022325847099518995,0.0
Z,9,1,6,0.001,1,0.0034077559489118364,0.0061717260055654125,0.003763970056653576,0.0024077559489118364,0.24999999999999994,0.49999999999999994,6,0.0024077559489118364,0.0024077559489118364,0.0
Z,10,1,6,0.001,1,0.003064422497545974,0.005421817404209246,0.003357394906663272,0.002064422497545974,0.24999999999999994,0.49999999999999994,7,0.002064422497545974,0.002064422497545974,0.0
